Phrases,Translation
健康は成功の一つの大切な条件だ。,Health is one important condition for success.
そちらの条件を受け入れましょう。,Let's accept your condition.
その条件ならば、同意しましょう。,"If those are the conditions, let's agree to them."
私はこれらの条件下で仕事したくない。,I don't want to work under these conditions.
まだ具合悪いの？,Are you still sick?
風邪の具合はどう？,How's your cold?
時計の具合が悪い。,My watch is sick.
彼は具合が悪そうだ。,He's not feeling well.
具合が悪いのですか。,Are you sick?
母はとても具合が悪い。,My mother is very sick.
カメラの具合が悪いの。,My camera is not well.
仕事の具合はどうだい。,How are you feeling at work?
今日はずっと具合がいい。,I'm feeling much better today.
症状は軽いですよ。,The symptoms are mild.
どのような症状ですか。,What are the symptoms?
どんな症状がありますか。,What are the symptoms?
患者の症状は全く絶望的だ。,The patient's symptoms are absolutely hopeless.
高熱がこの病気の顕著な症状だ。,High fever is a prominent symptom of this disease.
患者の症状は日ごとに変化する。,The patient's symptoms change from day to day.
よくこういう症状が起きますか。,Do you often have these symptoms?
この症状が出たのはいつですか。,When did these symptoms first appear?
この症状はいつまで続くのですか。,How long will these symptoms last?
状況は最悪だ。,The situation is bad.
難しい状況です。,The situation is difficult.
状況は絶望的だ。,The situation is hopeless.
状況は絶望的のようだ。,The situation seems hopeless.
私は状況は精通します。,I'm familiar with the situation.
非常に微妙な状況だった。,It was a very delicate situation.
状況をどう分析しますか。,How do you analyze the situation?
状況は刻々と悪くなった。,The situation got worse by the minute.
状況は改善の余地がある。,The situation has room for improvement.
彼女は不満な様子だ。,She seems to be unhappy.
様子を見てみよう。,Let's see how she is.
彼女はどんな様子だった？,How did she look?
彼はひどく疲れた様子だった。,He looked terribly tired.
私は彼女の様子にだまされた。,I was fooled by her appearance.
事態は険悪だ。,Things got ugly.
事態は急変した。,Things have changed rapidly.
事態はまだ改善可能だ。,Things could still be better.
彼は事態を知らなかった。,He didn't know what was going on.
事態は非常に深刻である。,Things are very serious.
事態はますます悪化した。,Things were getting worse.
彼女は危急の事態に備えた。,She prepared for an emergency.
彼の嘘が事態を複雑にした。,His lies complicated the situation.
情勢は荒療治を必要とする。,The situation needs rough treatment.
情勢は絶望だ。,The situation is hopeless.
僕は最近の情勢に疎い。,I am not familiar with the recent situation.
政治情勢が変わった。,The political situation has changed.
情勢は新しい局面を呈した。,The situation has entered a new phase.
情勢はますます悪くなった。,The situation has gotten worse.
情勢は日増しに悪化している。,The situation is getting worse by the day.
今は事情が違っている。,The situation is different now.
彼は海外の事情に詳しい。,He is familiar with the situation abroad.
事情は後で説明する。,I'll explain the situation later.
交通事情が気にいらない。,I don't like the traffic situation.
今では事情が変わってきた。,Things are different now.
彼はこの辺の事情に明るい。,He is knowledgeable about the situation here.
彼女はすべての事情を利用する。,She takes advantage of all the circumstances.
彼は日本の内部の事情をよく知っている。,He knows the inner workings of Japan very well.
そういう休暇は私には事情が許さない。,Circumstances do not permit me to take such a vacation.
彼らは進んで英語を学ぶ気がある。,They are willing to learn English.
進んでそれをやりました。,They willingly did it.
彼らは進んで私たちの手助けをしてくれる。,They are willing to help us.
彼はあなたをすすんでサポートします。,He is willing to help you.
彼の指示は明白だった。,His instructions were clear.
そっちの指示に従うよ。,I'll follow your instructions.
指示に従わざるを得ない。,I have to follow the instructions.
病院の指示に従ってください。,Please follow the hospital's instructions.
私の妻は医者です。,My wife is a doctor.
私の妻を紹介します。,Let me introduce you to my wife.
忘れないでこの手紙を投稿しなさい。,Don't forget to post this letter.
何を検索していますか。,What are you searching for?
泊まる所を検索しております。,I'm searching for a place to stay.
検索サイトは普段何を使ってる？,What do you usually use as a search site?
動物は本能に従って行動する。,Animals act according to their instincts.
彼は私の助言に従って行動した。,He acted according to my advice.
私たちは時間割に従って勉強する。,We study according to a timetable.
手順を説明していただけますか。,Can you explain the procedure to me?
安全手順を守らないとけがしますよ。,You'll get hurt if you don't follow safety procedures.
君の要約は平均以下だね。,Your summary is below average.
彼は３０以下のはずはない。,He can't be below 30.
昨晩は零度以下に下がった。,It dropped below zero last night.
私は彼に計画を変更させた。,I forced him to change his plans.
我々の予定は変更できない。,We can't change our plans.
次への変更をご提案します。,I suggest we change to the next one.
返却日を変更する事ができますか。,Can you change the return date?
彼は価格変更のビラをはり出した。,He put up a price change flyer.
その庭園は日本式に設定されている。,The garden is set up in the Japanese style.
ご自由にリンクを設定して下さい。,Please feel free to set up a link.
設定料金に労務費用は含みません。,The price does not include the cost of labor.
交渉の場を設定せねばならない。,We'll have to set up a negotiating table.
初期設定のまま使ってるの？,Are you using the default settings?
明日は雨かしら。,Will it rain tomorrow?
雪になるのかしら？,Will it snow?
針金は電気を伝える。,The wire conveys electricity.
彼は新しい電灯を止めるのに針金を使った。,He used the wire to shut off the new lights.
この蓋、きつすぎて開けれないんだけど。,"I can't open this lid, it's too tight."
このふたは固くて取れないよ。,This lid is too tight to get off.
私は彼の名前の読み方がわからない。,I don't know how to read his name.
食器を洗おう。,Let's wash the dishes.
食器を台所に運んでね。,Take the dishes to the kitchen.
彼は大通りに店を構えている。,He has a store on the main street.
彼はジャマイカに新居を構えた。,He has a new house in Jamaica.
茶摘みの季節になった。,It's tea picking season.
イチゴの季節です。,It is strawberry season.
春は楽しい季節だ。,Spring is the season of fun.
寒い季節がやってくるよ。,The cold season is coming.
お前正気か？,Are you insane?
お前が悪いよ。,It's your fault.
おまえの勝ちだ。,You win.
お前は狂っている。,You're insane.
きちんと座りなさい。,Sit up properly.
すべてきちんと整っている。,Everything is in order.
彼は部屋をきちんと整理した。,He's tidied up the room.
モーターがきちんと動かない。,The motor doesn't work properly.
きちんと授業に出席すること。,Attend class properly.
食事療法にきちんと従うように。,Follow the diet properly.
ちょっときついです。,They're a little tight.
この靴はきつすぎる。,These shoes are too tight.
このジャケットはきつい。,This jacket is too tight.
彼はこっそりささやいた。,He whispered secretly.
彼はこっそりと裏口へ移動した。,He moved stealthily to the back door.
いつもこんなに無口なの？,Why is he always so quiet?
なんでこんなに眠いんだろう。,I wonder why I'm so sleepy.
こんなに嬉しいことはないよ。,I've never been so happy.
さっさとやりなさい。,Get on with it.
さっさと準備しなさい。,Get ready.
さっさと宿題をしなさい。,Get your homework done.
ほら、さっさと答えなよ。,"Come on, answer the questions."
冷水浴で彼はさっぱりした。,The cold water bath refreshed him.
一風呂浴びてさっぱりした。,I took a bath and felt refreshed.
ドイツ語がさっぱり分からない。,I don't understand a word of German.
あなたをさっぱり理解できない。,I don't understand you at all.
人生ずっと勉強。,I've been studying all my life.
彼はずっと忙しい。,He's always busy.
ずっと考えてたの。,I've been thinking.
娘は母にそっくりです。,My daughter looks just like her mother.
その絵は本物そっくりだ。,That painting looks so real.
時間はたっぷりある。,There is plenty of time.
時間はたっぷりあった。,I had plenty of time.
食べ物はたっぷりある。,There's plenty of food.
彼女はお色気たっぷりだ。,She's very sexy.
どうせやるなら上手にやれ。,"If you're going to do it, do it well."
どうせ行くんでしょ。,You're going anyway.
時がどんどんたってゆく。,The time was ticking away.
風がどんどん強くなった。,The wind was getting stronger and stronger.
彼は眼鏡を外した。,He took off his glasses.
マスクを外さないで。,Don't take off your mask.
気に入った？,Do you like it?
気に入ってる？,Do you like it?
たいした奴だ。,He's a great guy.
彼女はたいした美人だ。,She's a real beauty.
それはたいした功績だ。,That's a big deal.
大したことじゃないさ。,It's not a big deal.
大した違いはありません。,It doesn't make much difference.
私は海を見下ろした。,I looked down at the ocean.
彼は床を見下ろした。,He looked down at the floor.
職員意外立ち入るべからず。,Not to be entered by unauthorized personnel.
意外な結果が発表された。,Surprising results were announced.
彼女がそう言ったのは意外だ。,I'm surprised she said that.
その映画は意外と面白かった。,The film was surprisingly interesting.
我々は言語で意思を伝える。,We use language to communicate.
意思伝達は色々な形をとる。,Communication can take many forms.
私は自分の本に有名な言葉を引用した。,I quoted a famous speech in my book.
新聞はその演説から数箇所引用していた。,The newspaper quoted several passages from the speech.
非難されるべきは君だ。,It is you who should be blamed.
僕の行動は非難を招いた。,My actions were reprehensible.
湖は直径３マイルある。,The lake is three miles in diameter.
池の直径はどのくらいですか。,What is the diameter of the pond?
その池は直径１００メートルある。,The pond is a hundred meters in diameter.
彼女は最後まで耐えた。,She held out until the end.
それは見るに耐えない。,It's unbearable to watch.
彼女はよく悲しみに耐えた。,She endured the grief well.
痛みに耐えねばなりません。,You have to endure the pain.
どうにか泳げます。,Somehow I can swim.
どうにか乗り越えるよ。,I'll get over it somehow.
彼はどうにか難局をのがれた。,He somehow managed to get out of the predicament.
彼はどうにか逃げる事が出来た。,Somehow he managed to escape.
彼女はあっさりと答えた。,She answered easily.
彼はその問題をあっさり解いた。,He solved the problem easily.
彼はどうやら正しいようだ。,He was apparently right.
どうやら明日は雨のようだ。,It looks like it's going to rain tomorrow.
どうやら晴れるようですね。,It looks like it's going to be sunny.
どうやら誤解があるようだ。,There seems to be a misunderstanding.
どうやら道に迷ったようだ。,We seem to have lost our way.
天気はどうやら回復しそうだ。,It looks like the weather is going to improve.
年々公害が悪化する。,Every year the pollution gets worse.
事態はますます悪化した。,Things have gotten worse.
悪化したのですか。,Has it gotten worse?
自然環境の悪化を阻止しましょう。,Let's stop the deterioration of the natural environment.
橋が圧力で落ちた。,The bridge fell down under pressure.
彼は圧力に屈した。,He succumbed to the pressure.
私の意図は十分あなたに伝わった。,My intentions have been well communicated to you.
彼は病院の管理運営に責任がある。,He is responsible for the administration and management of the hospital.
学校を運営する費用が上昇し続けた。,The cost of running the school kept rising.
その工場は大規模で運営されている。,The factory is run on a large scale.
彼は事業を大規模に営んでいる。,He runs his business on a large scale.
その島には漁業を営む人たちが住んでいた。,The island was inhabited by fishermen.
川に沿って歩いた。,We walked along the river.
船は岬に沿って回った。,The boat went around the cape.
私は通りにそって歩いた。,I walked along the street.
その通りは川に沿っている。,The street follows the river.
船は四国の海岸にそって進んだ。,The boat went along the coast of Shikoku.
私たちの家は道路に沿って立っている。,Our house stood along the road.
崖っぷちに沿って狭い道が通っている。,A narrow street runs along the edge of the cliff.
この通りに沿って行けば駅に着きます。,"If you follow this street, you will reach the station."
重要な役を演じる。,Play an important role.
黄金のベッドで眠る金持ち。,A rich man sleeping in a golden bed.
蟹は甲殻類だよ。,The crab is a crustacean.
この汽車は世界の果て行きの終列車です。,This train is the last train to the end of the world.
河川は豪雨で氾濫しました。,The river was flooded by heavy rains.
河川の盆地には普通肥沃な農地がある。,There is usually fertile farmland in the river basin.
保護回路を飛ばしてしまおう。,Let's skip the protection circuit.
回路を調べる前に、電源のスイッチを切りなさい。,"Before examining the circuit, switch off the power supply."
そのシステムには、保護回路が組み込まれています。,There is a protection circuit built into that system.
彼女の思考回路がまったく理解できない。,I don't understand her thought process at all.
男の人の思考回路って分かんない。,I don't know what a man's thought process is.
新しいエネルギーを開発しなくてはならない。,We need to develop new energy sources.
いくつかの地方自治体では開発を禁止した。,Some local governments have banned its development.
彼らは高度な技術のコンピューターを開発した。,They developed a computer with advanced technology.
私はあなたに仕事を確保できる。,I can secure you a job.
緊急時の飲料水の確保は、大丈夫ですか？,Are you sure you have enough drinking water for emergencies?
ニュートンは引力の法則を確立した。,Newton established the law of gravitation.
私たちは週休二日制確立を目指している。,We're trying to establish a two-day workweek.
彼の頭脳の働きは活発だった。,His mind was active.
私たちは活発な討論をした。,We had a lively debate.
明日から梅雨前線が活発になります。,The rainy season front will become active tomorrow.
適度の運動は血液の循環を活発にする。,Moderate exercise stimulates the circulation of the blood.
さつまいも掘りをしましょう。,Let's dig sweet potatoes.
サツマイモを掘ろうよ。,Let's dig sweet potatoes.
それは細菌感染に有効だ。,It's effective against bacterial infections.
変化したウイルスは感染しやすい。,The altered virus is easy to transmit.
感染の徴候は見られない。,I don't see any signs of infection.
梅毒は性行為を通じて感染する病気です。,Syphilis is a disease transmitted through sexual intercourse.
パソコンがウイルスに感染したようです。,It seems that my computer has been infected by a virus.
朝食用のパンはぎりぎり足りる。,There is just barely enough bread for breakfast.
費用はギリギリまで切り詰められた。,The expenses were cut down to the barest minimum.
飛行機にはギリギリ間に合ったよ。,I just barely made it to the plane.
彼は終電にぎりぎり間にあった。,He was just in time to catch the last train.
時間はあっという間に過ぎた。,The time flew by.
休暇はあっという間に過ぎた。,The vacation went by in a flash.
あっという間に逃げてしまった。,He got away in a flash.
休暇はあっという間に終わった。,The vacation was over in the blink of an eye.
彼はあっという間に寝入ってしまった。,He fell asleep in no time at all.
電子レンジはあっという間に食べ物を温める。,The microwave oven warmed up the food in no time.
ぎゅっと抱きしめて。,I hugged her tightly.
彼女をぎゅっと抱きしめた。,I hugged her tightly.
赤ん坊には善悪が認識出来ない。,Babies can't recognize right and wrong.
世界は彼を認識していなかった。,The world did not recognize him.
美の認識は倫理の検査となり得る。,The perception of beauty can be a test of ethics.
私は自分が変なことをしたいのだと認識した。,I recognized that I wanted to do something strange.
私は大切な仕事を任された。,I was given an important job.
彼はコンピューターの販売をまかされていた。,He was in charge of selling computers.
第一の難関はどうにか突破した。,I managed to get past the first obstacle.
私は持ち前の頑張りの精神で難関を突破した。,I managed to overcome the first obstacle with the spirit of hard work that I possessed.
もう一回挑戦してみたいです。,I would like to try again.
私は一か八か彼の挑戦を受けてみた。,I took a chance and accepted his challenge.
私はこの挑戦をとても楽しんでいる。,I'm really enjoying this challenge.
スカイダイビングに挑戦したことある？,Have you ever tried skydiving?
僕らは一度もそれに挑戦したことがない。,We've never tried it.
ウィンドサーフィンに挑戦したことある？,Have you ever tried windsurfing?
君は挑戦したら出来ると僕は確信してる。,I'm sure you can if you try.
事故の原因はまだ捜索中だ。,We're still searching for the cause of the accident.
私たちは散開して森の中を捜索した。,We've spread out and searched the woods.
この湖はこの箇所が一番深い。,This part of the lake is the deepest.
私はスキー中に２箇所も骨折した。,I broke my arm in two places while skiing.
先生はもう一度重要な箇所を要約した。,The teacher summarized the important points again.
新聞はその演説から数箇所引用していた。,The newspaper quoted several passages from the speech.
強風のため電線が数箇所で切断された。,High winds had knocked down power lines in several places.
これはその分析を始めるのに良い箇所だ。,This is a good place to start the analysis.
私達の計画はことごとく失敗した。,Our plans have failed at every turn.
いまさら遅いよ。,It's too late now.
今さら謝っても遅いよ。,It's too late to apologize now.
彼女は服をさっと着た。,She put on her clothes quickly.
さっとシャワーを浴びた。,She took a quick shower.
さっとシャワー浴びてくる。,I'm going to take a quick shower.
彼女の表情がさっと変わった。,Her expression changed quickly.
頭上の雲がさっと流れていった。,The clouds above my head quickly drifted away.
猛烈な暑さだ。,The heat was fierce.
彼らは、猛烈にいがみあっている。,They are bickering furiously.
赤ちゃんは猛烈に泣き始めた。,The baby began to cry furiously.
彼女はひとりでやるのが望ましい。,She preferred to do it alone.
結果は望ましいものではなかった。,The result was not desirable.
それは望ましい結果とは言えない。,It is not a desirable outcome.
人口は変動しないでいる。,The population remains unchanged.
金の価格は日ごとに変動する。,The price of gold fluctuates from day to day.
消費者物価指数は激しく変動しています。,The consumer price index fluctuates wildly.
工場の閉鎖が決まった。,The factory has been closed.
その鉱山は閉鎖している。,The mine is closed.
工場は十年前に閉鎖された。,The factory was closed ten years ago.
雪のため学校は閉鎖している。,The school is closed due to snow.
空港は霧のために閉鎖された。,The airport has been closed due to fog.
その博物館は今は閉鎖している。,The museum is closed now.
その通りは十時を過ぎると閉鎖していた。,The street was closed after ten o'clock.
君は木の下へ避難した。,You took shelter under a tree.
彼は雨を避ける避難場所を捜した。,He sought shelter from the rain.
権力には責任が伴う。,With power comes responsibility.
豪雨は雷を伴った。,The heavy rain was accompanied by thunder.
暴風雨には雷が伴った。,The storm was accompanied by lightning.
理論には実践が伴わなければならない。,Theory must be accompanied by practice.
その手術には大変な痛みが伴う。,The surgery involves a lot of pain.
四月から新学期が始まる。,A new semester starts in April.
新学期が始まっちゃった。,The new semester has started.
まもなく新学期が始まります。,The new semester will start soon.
彼は任務にあたっている。,He is on a mission.
彼は任務にあたっている。,He is on a mission.
そよ風が彼女の顔をなでた。,A gentle breeze brushed her face.
あの夜、彼女の肌を優しく撫でていた。,It had gently caressed her skin that night.
明日の夜とかどう？,How about tomorrow night?
ドライブとかどう？,How about a drive?
明日の夜9時とかどう？,How about tomorrow night at nine o'clock?
何か趣味とかありますか。,Do you have any hobbies?
何とかなるよね？,"We can work something out, right?"
泳げるんだよね？,"You can swim, can't you?"
すごく寒いよね？,"It's very cold, right?"
車で来たんだよね？,"You drove here, didn't you?"
そこで何起こしたの？,What happened there?
そこで誰に会ったのですか。,Who did you meet there?
練習が完ぺきにする。,Practice makes perfect.
君の英語は完璧だ。,Your English is perfect.
彼は全ての点で完璧だ。,He is perfect in every way.
姉は頭の回転がいい。,My sister has a good head on her shoulders.
惑星は太陽の周囲を回転する。,The planets revolve around the sun.
訳文を原文と比較しなさい。,Compare the translation with the original.
彼はその模造品を本物と比較した。,He compared the imitation with the real thing.
彼はロープを引っ張った。,He pulled on the rope.
彼は私の襟首を引っ張った。,He tugged at my collar.
彼は私のシャツを引っ張った。,He tugged at my shirt.
袖を引っ張らないでください。,Don't pull on the sleeves.
それに掴まって。引っ張るぞ。,Hold on to it. I'll pull it.
この生地は引っ張るとすぐ伸びる。,This fabric stretches easily when pulled.
彼はすごく知的な人です。,He is a very intelligent man.
真実は一つです。,There is only one truth.
この辺りの家賃の相場はいくらですか。,How much is the rent in this area?
彼女は出席を拒否した。,She refused to attend.
チャンピオンがタイトルを防衛した。,The champion defended his title.
明日はどうやら雨らしいよ。,"It's supposed to rain tomorrow, apparently."
彼の趣味は切手収集です。,His hobby is stamp collecting.
図書館には各種の雑誌がそろっています。,The library has a wide variety of magazines.
問題の根本を見直しましょう。,Let's review the root of the problem.
政治は国民主体であるべきです。,Politics should be people-oriented.
彼は新聞記者を経て作家になりました。,He worked as a newspaper reporter before becoming a writer.
今日は流通の仕組みを勉強しましょう。,Let's study the distribution system today.
その国の政府は各国に支援を要請した。,The government of that country requested assistance from other countries.
その制度は廃止されました。,That system has been abolished.
試合の代表メンバーが確定した。,The members of the national team for the match were finalized.
学生時代を懐かしく振り返ったんだ。,I looked back on my school days fondly.
私は今月いっぱいで退職します。,I'm retiring at the end of this month.
その殺人事件は白昼に起こったんだ。,The murder happened in broad daylight.
もはや彼の助けは必要じゃないの。,I no longer need his help.
彼女は語学力を仕事に生かしているね。,"She puts her language skills to work, doesn't she?"
僕たちは頑張って決勝まで進んだよ。,We worked hard and made it to the finals.
彼は年の割には行動的だ。,He's very active for his age.
何事にも積極的な態度を取るようにしなさい。,Try to have a positive attitude about everything.
彼の次の制作は非常に意欲的なミュージカルだった。,His next production was a very ambitious musical.
彼女は怒りっぽい。,She is very angry.
昨夜彼は怒りっぽかったな。,"He was very angry last night, wasn't he?"
つまらない試合に飽きてきた。,I'm getting tired of boring games.
彼は良い笑いのセンスをしている。,He has a good sense of humor.
彼は勇敢な兵士でした。,He was a brave soldier.
とても落ち着いた気分でいることができた。,I was in a very calm mood.
彼は慎重な選手だ。,He is a careful player.
慎重に選びなさい。,Choose carefully.
彼は行動が慎重だ。,He is careful in his actions.
彼は言葉を慎重に選んだ。,He chose his words carefully.
彼は慎重に義務を遂行した。,He carried out his duty carefully.
彼は勤勉な学生です。,He is a diligent student.
一般に日本人は勤勉だ。,Japanese people in general are diligent.
彼の生活はのんきだ。,His life is carefree.
生まれつき実にのんきな男だ。,He is really a carefree man by nature.
時々ね、感情的になっちゃうの。,"Sometimes, I get emotional."
たまに感情的になることがあります。,Sometimes I get emotional.
科学者が感情的になるのはよくない。,It's not good for scientists to be emotional.
彼らは感情的な苦痛と絶望を経験した。,They have experienced emotional pain and despair.
この町は活気がない。,This town is not lively.
通りは活気に溢れている。,The streets are full of life.
彼は活気のある人です。,He is a lively person.
東京は活気にあふれている。,Tokyo is full of vitality.
商売はまったく活気がない。,Business is not lively at all.
若者はたいてい活気に満ちている。,Young people are usually full of life.
彼はテニスに熱心だ。,He is enthusiastic about tennis.
君は商売熱心だね。,You are a business enthusiast.
彼は熱心にそれをやった。,He did it enthusiastically.
彼女はとても勉強熱心です。,She is very studious.
彼は熱心に日本語を勉強した。,He studied Japanese diligently.
トムって外向的だよね。,"Tom is an extrovert, isn't he?"
野球って何が面白いの？,What's so interesting about baseball?
これが一番面白いです。,This is the most interesting thing.
この坂の勾配が大きい。,The slope of this hill is huge.
この建物は非常に大きい。,This building is very large.
彼は約束に誠実である。,He is faithful to his word.
彼が誠実だとは思わない。,I don't think he's sincere.
彼はとても誠実な人だ。,He is a very sincere person.
彼はとても誠実な人だ。,He is a very sincere person.
彼の優柔不断さにイライラした。,I was annoyed by his indecision.
彼女はとても利口だ。,She's very clever.
犬は利口な動物である。,Dogs are clever animals.
彼は私ほど利口ではない。,He is not as clever as I am.
彼女の利口なのには舌を巻く。,I'm amazed at how clever she is.
トムは内向的だと思う。,I think Tom is an introvert.
内向的な奴でいることの自由はずっと愛してきた。,I've always loved the freedom of being an introvert.
彼は非常に親切だ。,He's very kind.
彼は親切な少年だ。,He's a kind boy.
彼は尻が重い。,He's a heavy ass.
トムって気分屋だよね。,"Tom is moody, isn't he?"
少女は無邪気に笑った。,The girl laughed innocently.
彼女は無邪気なふりをした。,She pretended to be innocent.
子供のころ無邪気だった。,I was innocent as a child.
彼女は無邪気に装った。,She pretended to be innocent.
私はこのわんぱくな少年は手に負えない。,I can't handle this rambunctious boy.
彼は少年のころとてもわんぱくだった。,He was very naughty as a boy.
わんぱくな子は道に迷ってあたりを見回した。,The naughty boy got lost and looked around.
彼は根が優しい。,He is kind-hearted.
その娘は心が優しい。,The girl has a kind heart.
彼は大変忍耐強かった。,He was very patient.
彼はとても忍耐強いから頼りになる。,He is very patient and I can count on him.
私達の先生はばかげた質問をした時でも忍耐強い。,Our teacher was patient even when we asked him ridiculous questions.
この発明は数年間の忍耐強い実験の結果であった。,This invention was the result of several years of patient experimentation.
彼女は私に丁寧に頭を下げた。,She bowed politely to me.
彼は丁寧に求人の依頼を断った。,He politely declined the job offer.
彼らは私の丁寧さと友情を誤解した。,They misunderstood my politeness and friendship.
丁寧な物腰は日本人に特徴的だ。,A polite manner is characteristic of the Japanese.
静かにして下さい。,Please be quiet.
部屋は静かだった。,The room was quiet.
金沢は静かな町です。,Kanazawa is a quiet town.
嵐のあとは静かだった。,It was quiet after the storm.
彼は頼もしい男だ。,He's a dependable guy.
超ロマンティックだわ！,You're super romantic!
男子より女子の方がロマンチックよ。,Girls are more romantic than boys.
私って自己中だな。,I'm so self-centered.
彼は真面目な性格だ。,He's a serious guy.
真面目におやり。,Take it seriously.
真面目では有りません。,He's not serious.
彼女は真面目な学生です。,She's a serious student.
めっちゃ恥ずかしい。,I'm so embarrassed.
恥ずかしくないのですか。,Aren't you embarrassed?
彼は恥ずかしくて顔を赤らめた。,He blushed with embarrassment.
一生で一番恥ずかしいことです。,It's the most embarrassing thing I've ever done in my life.
彼女のほほは恥ずかしさで火照った。,Her cheeks flamed with embarrassment.
彼は時々たわいもない空想にふける。,He sometimes indulged in idle fantasies.
彼はたわいない幻想に取り付かれているようだ。,He seems to be obsessed with idle fantasies.
彼は兄ほど賢くない。,He is not as smart as his brother.
君は賢い選択をした。,You have made a wise choice.
賢い子供なら出来る。,Smart kids can do that.
犬って猫より賢いの？,Is a dog smarter than a cat?
彼女は本当に賢いよね？,"She's really smart, isn't she?"
彼はとても社交的だ。,He's very sociable.
彼は社交的な性格だ。,He's a social butterfly.
彼女は町の社交的型にあわせようとしない。,She doesn't try to fit into the social mold of the town.
彼は非社交的だ。,He's unsociable.
彼は腕の力が強い。,He has a strong arm.
彼女は個性が強い。,She has a strong personality.
君は意志が強いな。,You are strong-willed.
この車は錆に強い。,This car is resistant to rust.
彼女は他人に思いやりがある。,She is considerate of others.
あいつは思いやりがない。,He's not considerate.
彼女が思いやりのあることは誰でも分かる。,Everyone can see that she is considerate.
交換のために返却したいと思います。,I would like to return it to you for replacement.
壊れていたものを早急に交換していただけますか。,Would you please replace the broken one promptly?
あ、今度ケー番交換しませんか？,"Ah, could we swap our mobile numbers next time?"
社員達は会議で意見を交換した。,The staff exchanged opinions in the meeting.
円をドルに交換して下さい。,Please exchange yen for dollars.
この時計を少し安いのと交換したいのです。,I would like to exchange this watch with a cheaper one.
彼は古い車を新車と交換した。,He exchanged his old car for a new one.
どこでドルをポンドに交換できますか。,Where can I exchange my dollars for pounds?
妹と私は交換で部屋を掃除します。,My sister and I take turns in cleaning our room.
彼らはお互いに座席を交換した。,They exchanged seats with each other.
どこで外貨の交換をすることができますか。,Where can I get my money exchanged?
乗り換えキップが必要な方はいますか。,Would anyone like a transfer?
乗り換えはありますか。,Is there a transfer point?
乗り換えは必要ですか。,Do I need to transfer?
途中で乗り換えが必要ですか。,Is it necessary to change trains along the way?
池袋駅で乗り換えて下さい。,You transfer at Ikebukuro Station.
あの停留所でバスを乗り換えなさい。,Change buses at that stop.
この列車に乗って次の駅で乗り換えなさい。,Take this train and make a change at the next station.
渋谷で電車をのりかえなければならない。,You have to change trains at Shibuya.
私は上野駅で乗り換えた。,I changed trains at Ueno Station.
東京駅で列車を乗り換えなさい。,Change trains at Tokyo Station.
どこで乗り換えればいいでしょうか。,Where should I transfer?
変換にはかなりの時間がかかる。,It takes a long time to convert.
彼はお金と引換に切符を受け取った。,He received a ticket in return for the money.
カーテンを替えると部屋が違ったように見える。,The room looks different after I've changed the curtains.
部屋を替えてください。,Please change my room?
チャンネルを替えてもかまわない？,Do you mind if I change the channel?
このシャツを小さいのと替えていただけませんか。,Can you please change this shirt for a smaller one?
席を替えてほしいのですが。,I'd like to change my seat.
これをポンドに替えて下さい。,Can you exchange this for pounds?
これを現金に換えてもらえますか。,Can you exchange this for cash?
これを小銭に換えてもらえますか。,Can you exchange this for coins?
政府は外交政策の転換を余儀なくされた。,The government was forced to change its foreign policy.
気分転換に散歩しよう。,Let's take a walk for a change.
気分転換に休憩しよう。,Let's take a break for a change.
気分転換に外食しましょう。,Let's eat out for a change.
私は気分転換に音楽を聴こうと提案した。,I suggested that we listen to music for a change.
私はときどき気分転換に温泉にいきます。,I sometimes go to the spa for a change of pace.
今夜は気分転換に外で食事をしませんか。,Why don't we eat out tonight for a change?
気分転換に田舎にドライブに行かないかい。,Why don't we go for a drive in the country for a change?
彼は何でもお金に換算してしまう。,He converts everything into money.
君に替わる人はどこにもいない。,There is no one anywhere who can replace you.
燃料としては石油が石炭に代わりつつあった。,Oil was being replaced by coal as fuel.
日本語が話せる人と替わってもらえませんか。,Can you replace me with someone who speaks Japanese?
彼は隣の人と席を替わった。,He switched seats with the person next to him.
僕と席を替わってくれませんか。,Can you switch seats with me?
この品は３日以内ならお取り替えします。,I can replace this item within three days.
これを小さいサイズと取り替えてほしいのです。,I want you to replace this with a smaller size.
古いタイヤを新しいのと取り替えて。,Please replace the old tire with a new one.
この品物を取り替えてもらえますか。,Can you please replace this item?
もっと大きいのと取り替えてください。,Please replace it with a larger one.
別の物と取り替えてください。,Please replace it with another one.
言い換えれば、彼女は良き女房になった。,"She became, in other words, a good wife."
言い換えれば、それは常識の問題である。,"In order words, it is a matter of common sense."
言い換えれば、彼女はそのプロポーズを断りたいのだ。,"In other words, she wants to refuse the proposal."
言いかえると、彼は信念の人です。,"In other words, he is a man of faith."
この文章は書き換えなければならない。,You should rewrite this sentence.
彼はその話を書き換えてまったく別のものにした。,He rewrote the story into a completely different one.
着替えをするために家に帰った。,I went home to change my clothes.
彼女は今夜のパーティーの前に着替えをしなければならない。,She has to change clothes before tonight's party.
あなたにまた会えたのでとてもうれしかったです。,It was very nice seeing you again.
ケモナーのイベントでトムに会った。,I met Tom at a furry convention.
あなたにまた会えてうれしかったです。,It was very nice seeing you again.
ボストンで会った。,We met in Boston.
また会いましょう。,See you again.
先例を追う。,Follow a precedent.
順を追って説明します。,I'll explain them in order.
