Rank,Words,Note,Sentences,Translation,Remarks
1712,脳,noo [n] brain,脳に刺激を与える。,Stimulate your brain.,1712- 脳/noo [n] brain
1713,レストラン,resutoran [n] restaurant,新 しいフレンチのレストランに行こう。,Let’s try the new French restaurant.,1713- レストラン/resutoran [n] restaurant
1714,そろそろ,"sorosoro [adv] soon, any time now",そろそろ出かけないと遅れるよ。,"Leave soon, or you will be late.","1714- そろそろ/sorosoro [adv] soon, any time now"
1715,けが,"kega [n] injury, hurt",けがのために一ヵ月仕事を休みました。,I took a month off work due to an injury.,"1715- けが/kega [n] injury, hurt"
1716,兄弟,"kyoodai [n] siblings, brothers",兄弟が三人います。,I have three brothers.,"1716- 兄弟/kyoodai [n] siblings, brothers"
1717,楽器,gakki [n] musical instrument,楽器を習いたい。,I would like to learn how to play a musical instrument.,1717- 楽器/gakki [n] musical instrument
1718,保つ,"tamotsu [v] keep, preserve",部屋の温度を保つ。,Keep the room temperature steady.,"1718- 保つ/tamotsu [v] keep, preserve"
1719,自動車,"jidoosha [n] automobile, car",自動車産業は自動運転システムを開発している。,The automobile industry is developing self-driving systems.,"1719- 自動車/jidoosha [n] automobile, car"
1720,ほんの,"honno [adv] just, mere, only",最 近ほんの少し暖かくなった。,It has gotten just a little warmer lately.,"1720- ほんの/honno [adv] just, mere, only"
1984,住所,juusho [n] address,宛先の住所を教えてください。,Please provide your mailing address.,1984- 住所/juusho [n] address
1985,平気,"heeki [na-adj] calmness, composure, unconcerned",迷子になっても彼は平気だった。,"Even when he was lost, he looked unconcerned.","1985- 平気/heeki [na-adj] calmness, composure, unconcerned"
1986,コース,koosu [n] course,ゴルフのコースを回る。,Go around the golf course.,1986- コース/koosu [n] course
1987,訪ねる,tazuneru [v] visit,昔の友達を訪ねる。,I am visiting my old friends.,1987- 訪ねる/tazuneru [v] visit
1988,鍵,"kagi [n] key, lock",また家の鍵を無くしてしまった。,I lost my house key again.,"1988- 鍵/kagi [n] key, lock"
1989,世界中,sekai-juu [n] around the world,世界中の人々と友 達になりたい。,I want to make friends with people from around the world.,1989- 世界中/sekai-juu [n] around the world
1990,下手,"heta [na-adj] unskillful, poor, clumsy",彼は掃除が下手だ。,He is poor at cleaning.,"1990- 下手/heta [na-adj] unskillful, poor, clumsy"
1991,詩,shi [n] poem,日記の代わりに詩を書く。,I write poems instead of a daily journal.,1991- 詩/shi [n] poem
1992,経過,"keeka [n] passage, progress",手 術 後の経過はどうですか,How is his progress after the surgery?,"1992- 経過/keeka [n] passage, progress"
1993,整える,"totonoeru [v] put in order, adjust, prepare",客室を整える。,Prepare the guest room.,"1993- 整える/totonoeru [v] put in order, adjust, prepare"
1994,ツアー,tsuaa [n] tour,バスツアーで奈良に行きます。,We are going on a bus tour to Nara.,1994- ツアー /tsuaa [n] tour
1995,西,nishi [n] west,太 陽は西に沈む。,The sun sets in the west.,1995- 西/nishi [n] west
1996,事項,"jikoo [n] matter, item, facts",質問事項をまとめる。,Summarize the items being questioned.,"1996- 事項/jikoo [n] matter, item, facts"
1997,塾,"juku [n] cram school, tutoring school",放課後に塾に通っています。,I go to a cram school after my regular school.,"1997- 塾/juku [n] cram school, tutoring school"
1998,去る,"saru [v] leave, go away, pass",今の会 社を去ることにした。,I have decided to leave the company.,"1998- 去る/saru [v] leave, go away, pass"
1999,五人,gonin [n] five people,五人が夕食の席に一緒に座りました。,Five people sat together at the dinner table.,1999- 五人/gonin [n] five people
2000,入り口,iriguchi [n] entrance,入り口はどこですか。,Where is the entrance?,2000- 入り口 /iriguchi [n] entrance
2001,ふりをする,"furiwosuru [v] to act like, to pretend",日本人のふりをしました。,I pretended to be Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",先生のことが好きじゃないけど、好きなふりをしました。,I pretended to like my teacher even though I didn't like him.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",若いふりをしました。,I pretended to be young.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",日本語が分からないふりをしました。,I pretended not to understand Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",日本人のふりをしません。,I don't pretend to be Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",先生 のことが好きじゃないけど、好きなふりをします。,"I don't like my teacher, but I will pretend to like him.","2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",もう若いふりができません。,I can't pretend to be young anymore.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2001,ふりをする,"furiwosuru [v] to act like, to pretend",日本語が分からないふりをしたくないです。,I don't want to pretend that I don't understand Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend"
2002,から〜にかけて,"kara~nikakete [exp] from~up to, approximate range",この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.,"2002- から〜にかけて/kara~nikakete [exp] from~up to, approximate range"
2002,から〜にかけて,"kara~nikakete [exp] from~up to, approximate range",台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,"Due to the typhoon, it rained heavily from last night to this morning.","2002- から〜にかけて/kara~nikakete [exp] from~up to, approximate range"
2003,だらけ,"darake [sfx] full of, covered all over with",数学の答案は間違いだらけだった。,My math answer sheet was full of mistakes.,"2003- だらけ/darake [sfx] full of, covered all over with"
2003,だらけ,"darake [sfx] full of, covered all over with",山頂までの道は石ころだらけだ。,The path to the summit was strewn with stones.,"2003- だらけ/darake [sfx] full of, covered all over with"
2004,おかげ,okage [exp] thanks to,白しら髪が が少ないおかげで若く見られることが多い。,"Thanks to my lack of gray hair, I often look younger.",2004- おかげ/okage [exp] thanks to
2004,おかげ,okage [exp] thanks to,医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, the average life expectancy has increased.",2004- おかげ/okage [exp] thanks to
2004,おかげ,okage [exp] thanks to,彼の言うことを信じたおかげでひどい目にあった。,"Thanks to I believed what he said, I got into a terrible mess",2004- おかげ/okage [exp] thanks to
2005,あいだ,"aida [n,grm] throughout the time, during",わたしは夏の間ずっと北海道にいました。,I've been in Hokkaido all summer.,"2005- あいだ/aida [n,grm] throughout the time, during"
2006,あいだに,"aidani [grm] during, when",夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.,"2006- あいだに/aidani [grm] during, when"
2006,あげく,"ageku [grm] after all, in the end",長時間にわたる議論のあげく結論は先送りされた。,"After a long discussion, the conclusion was postponed.","2006- あげく/ageku [grm] after all, in the end"
2007,あげる,ageru [grm] to give,先生の受賞のお祝いに何かさしあげましょうよ。,Why don't we give you something to celebrate your award?,2007- あげる/ageru [grm] to give
2008,あっての,"atteno [grm] comprised of, co",愛あっての結婚生活だ。,Love is what makes a marriage work.,"2008- あっての/atteno [grm] comprised of, co-existence, owing to"
2009,後で,"atode [grm] after, afterwards",食事の後で少し散歩しませんか。,Why don't we take a short walk after dinner?,"2009- 後で/atode [grm] after, afterwards"
2010,あまり,"amari [grm] (not) very, (not) much",合格の知らせを聞いて彼女はうれしさのあまり泣き出した。,She was so happy when she heard the news that she had passed the exam that she started to cry.,"2010- あまり/amari [grm] (not) very, (not) much"
2011,あまりの~に,"amarino~ni [grm] due to (not) very, due to (not) much, due to excessive",あまりの大変さに時々会社を辞めたくなる。,"It's so hard, sometimes I feel like quitting the company.","2011- あまりの~に/amarino~ni [grm] due to (not) very, due to (not) much, due to excessive"
2012,いかんで,"ikande [grm] in accordance with, depending on",商品の説明のし方いかんで売れ行きに大きく差が出てきてしまう。,The way you explain a product can make a big difference in its sales.,"2012- いかんで/ikande [grm] in accordance with, depending on"
2013,いかんでは,"ikandewa [grm] in case of, in accordance with, depending on",本の売れ行きいかんではすぐに増刷ということもあるでしょう。,"Depending on how well the book sells, there may be an immediate reprint.","2013- いかんでは/ikandewa [grm] in case of, in accordance with, depending on"
2014,いかんにかかわらず,ikannikakawarazu [grm] regardless of,この区では場所のいかんにかかわらず路上喫煙は禁止です。,"Smoking on the street is prohibited in this ward, regardless of the location.",2014- いかんにかかわらず/ikannikakawarazu [grm] regardless of
2017,いかんによらず,"ikanniyorazu [grm] regardless of, doesn’t depend on whether",進行状況のいかんによらず中間報告を提出してください。,Please submit an interim report regardless of the progress.,"2017- いかんによらず/ikanniyorazu [grm] regardless of, doesn’t depend on whether"
2015,身内,miuchi [n] relative,身内に医者がいるとなんかと安心だ。,It's a relief to have a doctor as a relative.,2015- 身内/miuchi [n] relative
2016,肉親,"nikushin [n] immediate family, blood relative",彼女は肉親の一人を失った。,She had lost one of her immediate family members.,"2016- 肉親/nikushin [n] immediate family, blood relative"
2017,頑丈,"ganjou [adj] solid, firm, stout, burly, strong, sturdy",この机は頑丈に出来ている,This desk is solidly built.,"2017- 頑丈/ganjou [adj] solid, firm, stout, burly, strong, sturdy"
3500,ようなら,younara [g] if it looks,明日お天気がよいようなら、ハイキングにいけませんか。,"If the weather is going to be good tomorrow, shall we go hiking?","3500- ようなら/younara [g] if it looks/seems its the case, in case"
3501,ようだったら,youdattara [g] if it looks,遅れるようだったら、おでんわください。,"If you are going to be late, please call.","3501- ようだったら/youdattara [g] if it looks/seems its the case, in case"
3502,のような,noyouna [g] something like something,6月が来たばかりなのに真夏のような暑さだ。,"Although June has only just begun, it is hot like midsummer.",3502- のような/noyouna [g] something like something
3503,ような,youna [g] something like to do,会場は割れるような拍手に渦につつまれた,The grounds were engulfed by tumultuous applause.,3503- ような/youna [g] something like to do
