Words,Reading,Meaning,Type,Sentence,Translation
まで,,until (I) do,,新しいのを買うまで、これを使って下さい,Please use this until I buy a  new one
までに,,by the time (I) do,,お客さんが来るまでに、できあがると思います,I think it will be finished by the time the guests come
まえに,,before doing,,帰る前におお店によって下さい,Please go by the store before coming home
もの,,thing,,食べるものはありませんか,Don’t you have anything to eat
な,,don’t do (abrupt negative command),,忘れるな,Don't forget
ために,,"in order to, so that, for the sake of, because of",,子供がわかるためにはっきりと説明して下さい,"In order for the children to understand, please explain clearly"
と,,if (I) do,,東京によると友達にわあなくてはなりません,"If you stop by Tokyo, you must see my friend"
とちゅう,,"be en route, on the way",,今会社へ行く途中です,I en route to the company now
ところ,,be about to,,今ちょっと出かけるところです,We are about to go out now
としたら,,If (I) were to (emphatic conditional),,車を買うとしたら、どんなものがいいかしら,"If we were to buy a car, what kind would be best"
とすれば,,If (I) were to (emphatic conditional),,お友達が来るとすれば、五月でしょう,"If your friend does come, It will probably be in May"
とすると,,If (I) were to (emphatic conditional),,もしハワイいに止まるとすると一晩だけでしょう,"If we do stop in Hawaii, I will probably be only one night"
としても,,even if,,お母さんに聞くとしても、お父さんが賛成しないと思います,"Even if we ask Mother, I think Father will not approve"
つもり,,intend to,,明日電車で行くつもりです,I intend  to go by train tomorrow
ように,,in order to,,明日出かけられるように準備しています,I am preparing to be able to depart tomorrow
よてい,,plan to,,明日テニスをする予定です,I plan to play tennis tomorrow
せよ,,abrupt command,,勉強せよ,Study!
やれ,,abrupt command,,やれ,Do!
こい,,abrupt command,,来い,Come!
ば,,if/when (i) do (conditional),,急げば間に合います,"If we hurry, we can make it"
ば,,if/when (i) do (conditional),,アイスクリームは少しだけ食べればいいです,"If you only eat a little ice cream, it’s okay"
ばよかった,,"should have done, wish to do",,早く食べればよかったです,I should have eaten sooner
すればよかった,,"should have done, wish to do (kuru: kureba, suru: sureba)",,勉強すればよかったです,I should have studied
くればよかった,,"should have done, wish to do (kuru: kureba, suru: sureba)",,早く来ればよかったです,I should have come earlier
えます,,potential form ( group 1 verbs: yodan),,日本語が読めますか,Can you read Japanese?
えます,,potential form ( group 1 verbs: yodan),,日本語が話せますか,Can you speak Japanese?
える,,potential form ( group 1 verbs: yodan),,日本語が読める？,Can you read Japanese?
える,,potential form ( group 1 verbs: yodan),,日本語が話せる？,Can you speak Japanese?
られる,,potential form ( group 2 verbs: ichidan),,辛いものは食べられますか？,Can you eat spicy food?
できる,,potential form ( suru: dekiru),,静かに勉強できますか？,Can you study quietly?
できる,,potential form ( suru: dekiru),,お手洗いをちょっとお借りできますか,Can I use your restroom for a moment?
できる,,potential form ( suru: dekiru),,わたしはにほんごをはなすことができる,I can speak Japanese.
くれる,,potential form ( kuru: kureru),,明日は来れるかな？,Can you come tomorrow?
おう,,let’s ..  (informal inclusive command),,もう遅いから帰ろう,"It's late already, Let's go home"
よう,,let’s ..  (informal inclusive command),,食べよう,Let's eat.
こよう,,let’s ..  (informal inclusive command),,ビーチに来よう,Let's come to the beach
しよう,,let’s ..  (informal inclusive command),,明日試験ですから勉強しようよ,"We have an exam tomorrow, Let's study"
おうか,,shall we ..  (informal inclusive query),,1時半に始めようか,Shall we start at 1:30?
ようか,,shall we ..  (informal inclusive query),,明日また来ようか,Shall we come again tomorrow?
おうとおもう,,i think i will,,今日友達の家に行こうと思います,I think I will go my friend's house today
おうとおもう,,i think i will,,明日また来ようと思っています,I am thinking I will come again tomorrow
おうとする,,"be about to, try to, attempt to",,ドアを開けようとしたが鍵がかかっていました,"I tried to open the door, but it was locked"
おうとする,,"be about to, try to, attempt to",,お風呂に入ろうとしたら電話がかかってきた,"When I was about to take a bath, the phone rang"
おうとする,,"be about to, try to, attempt to",,会社からまさに出ようとした時雨が降ってきた,"When I was just about to leave the office, it started to rain"
おうとする,,"be about to, try to, attempt to",,電車に乗ろうとしたときにドアが閉まって乗れなかった,"When I tried to get on the train, the door closed and I couldn't get on"
おうとしている,,"be about to, trying to, attempting to (progressive form)",,先生は授業を始めようとしています,The teacher is about to start class
おうとしている,,"be about to, trying to, attempting to (progressive form)",,警察に電話しようとしています,He is about to call the police
てあげる,,do for someone,,地図を書いてあげましょうか,Shall I draw you a map
てやる,,do for someone,,友達に見せてやろうと思います,I think I will show it to my friends
てある,,has been done,,手紙はもう書いてあります,The letter have already been written
てある,,has been done,,電気はもう点けてありました,The lights have already been turned on
てほしい,,I want someone to do,,お母さんに買って欲しいです,I want my mom to buy it
てほしい,,I want someone to do,,野菜を食べて欲しかったです,I wanted you to eat your vegetables
てほしい,,I want someone to do,,見て欲しいものがあります,I want you to see something
てほしい,,I want someone to do,,部屋が散らかっているから片付けてほしい,The room is cluttered so I want you to clean it up
ていく,,"do and then go, do before going",,先生と話して行きましょう,Let’s talk with the teacher and go
持っていく,,"take and go, take away with you (something)",,この本を持って行きます,I will take this book with me
連れていく,,"take and go, take away with you (someone)",,映画にいくなのなら妹も連れていきなさい,"If you go to the movies, take your sister with you"
ている,,continuous action (progressive form),,父は今新聞を読んでいます,My father is reading the newspaper right now.
ている,,continuous state (resultative form),,お店が開いています,The store is open.
ている,,habitual (repetitive form),,あの店では新しい野菜を売っています,The store is selling new vegetables.
ていただきます,,have someone do,,明日先生に教えていただきます,The doctor will tell us tomorrow.
ていただきます,,have someone do,,今晩電話をしていただけませんか,Could you please call me tonight?
てもらう,,have someone do,,少年は大人の友達にビールを買ってもらいました,The boy asked his adult friend to buy him a beer.
てから,,after doing,,食べてから宿題をする予定です,He is going to eat and then do his homework.
てください,,please do (polite request),,これを見てくださいますか,Will you look at this?
てくる,,"do and come back, do/done before  coming",,食べてきました,I've eaten.
持ってくる,,bring,,傘を持ってきませんでした,I didn't bring my umbrella.
行ってくる,,be (right) back,,すみません、ちょっと行ってきます,"Excuse me, I have to go."
忘れてくる,,forgot to bring,,教科書を忘れてきました,I forgot my textbook.
てみる,,"do and see, try doing",,美味しいですから食べてみてください,It's delicious. You should try it.
てみる,,"do and see, try doing",,怪しい音が聞こえたから部屋に入ってみました,"I heard some suspicious noises, so I went into the room."
ても,,even if (i) do,,友達が来ても出かけてはいけません,You shouldn't go out when your friends come.
ても,,even if (i) do,,走っても間に合わないと思います,I don't think I can run in time.
てもいい,,it’s ok to,,早く帰ってもいいですか,Can I go home early?
てもいい,,it’s ok to,,少し食べてもいいです,I don't mind if you eat a little.
てもだいじょうぶ,,even if..it’s ok,,急がなくても大丈夫だよ,There's no need to hurry.
てもだいじょうぶ,,even if..it’s ok,,試着ても大丈夫ですか,Can I try on a dress?
てもかまいません,,even if..there is no problem,,質問しても構いませんか,Can I ask you a question?
てもかまいません,,even if..there is no problem,,窓を開けても構いませんか,Do you mind if I open the window?
てもかまいません,,even if..there is no problem,,随時に退席しても構いません,You may leave at any time.
ておく,,"do for a later purpose, do and set aside, leave as is",,明日テストですから勉強しておきましょう,"You have a test tomorrow, so you'd better study."
ておく,,"do for a later purpose, do and set aside, leave as is",,窓を開けっ放しにあひておくな,Don't leave the window open.
てしまう,,"do completely, irrevocably, irretrievably",,考ええなくて言ってしまいました,I couldn't think of anything else to say.
てはいけません,,"its not ok to, should not do",,ここでタバコを吸ってはいけません,Don't smoke in here.
てはだめです,,"its not ok to, should not do",,図書館の中で大声で反してはだめです,Don't talk loudly in the library.
た,,informal past ,,少し休んだ,I got some rest.
た,,informal past ,,私は日本料理を食べた,I ate Japanese food
たあと,,"after doing, after having done",,食べた後出かけました,"After we ate, went out"
たあと,,"after doing, after having done",,終わった後電話をします,"After I'm done, I'll call you "
たばかり,,have just done,,いま食べたばかりです,I just ate
たばかり,,have just done,,鈴木さんがついたばかりだと思います,I think Mr. Suzuki just arrived
たことがある,,"have (ever) done, had been",,ロンドンに行ったことがありますか,Have you ever been to London?
たことがある,,"have (ever) done, had been",,刺身を食べたことがありません,I've never eaten raw fish before
たら,,if (i) do/did ,,お友達が今電話をしたらどうしますか,What would you do if your friend called you right now?
たら,,if (i) do/did ,,お金がなくなったら困ります,I would be in trouble if my money ran out
たりする,,non-sequential series of verbs,,学校が終わってから手紙を書いたり音楽を聞いたりします,"After school, I write letters and listen to music"
ために,,because (i) did because of,,先生が言ったために信じました,"Because the teacher said, I believed it"
ために,,because (i) did because of,,手紙を受けたために電話をしました,"Because I received your letter, I called you "
ために,,because (i) did because of,,気分が悪いですがよく寝なかったためです,"I don't feel well, but that's because I didn't sleep well"
たところ,,"just did, have just done, the point of having done",,今食事が終わったところです,I've just finished dinner
のが好きです,,I like to,,サッカーを見るのが好きです,I like to watch soccer・I like watching soccer
のが嫌いです,,I don’t like to,,自転車に乗るのが嫌いです,I don’t like to ride a bicycle・I don’t like riding a bicycle
のが得意です,,I am good at (one’s forte),,ピアノを弾くのが得意です,I am good at playing piano
のが上手です,,I am good at,,ピアノを弾くのが上手です,I am good at playing piano
のが苦手です,,I am not good at,,絵を描くのが苦手です,I am not good at drawing a picture
のが下手です,,I am bad at,,絵を描くのが下手です,I am bad at drawing a picture
つもり,,I intend to,,パーティーに行くつもりです,I intend to go to the party
まえに,,Before doing,,寝る前に本を読みます,I read a book before going to sleep
ましょうか,,"Shall I, Shall we",,荷物を持ちましょうか,Shall I carry your bag
にいきます,,Go to do,,新宿ウニ映画を見に行きます,I’ll go to Shinjuku to see a movie
すぎる,,Too much,,昨日ケーキを食べすぎました,I ate too much cake yesterday
たい,,I want to,,ラーメンが食べたいです,I want to eat ramen
てほしい,,I want you to,,ラーメンが食べて欲しいです,I want you to eat ramen
てください,,Please do,,ゆっくり話してください,Please speak slowly
てもらえませんか,,Could I have you,,ひらがなで書いてもらえませんか,Could I have you write it in hiragana
て.. て,,do and do,,渋谷に行ってご飯を食べる,I’ll go to Shibuya and eat some food
てもいい,,May I,,今日早く帰ってもいいですか,May I leave early today
てもいいですか,,Is it ok to,,充電器を借りってもいいですか,May I borrow a charger
ている,,Continuous action,,今日本語を勉強している,I’m studying Japanese now
ている,,Continuous state,,埼玉に住んでいる,I’m living in Saitama
ていた,,I was -ing,,昨日の夜８時ごろお風呂に入っていた,I was taking a bath about 8pm last night
ていた,,I used to ,,10年前パリに住んでいた,I used to live in Paris ten years ago
ていません,,I haven’t yet,,まだ昼ごはんを食べていません,I haven’t eaten lunch yet
たことがあります,,"I have been to, have done",,富士山位登ったことがあります,I have climbed Mount Fuji
たおほうがいい,,Its better to,,駅まではバス行ったほうがいいですよ,It’s better to go by bus to the station
たりします,,"I do things like -ing, -ing",,映画を見たり、買い物をしたりします,I do things like watching movies and going shopping
たら,,If I Verb,,お金があったら、世界中旅行します,"If I had the money, I would travel around the world"
たら,,When you Verb,,駅に着いたら、電話して下さい,"When you arrive at the station, please give me a call"
ないでください,,Please do not,,時間に遅れないでください,Please don’t be late
なきゃいけません,,I should / must / have to,,今日は早めに帰らなきゃいけません,I have to leave earlier today
ないほうがいい,,Better not to,,無理しないほうがいいです,It’s better not to work too hard
なくてもいい,,You don’t have to,,日本語で書きなくてもいいです,You don’t have to write in Japanese
なくてもいい,,It’ok not to,,いいえ、予約しなくてもいいです,"No, It’s ok to not to make a reservation"
かもしれません,,It might…,,明日は雨が降るかもしれません,I think Tanaka-san is in the office
みたい,,Seems to be…,,この曲は人気があるみたいです,It might rain tomorrow
とおもう,,I think…,,部長はもう帰ったと思います,This song seems to be popular
かもしれません,,Might have been…,,セールは昨日までだったかもしれません,I think the manager already went home
みたい,,Seems to have been…,,じょんさんは恣意ごとを辞めたみたいです,The sale might have been until yesterday
えます,,I can,,ギターが弾けます,I can play the guitar
ようになる,,To be able to,,まいにちれんしゅうすれば、およげるようになります,"If you practice everyday, you'll eventually be able to swim"
ようになりました,,I became able to,,漢字が読めるようになりました,I became able to read kanji
えます,,Can be seen / heard,,ここから富士山が見えます,I can see Mount Fuji from here
はず,,Should Verb (expectation),,部長はまだ会議室にいるはずです,The manager should still be in the meeting room
ので,,Since / Because,,仕事が遺書がしのでレッスンを休みます,I'll miss the lesson because  I’m busy at work
かどうかわからない,,I don’t know whether or not to,,JLPT　を受けるかどうかわかりません,I don't know If I’ll take the JLPT or not
かどうか決めていない,,I haven’t decided whether or not to,,近藤さんの送別会に行くかどうかまだ決めていません,I haven’t  decided if I’ll go to Kondo-san’s farewell party
かどうか覚えていない,,I don’t remember whether or not,,出かける前に鍵をかけましたかどうか覚えていない,I don't remember  whether or not I locked the door before leaving
かわからない,,I don't know (what / where / who),,何時に来るか分からない,I don't know what time she will come
か決めていません,,I haven’t decided to (yet) (QW),,いつ帰るかまだ決めていません,I haven’t decided yet when to go back
か覚えていません,,I don’t remember (QW),,ここまでどうやって来ましたか覚えていません,I don’t remember how we arrived here
てみる,,Try to,,自分で作ってみます,I’ll try to make it myself
ておく,,Do in advance,,予約しておきます,I'll make the reservation (in advance)
ている,,Has been -ing,,桜が咲いています,The cherry blossoms are booming
てしまいました,,"Ended up, Unfortunately doing, Completely done",,財布を落としてしました,"Unfortunately, I dropped my wallet"
ちゃった,,"Ended up, Unfortunately doing, Completely done",,食べちゃった,I ate it
えば,,Conditional,,タクシーに乗れば、間に合います,You can make if if you take a taxi
えばよかった,,I should / must / have to,,もっと勉強すればよかった,I should have studied harder
えばいいですか,,How / when / what should I ,,どうやって注文すればいいですか,How should I order
あげる,,I give…,,私は友達にDVDをあげました,I gave my friend the DVD
くれる,,Gives me …,,友達が私にお菓子をくれました,My frend gave me  snacks
もらう,,I receive…,,友達に映画のチケットをもらいました,I got tickets to the movies from my friend
てあげる,,I do (to someone),,私は友達に英語教えてあげました,I taught my friend English
てくれる,,Someone do (to me),,友達が私に日本語教えてくれました,My friend taught me Japanese
てもらう,,I have someone do,,友達に宿題を手伝ってもらいました,I had my friend help me with my homework
おうと思っている,,I am thinking of…,,今週は行こうと思っています,I am thinking of going this week
おうと思ったら,,When I tried to do …,,予約しようと思ったら、いっぱいでした,"When I tried to make a reservation, it was fully booked"
おう,,Volitional,,外に行きましょうか・外に行こう,Shall (we) go outside
られる,,Passive,,ポリッジが誰かに食べられた,The porridge was eaten by somebody
させる,,Causative ( Let / Made someone),,先生が学生に宿題をたくさんさせた,Teacher made students do lots of homework
させてあげる,,Causative ( I let someone),,私は田中さんに運転させてあげる,I let Mr. Tanaka to drive
させてくれる,,Causative ( Someone let me),,田中さんは私に運転させてくれる,Mr. Tanaka let me drive
させてもらう,,Causative ( I have/had someone let me),,私は田中さんに運転させてもらう,I have Mr. Tanaka to let me drive
させられる,,Causative-Passive,,朝ご飯は食べたくなかったのに、食べさせられた,"Despite not wanting to eat breakfast, I was made to eat it"
とき,,When,,母は本を読むとき、めがねをかけます,My mother wears glasses when she reads.
ながら,,While,,わたしはいつも料理の本を見ながら料理を作ります,I always cook from a cookbook.
あいだ,,Throughout the time,,わたしは夏の間、ずっと北海道にいました,I've been in Hokkaido for the whole summer.
あいだに,,"During, When",,夏休みの間に引っ越ししたいです,I want to move during the summer vacation.
ところだ,,"About to, In the midst of, Just",,時刻は間もなく３時になるところです,It's almost three o'clock in the morning.
おり（に）,,Whenever there is an occasion,,このことは今度お目にかかった折に詳しくお話しいたします,I'll tell you more about this the next time we see each other.
さい（に）,,"When, On the occasion of",,非常の際はエレベーターを使わずに、階段をご利用ください,"In case of emergency, please use the stairs instead of the elevator."
にあたって,,On the occasion of,,研究発表をするにあたってしっかり準備をすることが必要だ,You need to be well prepared to present your research.
うちに,,Before you know it,,今は上手に話せなくても練習を重ねるうちに上手になります,"You may not be able to speak well now, but you will get better as you practice."
さいちゅう（に）,,In the middle of,,彼女はきゅうりを切っている最中だった,She was in the middle of cutting cucumbers.
つつ,,While,,電車に揺られつつ、２時間ほどいい気持ちで眠った,He slept for about two hours with a good feeling while being rocked by the train
とき,,When,,地震のときは、すぐに火を消しなさい,"During an earthquake, put out the fire immediately."
ながら,,While,,発音のテープを聞きながら、日本語の勉強をした,I studied Japanese while listening to a pronunciation tape.
あいだ,,Throughout the time,,両親が旅行をしている間、ぼくが毎日食事を作りました,"While my parents were traveling, I cooked meals for them every day"
あいだに,,"During, When",,暇な間に本だなをかたづけてしまおう,Cleaning out the bookshelf in my spare time
ところだ,,"About to, In the midst of, Just",,ご飯を食べているところに電話がかかってきた,I was eating when I got a phone call.
おり（に）,,Whenever there is an occasion,,このことは今度お目にかかった折に詳しくお話しいたします,I'll tell you more about this the next time we see each other.
さい（に）,,"When, On the occasion of",,国を出る際に、友人、知人からたくさんのお金を借りたのです,"When I left the country, I borrowed a lot of money from friends and acquaintances."
にあたって,,On the occasion of,,研究発表をするにあたって、しっかり準備をすることが必要だ,I need to be well prepared to present my research.
うちに,,Before you know it,,ふと外を見ると、気がつかないうちに雨が降り出していた,"I looked outside, and before I knew it, it started to rain."
さいちゅう（に）,,In the middle of,,今考えごとをしている最中だから、少し静かにしてください,"I'm in the middle of thinking, so please be a little quiet."
つつ,,While,,山に登りつつ、人は人生についてさまざまなことを考える,"While climbing a mountain, one thinks a lot about life."
まえに,,Before,,食事の前に手を洗いましょう,Let's wash our hands before we eat.
あとで,,After,,食事の後で、少し散歩しませんか,"After dinner, why don't we take a short walk?"
て,,Then,,電気を消して、部屋を出ます,Turn off the lights and leave the room.
てから,,After,,この仕事をぜんぶやってからビールを飲みます,"After all this work, I'll have a beer."
てから,,Since,,わたしが日本に来てから、もう４年たちました,It's been four years since I came to Japan.
たばかりだ → Vta.+,,"Just finished, Just did",,今うちに帰ってきたばかりなのでもう見ましたか,"I've just come back home, have you seen it yet?"
たら → Vta.+,,After,,夏休みになったら、国へ帰ります,I'm going back to my country after the summer vacation.
うちに,,While,,独身のうちに、いろいろなことをやってみたいです,I want to do a lot of things while I'm still single.
にさきだって,,"As a precursor to, Before",,出発に先立って、大きい荷物は全部送っておきました,"Before I left, I sent all my large luggage."
たとたん（に）,,"At the very moment, As soon as",,ずっと本を読んでいて急に立ち上がったとたん、めまいがしました,I was reading a book for a long time and suddenly I got up and felt dizzy.
とともに,,"At the same time, Together with",,ベルが鳴るとともに、子どもたちはいっせいに運動場へ飛び出した,"When the bell rang, the children ran out into the playground at once."
とおもうと,,"No sooner than, Just when",,急に空が暗くなったかと思うと、激しく雨が降り始めた,"Suddenly, the sky darkened and it began to rain heavily."
か〜ないかのうちに,,"Just barely when, As soon as",,授業が終わるか終わらないかのうちに彼は教室を出た,He left the classroom before the end of the class.
しだい,,"As soon as, the moment that",,スケジュールが決まり次第、すぐ知らせてください,Please let me know as soon as you have a schedule.
てからでないと,,Not until after,,野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ,"If you are going to eat vegetables raw, you should wash them well before you eat them, otherwise you will be worried about pesticides."
てはじめて,,"It is/was not until..that, Only after",,入院してはじめて健康のありがたさがわかりました,It was only after I was hospitalized that I realized how much I appreciate my health.
うえで,,After having,,詳しいことはお目にかかった上で、説明いたします,I will explain the details to you when I see you.
ていらい,,Ever since,,大学を卒業して以来、田中さんには１度も会っていません,I haven't seen Mr. Tanaka since I graduated from college.
てからは,,Ever since,,先月、禁煙してからは、１度もたばこを吸っていません,"Since I quit smoking last month, I haven't had a cigarette."
がはやいか,,"No sooner than, As soon as",,小田先生はチャイムが鳴るが早いか、教室に入ってきます,Mr. Oda walked into the classroom as soon as the bell rang.
やいなや,,"No sooner than, As soon as, themoment that",,ドアを開けるやいなやその猫は飛び出していった,"As soon as he opened the door, that cat ran out."
なり,,As soon as,,子どもは母親の顔を見るなり、ワッと泣き出しました,"As soon as the child saw his mother's face, he started to cry."
そばから,,As soon as,,私は聞いたそばから人の名前を忘れてしまう,I forget people's names as soon as I hear them.
てからというもの,,"From the time.., After, Since",,たばこを止めてからというもの、食欲が出て体の調子がとてもいい,"Since I quit smoking, my appetite has improved and I feel much better."
まえに,,Before,,寝る前に歯をみがきなさい,Brush your teeth before going to bed.
あとで,,After,,この薬はご飯を食べる前に飲みますか、食べた後で飲みますか,Do you take this medicine before or after you eat your meal?
て,,Then,,スーパーへ行って、たまごを買った,I went to the supermarket and bought some eggs.
てから,,After,,新しい家を買うときは、よく調べてから買いましょう,"When buying a new house, do your research carefully before buying it"
てから,,Since,,たばこをやめてから、体重が急に増えた,My weight has suddenly increased since I quit smoking cigarettes.
たばかりだ,,"Just finished, Just did",,去年日本に来たばかりなので、まだ敬語がじょうずに使えません,"I just came to Japan last year, so I can't use honorific expressions very well yet."
たら,,After,,今撮った写真ができたら、わたしにも１枚ください,"If you can take a picture of me, please take one for me."
うちに,,While,,暗くならならないうちに家に帰らなければなりません,I have to get home before dark.
にさきだって,,"As a precursor to, Before",,計画実行に先立って、周りの人たちの許可を求める必要がある,I need to ask for permission from the people around me before implementing my plan.
たとたん（に）,,"At the very moment, As soon as",,出かけようと思って家を出たとたんに、雨が降ってきた,"As soon as I left the house to go out, it started to rain."
とともに,,"At the same time, Together with",,佐藤さんはわたしの親友であるとともに、人生の大先輩でもある,"Mr. Sato is not only my best friend, but also my senior in life."
とおもうと,,"No sooner than, Just when",,あの子はやっと勉強を始めたかと思ったら、もういねむりをしている,"I thought she had finally started her studies, but she was already snoozing."
か〜ないかのうちに,,"Just barely when, As soon as",,娘が出かけるか出かけないかのうちに雨が降り出した,It started raining before she could go out.
しだい,,"As soon as, the moment that",,向こうから連絡があり次第、出発しましょう,Let's leave as soon as we hear from the other side.
てからでないと,,Not until after,,田中さんは出張中だから、来週からでないと出社しません,"Mr. Tanaka is on a business trip, so he won't be coming to work until next week."
てはじめて,,"It is/was not until..that, Only after",,大きな仕事は十分な準備があってはじめて成功するのだ,A big job can only be successful if there is enough preparation.
うえで,,After having,,どの大学を受験するか、両親との相談の上で、決めます,"I'll decide which university to apply for, after consulting with my parents."
ていらい,,Ever since,,来日以来、父の友人のお宅にホームステイしています,"Since coming to Japan, I have been staying with a friend of my father's."
てからは,,Ever since,,２年前に社会人になってからは、ひまな時間はほとんどありません,"Since I joined the workforce two years ago, I have very little free time"
がはやいか,,"No sooner than, As soon as",,ひろ子は自転車に乗るが早いか、どんどん行ってしまった,"Hiroko got on her bike, but she was too fast for it."
やいなや,,"No sooner than, As soon as, themoment that",,その男の人は部屋に入るや否や、いきなり大声で怒鳴り始めた,"As soon as she entered the room, the man suddenly started yelling at her."
なり,,As soon as,,今度は横になるなりほぼ即座に寝ついていた,"This time, he lay down and fell asleep almost instantly"
そばから,,As soon as,,片付けるそばから子供がおもちゃを散らかす,The kids made a mess of their toys while I was cleaning up.
てからというもの,,"From the time.., After, Since",,息子が大学に入り家を出ていってからというもの、寂しくなった,"Since my son started college and left home, I've been lonely."
てもらう,,I have/had someone do for me,,私は日本人の友達に日本料理を教えてもらった,I had a Japanese friend who taught me how to cook Japanese food.
てもらえるか,,request someone do,,ちょっとドア閉めてもらえるか,Could you close the door for a second?
てもらえるかとうれしい,,request someone do (polite request),,私が買い物から帰ってくるまでに掃除しておいてもらえると嬉しいんだけど,It would be nice if you could have it cleaned up by the time I get home from shopping.
てやってもらえるか,,request someone do (some slight approval),,悪いけどちょっと太郎の宿題を見てやってもらえるか,"I'm sorry, but can you help to look over Taro’s homework."
させる,,"coercion, instruction, non-interference",,教師が学生に賓を読ませた,The teacher made the students read the book
させる,,"coercion, instruction, non-interference",,親が子供に宿題をさせた,The parent made the child do homework.
させる,,"coercion, instruction, non-interference",,私は妹に昼ご飯を作らせた,I made my sister make lunch.
させる,,"coercion, instruction, non-interference",,私が子供を買い物に行かせた,I had the children go shopping
させる,,"coercion, instruction, non-interference",,私は仲間を死なせてしまったことを後悔している,I regret that I let my friend die.
させる,,"coercion, instruction, non-interference",,大きな契約だから新入社員に行かせるのは心配だ,"It's a big contract, and I'm worried about letting the new guy go."
させる,,induce someone to do,,彼はいつも冗談を言ってみんなを笑わせる,He always telling jokes and making everyone laugh
させる,,induce someone to do,,私は子供の頃は乱暴で、近所の子をよく泣かせれいた,When I was a child I was wild and unruly and often made the children in my neighbourhood cry
させる,,"induce something to, be the cause of something doing",,子供たちは目を輝かせて話に聞き入っている,"The children are listening intently to the story, their eyes sparkling."
させる,,"induce something to, be the cause of something doing",,猫は目を光らせて暗闇に潜んでいる,"The cat is lurking in the darkness, its eyes sharp."
させてあげる,,"permission, non-interference",,そんなにこの仕事がやりたいのならやらせてあげましょう,"If you want to do this job so much, I will let you do it."
させてあげる,,"permission, non-interference",,私は友達にコンピューターを使わせてあげた,I let my friend use the computer.
させてあげる,,"permission, non-interference",,母親は子供を遊びに行かせてあげた,The mother let her child go to play.
させておく,,non-interference,,甘えて泣いているだけだからそのまま泣かせておきなさい,"He is just crying like a spoilt baby, so leave him be and let him cry."
させてください,,request for permission,,申し訳ありませんが今日は少し早く帰らせてください,"I’m very sorry, but please let me go home a little early today."
させていただけます,,request for permission,,少し考えさせていただけますか,Could you give me some time to think it over?
させてくれる,,speaker views being allowed or left to do something as a kind of favor,,両親が早く亡くなったので姉が働いて私を大学に行かせてくれた,"My parents died early, so my sister worked to send me to college."
させてくれる,,speaker views being allowed or left to do something as a kind of favor,,同僚が(私に)手料理を食べさせてくれた,My colleague let me eat his/her homemade dish.
させてくれる,,speaker views being allowed or left to do something as a kind of favor,,先生が妹にノートを写させてくださった,The teacher let my younger sister copy his/her notebook.
させてもらう,,speaker views being allowed or left to do something as a kind of favor,,金婚式の祝いに、子供たちにハワイに行かせてもらった,My kids sent us to Hawaii to celebrate our golden wedding anniversary.
させてもらう,,speaker views being allowed or left to do something as a kind of favor,,(私は)両親に留学させてもらった,I had my parents let me study abroad.
させてもらう,,speaker views being allowed or left to do something as a kind of favor,,(私は)上司に極秘書類を読ませていただいた,My boss let me read the top-secret document.
させられる,,forced to do something and its bothersome or objectionable,,昨日はお母さんに３時間も勉強させられた,My mom made/forced me study for three hours yesterday.
させられる,,forced to do something and its bothersome or objectionable,,先輩に無理にお酒を飲ませられた,A senior colleague forced me to drink alcohol.
させられる,,forced to do something and its bothersome or objectionable,,私は母に部屋を掃除させられた,I was made to clean the room by my mother.
ずにおく,,express that for some reason a certain action is deliberately not taken,,明日病院で検査を受けるなら夕飯は食べずにおいた方がいいんじゃないですか?,"If you are going to have tests done at the hospital tomorrow, isn’t it better not to have any dinner?"
ずにすむ,,express not to do the previous plan or have been avoided,,いい薬ができたので手術せずにすんだ,"Now that we have a better drug, we don't have to operate."
ずにはいられない,,"can’t help but do, situation or action bound to occur",,彼女の気持ちを思うと、自分のしたことを悔やまずにはいられない,"When I think of how she feels, I can't help but regret what I've done."
ずにはすまない,,can’t help but do,,親戚皆が出席するならうちも行かずにはすまないだろう,"If all my relatives are going to be there, we probably have no choice but to go"
かと思う,,"to think something isn’t sure, improper, or questionable",,間に合わないかと思ったよ,I was afraid I wouldn't make it in time.
かと思う,,"to think something isn’t sure, improper, or questionable",,暗闇で迷子になるんじゃないかと思った,I thought I'd get lost in the dark.
かと思う,,"to think something isn’t sure, improper, or questionable",,てっきりずっと日本にいるかと思ったよ,I thought I'd be in Japan forever.
ついでに,,"while, incidentally, when/after doing something..do also another thing",,薬局へ薬を買いに行ったつでにトイレットペーパーも買ってきた,"I went to the pharmacy to buy some medicine, and I also bought some toilet paper."
気味,,seems somewhat (often used for negative connotation),,彼女は少し緊張気味だた,She was a little tense
気味,,seems somewhat (often used for negative connotation),,現在の内閣の支持率は発足時よりやや下がり気味である,The approval rate of the present cabinet is trending a little lower that when it took office
気味,,seems somewhat (often used for negative connotation),,ちょっと遅れ気味なので補習授業を行いましょう,"We are a little behind, so we'll have a make-up class."
なんかいない,,emphasize that it is not true,,泣いてなんかいない、目にゴミが入っただけです,I'm not crying. I just got a speck in my eye.
からといって,,just because,,野菜が嫌いだからといって食べないのはよくないよ,Just because you don't like vegetables doesn't mean you shouldn't eat them.
からといって,,just because,,日本語が話せるからといって日本語が教えられるとは限らない,Just because you speak Japanese doesn't mean you can teach it.
