W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
口を挟む,cut into a  conversation,片道切符,one-way ticket,茹で麺,boiled noodles,粒度,particle size,一隅,"corner, hook",選別,sort
耳を挟む,happen to hear,小舟,small boat,塔,"tower, pagoda",全粒,whole grain,隅々,"corners, hooks",魂,soul
差し挟む,to interrupt,渡し船,ferryboat,管制塔,control tower,筒,"pipe, tube, cyclinder",四隅,four corners,音,sound
言葉を挟む,"to cut its, to butt in",舟艇,"boat, watercraft",鉄塔,steel tower,封筒,envelope,右上隅,top right corner,スープ,soup
赤ん坊,"baby, infant",涼しい,"cool, refreshing",五重塔,five-storied pagoda,水筒,"flask, water bottle",左上隅,top left corner,ソース,source
朝寝坊,"oversleeping, late riser",涼風,cool breeze,航空管制塔,air traffic control tower,円筒,cylinder,右下隅,bottom right corner,南,south
寝坊,"sleeping in late, oversleeping",清涼,"cool, refreshing",監視塔,watchtower,筒井,round well,左下隅,bottom left corner,南方の,southern
家畜,"domestic animals, livestock",涼む,to cool oneself,猫,cat,姓,surname,泥,"mud, dirt",ソビエト,Soviet
畜産,livestock industry,涼しげ,"cool, cool-looking",子猫,kitten,同姓,same surname,泥棒,thief,スペース,space
牧畜,stock-farming,涼気,cool air,山猫,wild cat,姓名,full name,泥沼,"bog, marsh, swamp",スペイン語,Spanish
畜生,beast,涼雨,cool rain,野良猫,stray cat,素性,"birth, lineage",泥酔,dead drunk,話す,speak
畜産物,livestock product,枯れる,"withered, die, mature",飼い猫,pet cat,旧姓,maiden name,雲泥の差,wide difference,スピーカー,speaker
畜産業,stock raising,枯葉,dead leaf,洗濯,"laundry, washing",歯磨き,dental brushing,恥,"shame, embarrassment",特別な,special
乾燥,dryness,枯れ木,dead tree,洗濯機,washing machine,磨き,"polish, improvement",恥かしい,"embarrassing, shy",スペシャリスト,specialist
焦燥,"impatience, uneasiness",木枯らし,cold wintry wind,洗濯物,laundry,研磨,"grinding, polishing",恥じる,feel ashamed,種族,species
乾燥機,drying machine,枯死,"dying, withering",濯ぐ,"to rinse, to wash out",磨く,"to polish, to shine, to refine",恥じらう,to feel shy,特定,specific
燥ぐ,to make merry,枯渇,"drying up, running out",洗濯屋,launderette,琢磨,"polish jewels, cultivation",恥辱,"disgrace, shame",具体的には,specifically
天日乾燥,sun drying,栄枯,ups and downs,洗濯代,laundry charges,水歯磨き,mouthwash,恥じらい,shyness,スピーチ,speech
乾燥地,dry land,枯れ草,dead grass,洗濯籠,laundry basket,研磨氏,sandpaper,恥知らず,shameless,速度,speed
乾燥肉,dried meat,帽子,cap,皮膚,skin,靴磨き,shoeshine,恥さらし,"disgrace, shame",スペル,spell
乾燥洗濯,dry cleaning,赤帽,red cap,肌,skin,辛い,"spicy, hot, harsh",無恥,shameless,費やす,spend
乾燥剤,drying agent,水泳帽,swimming cap,肌着,underwear,辛口,dry taste,国恥,national humilation,支出,spending
目標,"goal, target, objective",資源,resources,価値,"value, worth",手続き,procedure,そっくり,"all, entirely, exactly like",スピン,spin
緩い,"loose, lenient",テーマ,theme,苦労,"hardship, trouble",迎える,"to invite, welcome, meet",がっかり,feel disappointed,精神,spirit
きつい,"tight, hard, tough",未来,(distant) future,緊張,"tension, nervousness",種,seed,うっかり,carelessly,スピリチュアル,spiritual
リサイクル,recycling,うわさ,"rumour, hearsay",係員,staff,割合,"ratio, percentage",しっかり,"tightly, firmly",スプリット,split
サイズ,size,内緒,secret,健康,health,要求,"demand, request",渋滞,"congestion, stagnation",偏差,a deviation
建築,"construction, architecture",頭痛,headache,涼しい,"cool, refreshing",身長,"body length, stature",中止,"stoppage, discontinue",休みの間に,during the vacation
代表的,"typical, representative",枯れる,"to wither, to die",案内,guide,郵便,mail service,停電,power outage,テレビと言えば,speaking of tv
案,"idea, plan",翻訳,translation,気温,temperature,速達,express mail,集中,"concentrate, focusing",最小,minimum
新鮮,fresh,おこづかい,pocket money,親友,close friend,交通,transport,避難,evacuation,良い,good
植える,"to plant, to raise, to implant",重ねる,to pile up,合計,total,鉄道,railroad,出席,attendance,記号,symbols
インタビュー,interview,発表,"announcement, publication",解決,"solution, settlement",増加,increase,主張,business trip,市庁舎,a town hall
零す,to spill,共通点,common point,財布,wallet,成長,growth,出産,giving birth,買い付け,buying
うっかり,"carelessly, absent-mindedly",なるべく,as much as possible,実験,experiment,準備,preparation,お願い,"request, wish",タオル,towels
最新,"the latest, the newest",演奏,musical performance,腹,"belly, abdomen",発表,announcement,お誘い,invite,蝸牛,snail
情報,"information, news",うまい,good at,薬,"medicine, drug",費用,"cost, expenditure",お守り,"charm, amulet",感じる,feel
カーブ,cab,偶然,"unexpectedly, accidentally",公務員,public servent,最初,"first, outset",お祝い,"celebration, congratulatory gift",休憩所,a rest area
断る,"to refuse, to turn down",冗談,joke,通訳,interpreter,戦争,war,送る,"to send, to dispatch",銀行,a bank
満員,full house,我慢,"patience, endurance",強盗,robbery,港,"harbor, port",贈る,"to give as a gift, to present",野犬,stray dog
健康,"health, healthy",温める,"to warm up, to heat up",調べる,"investigate, examine",直る,"be fixed, be repaired",病気にかかる,"get sick, become ill",アダプター,an adaptor
さまざま,various,育てる,"to raise, to bring up",連絡,contact,全員,all members,叱る,to scold,正面,front
期限,deadline,ノック,knock,飛行機,airplane,学部,department of a university,受かる,to pass (exam),小鳥,small bird
締め切り,deadline,マナー,manners,権利,"a right, a previlege",職員,staff member,清掃,cleaning,傾注,devoting
性格,"personality, character",自信がある,be confident,経験,experience,会費,membership fee,新築,"new house, new building",気力,energy
編む,"to knit, to braid",応援,"aid, support, cheering",会議,"meeting, conference",おなえる,"to prepare for, to equip with",新鮮,fresh,眉,eyebrows
片方,"one of a pair, other party",おしまい,the end,手術,surgery,終了,"end, close",高価,expensive,噛み付く,to bite (at)
位置,"place, position, situation",抱負,"aspiration, ambition",情景,"spectacle, sight, scene",無責任,irresponsible,感動を与える,give an impression,予約する,to book
関係,relationship,心地よい,comfortable. pleasant,平等,"equality, fair",新学期,new school term,ドラマの撮影,filming a drama,多数,many
休日,"holiday, day off",ずっしり,"heavily, profound",見学,find trip,低カロリ,low calorie,腹を立てる,get angry,帰省,returning home
首都,capital,ブランク,"blank, gap",皮膚,skin,高カロリ,high calorie,最寄りの駅,the nearest station,切ってでも,even if it means cutting
応募,"application, subscription",弾む,"to spring, get lively",響く,"to resonate, to be heard far way",悪影響,"bad influence, negative effect",礼儀正しい,good manners,塔,tower
席,seat,肝心,"essential, important, vital",毛皮,fur,住宅街,residential area,柔軟に対応する,work flexibly,付近,neighborhood
大会,"tournament, competition",釈明,"explanation, excuse",人質,hostage,未経験,inexperienced,ギリギリ間に合う,just in time,付着,sticking to
欠点,weak point,ヘトヘト,exhausted,圧勝,overwhelming victory,準優勝,"runner-up, 2nd place",実力を発揮する,show one’s abilities,親しむ,to be intimate with
現在,"now, current",スケール,scale,原稿,"draft, manuscript",都会育ち,city breed,こつこつ勉強する,study steadily,亡霊,departed spirit
暖かい,warm,メデイア,media,印刷,"printing, print out",仮採用,provisional appointment,こつこつお金を貯める,save money steadily,破る,breaking
観客,audience,剥がす,"to detach, strip, rip off",乱暴,"violent, reckless, assault",悪条件,bad condition,役割を果たす,fulfil one’s duty,金魚,goldfish
逆,"reverse, opposite",募る,"raise (funds), recruit (workers)",反映,"reflection, influence",好条件,favorable condition,いいアイデアが浮かぶ,good ideas come into mind,子牛,calf
最初,first time,粘れ強く,"tenacious, perseverant, persistent",予備,"reserve, spare",今シーズン,this season,テーマを絞る,narrow down the theme,予約注文,pre-order
家具,furniture,合意,"agreement, consent",診断,diagnosis,来シーズン,next season,輝かしい成績,brilliant results,和牛,wagyu beef
浅い,shallow,連携,"cooperation, coordination",地震,earthquake,昨シーズン,last season,栄養のバランス,nutritional balance,魚群,school of fish
豆,beans,綿密,"thorough, detailed",即座に,"immediately, right away",再放送,"rerun, re broadcast",完璧に理解する,understands perfectly,派閥,faction
共通,common,塗れ,"covered with, stained",農産物,agricultural products,就職率,employment rate,無事に帰国する,return home safely,交付,"delivery, issuance"
丸い,round,細心,"meticulous, careful, discrete",水産物,marine products,投票率,voter turnout,リーダーにふさわしい,suitable for a leader,訪問する,to visit
個人,individual,根拠,"basis, foundation",怪しい,"suspicious, dubious, doubtful",成功率,success rate,人を外見で判断する,judge people by appearance,顔付き,(outward) looks
厚い,thick,伴奏,accompaniment,為替,"money order, exchange (foreign)",進学率,"advancement rate, enrollment rate",質素な生活,a frugal lifestyle,崩れる,collapse
汗,sweat,叶う,"to come true, to be realized",縛る,"to tie, fasten, to bind",高収入,high paying,温度を調節する,adjust the temperature,受付,a receptionist
島,island,安静,"rest, quite, repose",例外,exception,低収入,low paying,お金をおろす,withdraw cash,枕,a pillow
守る,"defend, protect",教訓,"lesson, teaching learned knowledge",交代,"alternation, taking turns",副社長,vice president,うっかり忘れる,slip my mind,翌朝,next morning
値段,price,自尊心,"self-esteem, pride",倉庫,warehouse,前社長,former president,ページをめくる,turn a page,プレゼント,a present
痛い,painful,なつく,"take kindly to, be tamed",彫刻,"sculpture, carving",原社長,current president,刺激を受ける,become stimulated,魚釣り,fishing
血液,blood,ノウハウ,know-how,解散,"breaking up, dissolve, disperse",無計画,unplanned,ルール違反,against the rules,バス停,bus stop
血液型,blood type,安堵,"relief, reassurance",不明,"unknown, uncertain, unclear",スキー場,ski area,にっこり笑う,"grin, smile",読み書き,reading and writing
替える,"replace, exchange",怯える,"become frightened, be scared of",素人,"amateur, layman",集中力,ability to concentrate,歳を取る,get older,学長,dean
示す,"to show, demonstrate",多岐,"digressed, various, different",平凡,"mediocre, ordinary, common",勉強漬け,immerse in studying,経験豊富,well experienced,陸上,land
短い,short,心当たり,"having in mind, come to mind",基地,"base, hideout",未使用,unused,風邪をひく,catch a cold,国境,a border
成績,"grades, record",入手,"acquisition, obtain",役人,government official,学年別,each grade,仕事熱心,work enthusiastic,例える,compare
焼く,"bake, burn, roast",指図,"directions, instructions, orders",執筆,writing (profession),再開発,redevelopment,家でのんびり,relax at home,教会,a church
記録,record,真っ先に,at the very beginning,電力,electric power,電車賃,train fare,姿勢がいい,good posture,亡命,seeking asylum
頭痛,headache,思い浮かぶ,"to come to mind, to occur to",怠る,be negligent in doing something,最有力候補,"prime candidate, top prospect",決意を固める,make a resolution,考えればいい,just think about it
速い,fast,すべ,"way, method, means",続々,one after another,現実離れ,"unrealistic, disconnected from reality",ストレスを解消する,relieve stress,蚊よけ,a mosquito repellent
裏,"back, opposite side",互角,"well matched, on par, even",儀式,"ceremony, rite, ritual",会員制,"members only, membership system",天気が回復する,the weather improves,魚市場,fish market
内側,inside,架空,"fictional, imaginary, aerial",国王,"throne, king",予約制,reservation required,噂が広まる,rumours go around,旅行する,to travel
卒業,graduation,添付,"attach, append",工夫,"scheming, ingenious, well thought",ビジネスマン風,look like a businessman,さっさとしなさい,hurry up,自慢,boast
相談,"consultation, discussion",おおらか,"broad-minded, composed",再開,"resume, reopen",ヨーロッパ風,european themed,簡潔に話す,speak briefly,目的地,a destination
固い,hard,スライス,a slice,昇進,"promotion, advancement",アメリカ流,american style,快く受ける,accept willingly,首都,a capital
覚える,memorize,広大な,"vast, immense",代表,representative,高水準,high standard,山のふもと,the foot of a mountain,注意力,attentiveness
割れる,"break, crack",ひとまず,for the time being,優勝,overall victory,総売上,total sales,客を家に招く,invite guest to my house,大切,important
相手,"partner, opponent",うんざり,"fed up with, tedious",成功,success,作品集,collection of works,安全保障,security,バス停,a bus station
消す,erase,皮肉,"sarcasm, irony",政府,government,音楽全般,various genres of music,社会保障,social security,窓口,ticket window
若い,young,解明,"unravelling, explaining",歴史,history,薄暗い,"dim, darkish, gloomy",ひきょうなやり方,dirty trick,豆,beans
留守,absence,じめじめ,"humid, wet",請求,"bill, invoice",諸問題い,"various problems, many problems",ファイルを添付する,attach a file,言い付ける,to tell (to do)
想像,imagination,従来,"conventional, traditional",普及,"spread, widely adopted",諸外国,various foreign countries,秘密を打ち明ける,reveal a secret,連れていく,to take with you
首,neck,重複,"overlap, repetitive, redundancy",節約,"economize, saving",現段階,"present stage, current phase",髪が伸びる,hair grows,気付く,to notice
感心,"to admire, to be impressed by",躍進,rapid progress,環境,"environment, circumstance",国際色,"international character, multi culture",売上が伸びる,sales increases,くっ付く,to adhere to
細かい,"detailed, small, fine",淡い,"pale color, light color",温泉,"onsen, hot spring",アルファベット順,alphabet order,スムーズに進む,go smoothly,絞る,squeeze
マンネリ,"stereotyped, mannerism",抗生物質,antibiotics,尋ねる,"to ask, inquire, search",保湿,moisturising,秘訣,"secret (method, trick)",停止,stoppage
回折,diffraction,竹,bamboo,雨雲,rain cloud,思いつき,"plan, idea, suggestion",時点,point in time,添付,"attaching, appending"
回折損,diffraction loss,爆竹,firecracker,青雲,blue sky,理想的,ideal,同点,same score,歌声,singing voice
回折領域,diffraction region,竹の子,bamboo shoot,仮想,"imagination, virtual",思い出,memory,点滴,"raindrops, iv, drip-feed",天然,natural
回折限界,diffraction limit,毛,"fur, hair, wool",愛想,amiability,片思い,unrequited love,力点,"emphasis, stress",牛,cow
回転,"rotation, revolution",毛布,blanket,思想,"thought, idea",想像力,power of imagination,失点,lost point,詰まる,to be packed (with)
回復,"restoration, rehabilitation",髪の毛,hair (head),理想,ideals,重点,important point,争点,point at issue,辞書,dictionary
回る,"to turn, to go around",毛皮,"for, skin",予想,expectation,欠点,"fault, defect, weal point",点滅,"flickering, blinking",冷凍魚,refrigerated fish
一回,once,羊毛,wool,想像,imagination,点数,"marks, points, score",現時点,present point,白鳥,swan
今回,"now, this time",不毛,"infertile, unproductive",空想,daydream,弱点,"weak point, shortcomings",氷点下,below freezing point,駆け付ける,to run to
回線,"circuit, line",毛糸,knitting wool,発送,"idea, conception",頂点,"top, summit",小数点,decimal point,駝鳥,ostrich
前回,last time,羽毛,feathers,構想,"plan. plot, idea",満点,"perfect score, full marks",合点,"consent, agreement",運賃,a fare
回り,rotation,動物園,zoo,回想,recollection,焦点,"focus, focal point",起点,starting point,講談,story-telling
回答,"reply, answer",公園,public park,感想,impression,地点,"site, spot, point in map",利点,poin tin favor,ボーリング場,a bowling alley
回路,circuit (electric),学園,educational institution,連想,association of ideas,交差点,intersection,零点,zero point,増える一方,increasingly
回数,number of times,園芸,gardening,夢想,"dream, vision",点検,"inspection, examination",点字,braile,焼き鳥,yakitori
身の回り,around someone,幼稚園,kindergarten,着想,"conception, idea",一点,"speck, dot, point",重点的,"prioritised, focused",人種,race
次回,next time,遊園地,amusement park,幻想,"fantasy, illusion",採点,"marking, grading, scoring",分岐点,"junction, crossroads",泥だらけ,covered in mud
回避,"evasion, avoidance",植物園,botanical garden,想定,hypothesis,終点,"last stop, terminus",汚点,"stain, flaw",注ぎ込む,to invest in
回り道,"detour, diversion",庭園,"garden, park",妄想,"wild idea, delusion",得点,"scoring, points made",句読点,function mark,要するに,in short
回送,forwarding,花園,flower garden,随想,random thought,要点,"gist, main point",点在,being dotted with,急増,sudden increase
毎回,"every time, each time",菜園,vegetable garden,感情,"emotion, feeling",原点,"origin, starting point",平均点,average mark,高等,high
歩き回る,walk around,農園,plantation,感覚,"sense, sensation",視点,"opinion, visual point",無得点,scoreless,眼鏡,glasses
乗り回す,drive a (car) around,雲,cloud,感動,deeply moved,難点,"fault, weakness",最重点,very important point,一番,most
走り回る,run around,雲行き,weather,感謝,"thanks, gratitude",接点,"tangent point, point of contact",加点,addition of points,水中,underwater
初回,first time,雲の上,above the clouds,実感,real feeling,観点,point of view,点呼,roll-call,脇道,a side street
回覧,circulation,暗雲,dark clouds,感染,"infection, contagion",拠点,"position, location",美点,"virtue, charm, merit",乗客,a passenger
解説,explanation,開設,establishment,回折,diffraction,解説者,commentator,開設者,founder,観光に依存する,to depend on tourism
着く,to arrive,付く,to be attached,就く,to take,点く,to be lit,突く,to prick,止まる,stop
点ける,to turn on,就ける,to appoint,着る,to wear,到着,arrival,落ち着く,to calm down,食べてみたところ,I tried to eat it
定着,sticking,決着,conclusion,薄着,lightly dressed,着替える,changing clothes,付着,clinging to,作付け,planting
直接,"direct, immediate",接する,to touch,接近,getting closer,接触,"touch, contact",非難,criticism,今夜,tonight
難民,refugee,苦難,suffering,難局,difficult situation,避難民,evacuees,難関,barrier,一方通行,one-way traffic
時刻表,timetable,表現,expression,発表,announcement,代表,representative,表面,surface,緩い,loose
建設,construction,設定,establishment,設計,plan,設備,equipments,設立,establishment,下手,not good
非常,emergency,応急,first-aid,緊急,urgent,危機,crisis,期待,expectation,図書,books
散歩,walk,拡散,scattering,解散,dispersing,散らす,to scatter,散る,"to fall, scatter",知りつつ,knowingly
捻る,"to screw, to twist, distort",戻る,"to turn back, return",あるいは,"or, maybe",ある意味,in a sense,揺る,to shake,傷付く,to be wounded
味噌,miso (soybean),アリ,ant,リュックサック,backpack,空気入れ,bicycle pump (air pump),娘,daughter (own),ソケット,a socket
豆乳,soy milk,抗生物質,antibiotics,ベーコン,bacon,自転車屋,bicycle repairman,日,day,悪用,misuse
調味料,seasoning,不凍液,antifreeze,悪い,bad,ビキニ,bikini,まる一日,day (the whole),条件付き,conditionally
発酵,fermentation,古代の,antique,ひどい,bad (terrible),勘定,bill,一昨日,day before yesterday,間近,near
給料,salary,古美術,antiques,大変,"bad (terrible, tough)",玉突きをする,billiards,日帰り温泉,day-trip hot spring,消防署,a fire station
有給休暇,paid vacation,骨董品,antiques,カバン,bag,誕生日,birthday,亡くなった,dead,図書館,a library
残業手当,overtime pay,アパート,apartment,手荷物受取所,baggage claim,ビスケット,biscuit,デッドゾーン,dead zone,注文品,ordered goods
感覚,"sense, feeling",食前酒,aperitif,手荷物引換券,baggage claim check,かむ,bite,カフェインなし,decaffeinated,立ち上がる,stand up
少し,a little,許し,apologies,パン屋,baker,苦い,bitter,カフェインフリー,decaffeinated,注ぎ込む,to pour into
約,about,リンゴ,apple,バルコニー,balcony,黒い,black,十二月,december,寝袋,a sleeping bag
だいたい,about,リンゴジュース,apple juice,ボール,ball,味のない,bland (taste),申告する,declare (customs),稚魚,fingerling
上,above,アップルパイ,apple pie,球,ball,毛布,blanket,深い,deep,本書とともに,together with this book
海外,abroad,アップルソース,apple sauce,バレー,ballet,キャベツ,cabbage,スキンダイビング,deep sea diving,モスク,a mosque
豊富な,abundant,アプリ,"app, application",ボールペン,ballpoint pen,船室,cabin,冷凍庫,deep freeze,出張,a business trip
事故,accident,約束,appointment,バナナ,banana,ケーキ,cake,度,degrees,平成,heisei
アダプター,adapter,アンズ,apricot,包帯,bandage,ケーキ屋,cake shop,停滞,"delay, stagnation",賜物にほかならない,nothing but a gift
住所,address,四月,april,バンソウコウ,bandaids,お菓子屋,cake shop,遅延,delay (latency),噴水,a fountain
入場,admission,建築,architecture,銀行,bank,呼び出し,call,おいしい,delicious,付く,comes with
入場料,admission fee,環境,"area, environment",前髪,bangs,電話をする,call (phone),歯医者,dentist,キャンプに行く,to go camping
忠告,advice,辺,"area, location",岸,bank (river),と言う,called (name),入れ歯,dentures,夜に出かける,to go out at night
後で,after,市外局番,area code,バー,bar (cafe),と言います,called (name),デオドラント,deodorant,県立,prefectural
午後,afternoon,腕,arm,バーベキュー,barbecue,カメラ,camera,部,department,困難,difficulty
もう一度,again,約束する,"arrange, set it up",バスケットボール,basketball,手ぶれ補正機能,image stabilization,デパート,department store,言い換える,rephrase
に対して,against,着く,arrive,風呂,bath,キャンプする,camp (camping),出発,departure,突っ込む,penetrate
年齢,age,矢印,arrow,バスタオル,bath towel,キャンプ場売店,camping shop,出発時間,departure time,急停車,sudden stop
エアコン,air conditioning,芸術,art,海水帽,bathing suit,キャンプ場,camp site,手付け金,deposit (earnest payment),外,outside
エアマットレス,air mattress,動脈,artery,風呂場,bathroom,カー,car,頭金,deposit (downpayment),組み合わせ,combination
飛行機,airplane,物,"article (matter, thing)",バスルーム,bathroom,ファイヤー,fire,保管,deposit (for safekeeping),近付き,acquaintance
空港,airport,人口呼吸,artificial respiration,バッテリー,battery,キャンプ案内,camping guide,預金,deposit (bank account),吸い込む,suction
空港内ホテル,airport hotel,灰皿,ashtray,電池,battery,使用許可書,permit to use,預金保険,deposit insurance,取り出す,take out
空港警備,airport security,尋ねる,ask,ビーチ,beach,取り消す,"cancel (withdraw, retract)",預金利率,deposit interest rate,鵞鳥,goose
空港セキュリティー,airport security,問う,ask,浜,beach,ローソク,candle,デザート,dessert,付き,"furnished with, including"
通路側の席,aisle seat,頼む,ask (for),豆,beans,お菓子,"candy (confections, sweets)",行き先,destination,世界中を旅する,to travel around the world
警告,"alarm, advice",アスパラガス,asparagus,華美な,"beautiful, gorgeous",おやつ,candy (snacks),終点,"destination, terminal",付き合い,association
目覚まし時計,alarm clock,アスピリン,aspirin,すばらしい,"beautiful, wonderful",カヌー,canoe,現像する,develop (photo),批評,criticism
アルコール,alcohol,強姦,assault (sexual),美しい,beautiful,車,car,開発者,developer,一人で,alone
ずっと,all the time,家に,at home,きれいな,"beautiful, pretty",自動車,car (automobile),糖尿病患者,diabetic,搭乗券,a boarding pass
アレルギー,"allergy, allergic",夜,at night,美容院,beauty parlor,自動車用の甲板,car deck,ダイヤル,dial,ガイドブック,a guidebook
一人で,alone,後に,at the back,ベッド,bed,車の証明書,car documents,ダイヤモンド,diamond,愛あっての結婚生活,marriage with love
いつも,always,前に,at the front,寝台,"bed, sleeping accommodation",ベビーシート,car seat (child’s),おしめ,diaper,はがき,a postcard
救急車,ambulance,遅くても,at the latest,ミツバチ,bee (honeybee),車の故障,car trouble,下痢,diarrhea,雲,cloud
アメリカ,america,キャッシュカード,atm card,牛肉,beef,キャラバン,caravan,辞典,dictionary,注目,notice
総額,"amount (total, sum)",八月,august,ビール,beer,乳製品,dairy products,ディーゼル,diesel,停電,power outage
遊園地,amusement park,自動的,automatic,始まる,begin,損害,"damage (injury, loss)",ダイエット,diet,学校,a school
局所麻酔,local anesthesia,秋,autumn,初心者,beginner,踊る,dance,困難,"difficulty, distress, trouble",注釈,"notes, comment"
アンチョビー,anchovy,雪崩,avalanche,後,behind,ふけ,dandruff,耳,ear,砂浜,sandy beach
おこった,angry,起きた,awake,ベルト,belt,危険,danger,耳鼻咽喉科,"ear, nose and throat specialist",港,a harbour
動物,animal,日よけ,"awning (sunshade, blind, canopy)",元気になる,better (to get),危険な,dangerous,耳痛,earache,磨き上がる,polish up
くるぶし,ankle,赤ちゃん,baby,快復する,"better (to get), recover from illness",暗い,dark,イヤホン,earbud,縮れ上がる,shrinking
答え,answer,ベビーシッター,baby sitter,重炭酸ソーダ,"bicarb, baking soda",デート,date,耳薬,eardrops,漉き込む,strain
返事,answer,背中,back (body),自転車,bicycle,娘さん,daughter (other’s),早い,early,縫い上げる,sew up
交わす,"exchange, intersect ",ゲーム,game,花粉,hay fever,ハイキング,hiking,案内所,information office,突き上がる,rise to the top
取り替える,"exchange, swap, replace",修理屋,"garage, repair workshop",頭,head,氷,ice cubes,注射,injection,積み込む,load up
換算する,"exchange, conversion",ごみ袋,garbage bag,頭痛,headache,スケートをする,ice skate,負傷した,injured,燃え上がる,burst into flames
応酬する,"exchange, reciprocating",庭,garden,健康,health,アイスクリーム,ice cream,無罪な,innocent,写り込む,appear in
切り替え,"exchange, conversion",ガソリン,gas,自然食品店,health food shop,考え,idea,こん虫,insect,縮み上がる,shrink
遊覧,excursion (sightseeing),ガソリンスタンド,gas station,聞く,hear,身分証明書,identification (card),虫さされ,insect bite,運び込む,carry in
展覧会,exhibition,ギア,gear,補聴器,hearing aid,身分を証明する,identify,虫除けクリーム,insect repellent,折り込む,fold in
出口,exit,オタク,geek,心臓,heart,始動キー,ignition key,中に,inside,這い上がる,crawl up
費用,expenses (cost),ハッカー,hacker,心臓病患者,heart patient,病気,ill,内に,inside,震え上がる,tremble up
経費,expenses (cost),髪,hair,熱さ,heat,病気,illness,靴の内底,insole,背負い込む,carry on one's back
高い,expensive,ヘアブラシ,hairbrush,ヒーター,heater,想像する,imagine,使用法,instructions,釣り上がる,be lifted up
説明する,explain,床屋,hairdresser,重い,heavy,すぐに,immediately,保険,insurance,咳込む,cough
急行電車,express train,美容院,hairdresser,かかと,heel,輸入税,import duty,休憩,intermission,跳ね上がる,spring up
内線番号,extension number,ヘアピン,hairpins,こんにちは,hello,無理な,impossible,国際の,international,調べ上げる,research up
外,external (exterior),ヘアスプレー,hairspray,ヘルメット,helmet,不可能な,impossible,インターネット,Internet,織り上げる,weave up
目,eye,半分,half,助け,help,の中に,in,ラウンジ,lounge,研ぎ上がる,be sharpened up
目薬,eye drops,かなずち,hammer,助ける,help,夕方, in the evening,通訳者,interpreter,積み上がる,pile up
アイシャドー,eye shadow,手,hand,手伝う,help,午前,in the morning,交差点,intersection,飛び上がる,"spring, fly up, jump up"
眼科医,eye specialist,ハンドブレーキ,hand brake,一人前,helping (of food),を含めて,included,紹介する,introduce (oneself),埋め込む,embed
目医者,eye specialist,ハンドバッグ,handbag,ハーブティー,herbal tea,含めた,included,招待する,invite,結び上がる,knotting up
アイライナー,eyeliner,ハンカチ,handkerchief,調味料,herbs (seasonings),示す,indicate,アイロン,iron (clothes),茹で上がる,boil up
顔,face,手作り,handmade,ここ,here,方向指示器,indicator,鉄,iron (metal),浮かび上がる,rise to the surface
顔認識カメラ,face-recognition camera,嬉しい,happy,ニシン,herring,安い,inexpensive,アイロンをかける,iron (verb),弱い,weak
工場,factory,港,harbor,高い,high,伝染,infection,アイロン台,ironing board,富,wealth
転ぶ,"fall over, fall down, turn out",堅い,hard,高画質型デジカメ,high-definition digital camera,炎症,inflammation,島,island,裕福,wealthy
家族,family,ハッシュマーク,hash mark,満潮,high tide,情報,information,かゆい,itch,武器,weapon
有名な,famous,ハッシュタグ,hash tag,子供用椅子,highchair,案内,information (guide),ジャッキ,jack,切る,wear
画廊,"gallery (art, picture)",帽子,hat,高速道路,highway,資料,information (material),ジャケット,jacket,天気,weather
ボトルを打つ,hit the bottle,吸収する,absorb,大空を飛行する,flying in the sky,雪道で滑って転ぶ,slipping and falling on a snowy road,体が弱くて困る,feeling weak and in trouble,結婚式,wedding
くぎを打つ,hitting the nail,深呼吸する,take a deep breath,水中に飛び込む,jumping into the water,回転する,spinning,お金に困る,having trouble with money,週,week
打者,batter,吸い込む,inhale,この町を去る,leave this town,転勤する,transferring to a new job,困難をのり越える,overcome difficulties,週末,weekend
屋根を打つ雨の音,sound of rain hitting the roof,口笛を吹く,whistling,危険が去る,danger leaving,運転する,drive,貧困家庭,poor family,毎週,weekly
打ち合わせる,meeting,強い風が吹く,a strong wind blows,去年,last year,転校生,transfer student,困惑,confused,計量する,weigh
石を投げる,throwing stones,吹奏楽,wind (instrument) music,過去の出来事,past events,自転車,bicycle,試合に勝って喜ぶ,happy to win a game,重さ,weight
さじを投げる,throwing a spoon,吹雪,blizzard,逃げ去る,running away,転々する,move from place to place,喜びを感じる,feel joy,ようこそ,welcome
投手,pitcher,吹き付ける,blow against,犯人を逃がす,letting the criminal go,移転する,move,喜劇,comedy,福祉,welfare
株に投資する,invest in stocks,叫ぶ,shout,難を逃れる,escape from danger,転落する,falling,喜ばしい出来事,a joyful event,良い,well
新聞に投書する,write a letter to a newspaper,叫び声,scream,車で逃走する,escaping in a car,逆転する,turn around,歓喜して,rejoice,行った,went
録音ボタンを押す,press the record button,絶叫する,screaming,逃亡を図る,attempting to flee,転換する,turn,悲しい知らせ,sad news,そうだった,were
判を押す,stamp a seal,泣き叫ぶ,crying and screaming,見逃す,to miss,木が倒れる,fall down a tree,父の死を悲しむ,saddened by the death of his father,西,west
押し入れ,closet,叫び,screaming,目が回る,to be dizzy,敵を倒す,defeat the enemy,悲劇,tragedy,西部,western
扉を押さえる,hold a door,7時に起きる,i wake up at seven.,こまを回す,spin a wheel,転倒する,fall down,悲鳴をあげる,scream,濡れた,wet
