Words,Reading,Meaning,Type,S1,T1
抑える,osaeru,"restrain, control",,彼は怒りを抑えた,He forbore his anger.
帰る,kaeru,return,,家に帰る,I’m going home.
戻る,modoru,"return, go back",,すぐに戻ります,I’ll return immediately.
戻す,modosu,"return, put back, vomit",,それを私に戻して下さい,Bring it back to me.
復習する,fukushuu suru,review,,第５課を復習しましょう,Let’s review Lesson 5.
嘲る,azakeru,ridicule,,彼は私の努力をあざけった,He mocked my efforts.
実る,minoru,"ripen, bear fruit",,彼の努力が実った,His efforts bore fruit.
走る,hashiru,run,,列車が橋の上を走っているのを見てごらん,Look at the train going over the bridge.
逃げる,nigeru,"run away, escape",,逃げるな,Don’t you go away.
蓄える,takuwaeru,"save money, put aside, store",,彼は富を蓄えた,He has accumulated wealth.
ためる,tameru,"save, store, accumulate",,原住民は雨水をためて飲料水にしている,The natives collect and store rain-water to drink.
言う,iu,say,,「あばたもえくぼ」って言うからね,They say love is blind
叱る,shikaru,"scold, tell off",,父は私が時間を守らないと言って叱った,My father scolded me for not being punctual.
泣き叫ぶ,nakisakebu,scream,,怪我をしないうちから泣き叫ぶな,Don’t scream before you get injured.
探す,sagasu,search,,何を探しているの？,What are you looking for?
探す,sagasu,search for,,コートを探してます,I’m looking for a coat.
見る,miru,see,,我々を見てにたりと笑った,He grinned broadly at us.
売る,uru,sell,,母は自分の大切なものをすべて売ってしまった,My mother has sold everything that is dear to her
送る,okuru,"send, see off",,駅まで車で送ってくれませんか,Could you give me a lift to the train station?
気付く,kizuku,"sense, realize, notice",,彼は私がいることに気づいた,He noticed my presence.
離れる,hanareru,"separate from, leave",,なぜ頭から離れない,Why do I even care?
照る,teru,shine,,降ろうが照ろうが、私は行く,"I will go, rain or shine"
光る,hikaru,"shine, glitter",,凍結した道路が日光を浴びてまばゆく光った,The icy road sparkled in the sunlight.
輝く,kagayaku,"shine, sparkle",,夜は太陽が輝かない,The sun doesn’t shine at night.
撃つ,utsu,shoot,,動くな撃つぞ,"Don’t move, or I’ll shoot you."
見せる,miseru,show,,料金表を見せて下さい,"Show me a list of your rates, please."
閉める,shimeru,shut,,忘れずに安全ベルトを閉めなさい,Don’t forget to fasten your safety belts.
歌う,utau,sing,,彼はうまく歌うことが出来ない,He cannot sing well.
観光する,kankou suru,sightsee,,今日は休んで明日観光します,"We’ll rest today, but sightsee tomorrow."
座る,suwaru,sit,,すべての人が座るのに十分な席がある,We have enough seats for everyone.
腰掛ける,koshikakeru,sit in (western style),,彼女は腰掛けて足を組んだ,She sat down and crossed her legs.
サボる,saboru,skip school/class,,彼らはいつも学校をサボっています,They skip school all the time.
寝る,neru,"sleep, go to bed",,寝るのが好き,I like sleeping.
平手打ちする,hirateuchi suru,slap,,その子はお行儀悪くして母親に平手打ちされた,That kid got a slap from his mother for being rude.
滑る,suberu,slip,,彼は氷の上ですべった,He slipped on the ice.
壊す,kowasu,smash,,誰がこれを壊したのですか？,Who broke this?
吸う,suu,smoke,,私はタバコを吸う,I smoke cigarettes.
くしゃみする,kushumi suru,sneeze,,うちの犬がくしゃみするのは見たことあるけど、猫は一度もないな,I’ve seen my dog sneeze but never my cat
解く,toku,"solve, untie",,この問題は解くのが難しい,This problem is difficult to solve.
こぼす,kobosu,spill,,私は床に卵をこぼした,I spilled egg on the floor.
こぼれる,koboreru,"spill, overflow",,ミルクが煮えこぼれた,The milk boiled over.
敷く,shiku,"spread out, lay",,床にカーペットを敷いた,They laid the carpet on the floor.
広まる,hiromaru,"spread, become popular",,ニュースはすぐに広まった,The news quickly spread.
広める,hiromeru,"spread, make popular",,旅行は人の視野を広める,Travel broadens one’s horizons.
見張る,miharu,"stand guard, keep lookout",,彼を見張れ,Keep watch on him.
構える,kamaeru,stand prepared,,気長に構える必要があります,You have to be patient.
立つ,tatsu,stand up,,立ちなさい,Stand up!
始める,hajimeru,start,,では始めましょう,Then let us begin.
盗む,nusumu,steal,,盗むのは悪いことだ,It is bad to steal.
踏む,fumu,step on,,彼は電車の中で、態と私の足を踏みました,He trod on my foot on purpose in the train.
張る,haru,"stick, put something on",,封筒にもう１枚切手をはりなさい,Stick another stamp on the envelope.
止まる,tomaru,stop,,ここで止まるな,Don’t stop here.
黙る,damaru,stop talking,,黙ってろ。さもないと命はないぞ,"Hold your tongue, or you’ll be killed."
止める,yameru,"stop, give up, resign",,喋るのをやめろ,Stop talking.
固める,katameru,strengthen,,守りを固めろ！来るぞ！,Tighten the defences! They’re coming!
強める,tsuyomeru,strengthen,,このビタミンは病気に対する抵抗力を強めます,This vitamin boosts your immune system from diseases.
励む,hagemu,"strive, make every effort",,彼は勉強に励んでいる,He is diligent in his study.
詰める,tsumeru,stuff into/pack/fill,,バスの中ほどへ詰めて下さい,"Move into the bus, please!"
登録する,touroku,subscribe,,新しいメルマガに登録しました,I subscribed to a new email magazine.
差し引く,sashihiku,subtract/minus,,はちひくいちはななです,Eight minus one is seven.
成功する,seikou suru,succeed,,彼は必ず成功する,He is sure to succeed
苦しむ,kurushimu,suffer,,胃痛に苦しむ,I suffer from a stomach ache.
言い出す,iidasu,"suggest, start talking",,これはだれかの言い出したことかい,Was this somebody else’s idea?
適う,kanau,"suit, come true",,夢は叶った,Dreams came true.
支える,sasaeru,support,,彼女は彼が貧しいときも彼を支えるすばらしい配偶者だった,She was an excellent spouse who stood by him through poverty.
囲む,kakomu,"surround, enclose",,彼女の家は白い垣根で囲まれている,Her house is surrounded by a white fence.
泳ぐ,oyogu,swim,,彼は泳げる,He can swim.
取る,toru,take,,メモを取りなさい,You should take notes.
掛かる,kakaru,take (length of time),,何分かかりますか,How long is the ride?
浴びる,abiru,take a shower,,さっとシャワーを浴びた,She grabbed a shower.
引き受ける,hikiukeru,take charge of,,がそれを引き受けます,I’ll see to it.
脱ぐ,nugu,"take off, remove (shoes, clothes)",,コートを脱ぎなさい,Take off your coat.
離陸する,ririku suru,take off (plane),,午後十時に離陸する,take off at 10 PM
関わる,kakawaru,"take part in, affect",,私は関わっていない,I am not getting involved.
話す,hanasu,talk,,ジャックは英語を話す,Jack speaks English.
言い換える,iikaesu,"talk back, retort",,それを他の言葉に言い換えなさい,Say it in another way.
教える,oshieru,"teach, show",,教える事は学ぶ事である,Teaching is learning.
破る,yaburu,"tear, break, defeat",,彼は決して約束やぶらない,He never breaks his promise.
冷やかす,hiyakasu,"tease, make fun of",,人前で彼を冷やかすなんて君は意地悪だ,It is mean of you to ridicule him in public.
戒める,imashimeru,"tell off, caution",,彼は息子の怠惰さを戒めた,He admonished his son for being lazy.
試す,tamesu,"test, try, taste",,このソース試してみて,Try this sauce
感謝する,kansha suru,thank,,心から感謝します,I really appreciate it.
考える,kangaeru,think,,考えてください,Please think it over.
思う,omou,think,,そう思います,I agree.
思いつく,omoitsuku,Think of / come into your mind,,良いアイデアが思いついた,A good idea came to mind.
投げる,nageru,throw,,ボールを投げてください,Please throw the ball.
捨てる,suteru,throw away,,こにゴミを捨てるべからず,Don’t throw trash here.
結ぶ,musubu,"tie, knot, make a contract",,靴の紐を結びなさい,Tie your shoelaces.
上回る,uwamawaru,"top, exceed",,もちろん利潤は生産費を上回るべきです,Benefits of course should exceed the costs.
虐める,ijimeru,"torment, bully",,彼は以前友達をいじめていた,He used to bully his friends.
いびる,ibiru,"torment, roast",,私をいびらないで,"Don’t pick on me, please."
触れる,fureru,touch,,手を触れるな,Don’t touch.
触る,sawaru,touch or feel (physically),,それに触るな,Don’t touch it.
乗り換える,norikaeru,transit,,乗り換えるのですか,Do I have to change trains?
旅行する,ryoukousuru,travel,,私はよく旅行します,I often travel.
騙す,damasu,trick,,私を騙さないで下さい,Don’t deceive me.
挑戦する,chōsen suru,try,,スカイダイビングに挑戦したいのです,I’d like to try skydiving.
曲がる,magaru,turn,,左へ曲がりなさい,Turn to the left.
消す,kesu,"turn off, erase",,電気を消すな,Don’t turn off the light.
点ける,tsukeru,"turn on, light",,ラジオをつけなさい,Turn on the radio.
捩じる,nejiru,twist,,その取っ手を右にねじると箱は開きます,Twist that knob to the right and the box will open.
捩る,yojiru,"twist, distort",,その取っ手を右にねじると箱は開きます,Twist that knob to the right and the box will ope
分かる,wakaru,understand,,分かる、分かる,I know what you mean.
組む,kumu,"unite, put together",,私はテニスで彼女と組んだ,I partnered her in tennis.
解く,hodoku,untie,,その問題を解くのは難しい,The problem is difficult to solve.
使う,tsukau,use,,私がそれを使います,I use it.
使う,tsukau,"use, operate",,私がそれを使います,I use it.
消える,kieru,"vanish, go out, be extinguished",,頭痛が消えた,My headache has gone away.
ゲロをはく,gero wo haku,vomit/throw up,,私は大変気分が悪い。ゲロをはきたいです,I feel very sick. I want to throw up.
待つ,matsu,wait,,ちょっと待って,Wait a moment.
起こす,okosu,wake (somebody) up,,彼女は彼を起こした,She woke him up.
歩く,aruku,walk,intrans.,歩きましょうか,Shall we walk?
欲しがる,hoshigaru,"want, desire, to appear to want to have (something), to seem to want",trans.,赤ん坊は母乳を欲しがる,A baby craves its mother’s milk.
洗う,arau,wash,trans.,足を洗いなさい,Wash your feet.
暖まる,atatamaru,"warm up, heat up",intrans.,この部屋はすぐに暖まる,This room will soon heat up.
見る,miru,watch,trans.,私はテレビを見る,I watch television.
眺める,nagameru,"watch, view",trans.,星をながめるのは興味深()い,It is interesting to watch stars.
着る,kiru,wear,trans.,コートを着なさい,Put on your coat.
被る,kaburu,"wear (on your head), put on",trans.,彼女は帽子をかぶった,She put on her hat.
勝つ,katsu,win,intrans.,どっちが勝ってるの？,Who’s winning?
働く,hataraku,work,intrans.,彼女はよく働く,She works hard.
勤める,tsutomeru,work for,trans.,あなたはどこに勤めていますか,Where do you work?
気遣う,kizukau,"worry about, consider",trans.,彼女は君の安否を気遣っているよ,She has anxiety for your safety.
祀る,matsuru,worship,trans.,この記念碑は祖国に命を捧げた兵士を祭っている,This monument is dedicated to the soldiers who gave their lives to their country.
傷つける,kizutsukeru,"wound, damage, harm",trans.,他人を傷つけることはよくない, It is bad to hurt others.
包む,tsutsumu,wrap,trans.,美しい包装紙に包んでもらえますか, Could you gift wrap it?
書く,kaku,write,trans.,脚本を書いていて、行き詰まった時はどうする,What do you do when you get writer’s block while writing a script?
あくびする,akubi wo suru,yawn,suru,大あくびをして,Yawn a big long yawn.
怒鳴る,donaru,yell,intrans.,私に怒鳴ったりしないでよ,Don’t yell at me
行き合う,ikiau,to meet by coincidence while one is out,intr.,私は昔の友達とばったり行き合った,I happened to run into an old friend.
請け合う,ukeau,to guarantee that something is certain,tr.,彼の人柄は、私が請け合います,I can vouch for his character.
請け合う,ukeau,to accept with responsibility,tr.,できない仕事を請け合ってはいけません,We must not accept any work that we cannot do
打ち合う,uchiau,to strike each other,vol. intr.,剣士は互いに打ち合った,The kendoka struck each other.
押し合う,oshiau,to push each other,tr.,子供たちは押し合った,The children pushed each other.
落ち合う,ochiau,to get together at a certain place,vol. intr.,私は友達と駅で落ち合った,I met up with my friend at the station.
折り合う,oriau,"to reach an agreement, to compromise",intr.,両者の条件がようやく折り合った,The two parties finally found a way to accommodate each other’s conditions
関わり合う,kakawariau,to have a relationship,vol. intr.,私は．あの人と関わり合いたくない, don't want to have anything to do with that person.
掛け合う,kakeau,to negotiate with the other person,vol. intr.,,
語り合う,katariau,to tell each other,tr.,,
絡み合う,karamiau,To become entangled with each other.,intr.,,
切り合う,kiriau,To fight each other and attempt to cut each other down.,vol. intr.,,
混み合う,komiau,to be crowded because many people are gathered.,intr.,,
差し合う,sashiau,To come into conflict. To battle each other.,intr.,,
知り合う,shiriau,To get to know each other and start interacting.,intr.,,
攻め合う,semeau,To attack each other.,vol. intr.,,
競り合う,seriau,To compete and try to obtain.,tr.,,
立ち合う,tachiau,To compete. To dispute.,vol. intr.,,
抱き合う,dakiau,To hug each other.,intr.,,
通じ合う,tsuujiau,To be understandable to each other.,intr.,,
付き合う,tsukiau,To be dating (someone).,vol. intr.,,
付き合う,tsukiau,To accompany someone in his or her activities in order to maintain a social relationship.,vol. intr.,私は彼と付き合っている,I'm dating him.
釣り合う,tsuriau,"For two (or more) things to go well together, not biased to one side. To be balanced.",intr.,彼らは食事に付き合った,They shared a meal with me.
溶け合う,tokeau,To melt and become one.,intr.,,
取り合う,toriau,To grasp each other's hands.,tr.,,
取り合う,toriau,For several people to fight over one thing.,tr.,,
殴り合う,naguriau,To punch each other.,vol. intr.,,
握り合う,nigiriau,To hold mutually.,tr.,,
睨み合う,niramiau,To glare at each other.,intr.,,
張り合う,hariau,"To be in competition, with neither person willing to lose.",vol. intr.,,
引き合う,hikiau,To pull at each other.,intr.,磁石のＮ極とＳ極が引き合う。,The north and south poles of magnets are attracted to each other.
引き合う,hikiau,To have profit from a deal.,intr.,この仕事は採算的に引き合わない。,This job just does not pay.
触れ合う,fureau,To touch each other. To interact familiarly.,intr.,,
ぶつかり合う,butsukariau,For two things to collide with great momentum.,intr.,,
混ざり合う,mazariau,"To mix together. ""Majiri au"" is more common.",intr.,,
混じり合う,majiriau,To mix with each other and become one. To mingle.,intr.,,
向かい合う,mukaiau,To face each other's fronts.,vol. intr.intr.,,
向き合う,mukiau,To face each other,vol. intr.,,
巡り合う,meguriau,To meet unexpectedly (that which one has sought after for a long time).,intr.,,
揉み合う,momiau,To shove each other with neither compromising.,vol. intr.,,
やり合う,yariau,To dispute with each other.,vol. intr.,,
行き合う,yukiau,To meet by coincidence while one is out.,intr.,,
譲り合う,yuzuriau,To give to each other.,tr.,,
寄せ合う,yoseau,To bring together mutually.,tr.,,
寄り合う,yoriau,To gather (come together) in one place.,vol. intr.,,
論じ合う,ronjiau,To discuss with each other.,tr.,,
分かち合う,wakachiau,To share with one another. To share.,tr.,,
分かり合う,wakariau,To understand each other.,tr.,,
分け合う,wakeau,To share with each other.,tr.,,
渡り合う,watariau,"To dispute with (an adversary), debate heatedly.",vol. intr.,,
組み合わせる,kumiawaseru,To put together several things and make one unit,tr.,和風と洋風を組み合わせた建物。,The building combines Japanese and Western styles.
為る,する,"to do, carry out, perform","suru, irreg.",私がしなければ誰がする。,"If I don't do it, who will?"
居る,いる,"to be, exist, stay",intrans.,ボストンにいるの？,Are you in Boston?
有る,ある,"to be, exist, live, have",intrans.,机の上に本がある。,There is a book on the desk.
言う,いう,"to say utter, declare, to name, call",godan,もう一度言ってくださいませんか。,"Could you repeat that, please?"
成る,なる,"to become, get, change into, consist of",intrans.,この壁画は３人の画家の手に成る。,This mural was done by three artists.
来る,くる,to come,irreg.,明日客が二人来る。,We will have two guests tomorrow.
思う,おもう,"to think, consider",trans.,まっすぐ家に帰ろうと思った。,I thought I'd go straight home.
行く,いく,"to go, move, proceed",intrans.,学校へは歩いて行きます。,I walk to school.
見る,みる,"to see, look, watch, view, look over, observe",trans.,最近富士山を見ましたか。,Have you seen Mt. Fuji recently?
出来る,できる,"to be able to, be ready, be completed, be made",intrans.,仕事が出来た。,The work is finished.
拠る,よる,"to be due to, be caused by, depend on, based on",intrans.,聞くところによると彼は相当できる人らしい。,He's quite capable base from what I hear
仕舞う,しまう,"to finish, end, do completely, happen to do, close, keep, store, put away",trans.,夕食を食べてしまったところです。,I have just had my supper.
分かる,わかる,"to understand, comprehend, grasp, know",intrans.,彼の言っていることは分からない。,I don't understand what he's saying.
持つ,もつ,"to hold, take, carry, possess, own, have",trans.,彼は本を手に持っている。,He has a book in his hand.
考える,かんがえる,"to consider, think, bear in mind",trans.,そんな発言をしたらどうなるか考えてみなさい。,Think of the consequences of such a remark!
遣る,やる,"to do, undertake, perform, send, give, stage, held",trans.,今宿題をやっている。,He is doing his homework now.
出る,でる,"to leave, exit, go out, come out",intrans.,今度の急行は５番ホームから出る。,The next express will depart from platform number five.
就く,つく,"to take, assume, be hired, be employed, ascend, commence, set out, study under",intrans.,彼はやっと職に就いた。,He finally got a job.
取る,とる,"to take, pick up, grab, pass, hand, give, get, obtain",trans.,客から注文を取る。,Take an order from a customer.
聞く,きく,"to hear, listen, ask, enquire, query",trans.,聞こうとすれば聞こえる。,"If you listen, you can hear it."
下さる,くださる,"to give, confer, bestow, to favor",godan,私にプレゼントをくださった。,He gave me a present.
知る,しる,"to know, be aware, sense",trans.,どこで会があるか知ってますか。,Do you know where we are meeting?
呉れる,くれる,"to give, let one have",trans.,彼女は私にペンをくれた。,She gave me a pen.
入る,はいる,"to enter, go into, break into, join, enrol. contain",intrans.,砂糖はたくさん入っていますか。,Is there much sugar in it?
置く,おく,"to put, place, leave behind, establish",trans.,本を元の棚に置いておきなさい。,Leave the book on its original shelf.
使う,つかう,"to use, make use",trans.,このなべはミルクを温めるのに使っている。,I use this saucepan for heating milk.
対する,たいする,"to face, be facing, directed toward, be in response to",suru,学校と教会が道をはさんで対している。,The school and the church face each other across the street.
出す,だす,"to take out, get out, put out, submit, publish, send, serve food",trans.,駐車場から車を出す。,Drive a car out of a parking lot.
作る,つくる,"to make, produce, build, prepare food",trans.,この工場ではカメラを作っている。,Cameras are manufactured at this factory.
行う,おこなう,"to perform, do, conduct, carry out",trans.,研究を行う。,Conduct research.
知れる,しれる,"to become known, come to light, be known",intrans.,うわさはうそだとすぐに知れた。,I quickly learned that the rumors were false.
書く,かく,"to write, compose",trans.,ここに住所と名前を書きなさい。,Write your name and address here.
付ける,つける,"to attach, join, add, append, affix, furnish",trans.,本には用語解説が付けてある。,A glossary is appended to the book.
貰う,もらう,"to receive, take, accept, get someone to do something",trans.,コーヒーを一杯もらえませんか。,Can I have a cup of coffee?
教える,おしえる,"to teach, instruct, tell, inform",trans.,高校で化学を教えている。,He teaches chemistry at high school.
掛ける,かける,"to hang up, let hang, raise, hoist, put on, cover, make a call, spend, pour",trans.,カレンダーを壁に掛ける。,Hang the calendar on the wall.
得る,える,"to get, earn, acquire, procure, gain, obtain,, understand, be able to",trans.,彼はやっと両親の許可を得た。,He at last obtained his parents' permission.
見える,みえる,"to be seen, be in sight, be visible, to look, seem, appears",intrans.,屋上から町がよく見える。,We have a good view of the town from the roof.
入れる,いれる,"to put in, let in, take in, insert, install, accept, include",trans.,旅行かばんに衣類を入れる。,Put clothing in a travel bag.
受ける,うける,"to receive, get, catch, be struck by, incur, undergo",trans.,彼は大学から奨学金を受けている。,He receives a scholarship from the university.
付く,つく,"to be attached, be connected with, adhere, stick",intrans.,窓の下に大きな足跡が付いていた。,There were big footprints below the window.
違う,ちがう,"to differ, be different, be distinct, be incorrect",intrans.,この２枚のドレスは型が違う。,These two dresses are different in style.
始める,はじめる,"to start, begin, initiate, start up",trans.,先生は授業を始めた。,The teacher began his lesson.
呼ぶ,よぶ,"to call, call out, invoke, summon, invite, name, brand",trans.,ウエーターを呼んで追加注文した。,I called the waiter and added to my order.
上げる,あげる,"to raise, elevate, launch, deep-fry, give",trans.,彼は帽子を上げて婦人にあいさつした。,He raised his hat to the lady.
過ぎる,すぎる,"to pass through, pass by, go beyond, elapse, expired, exceed, surpass",intrans.,トンネルを過ぎて車は海岸に出た。,The car drove past the tunnel and onto the beach.
感じる,かんじる,"to feel, sense, experience",ichidan,家が揺れるのを感じた。,I felt the house shake.
続ける,つづける,"to continue, keep up, keep on",trans.,地震の最中も彼は講義を続けた。,He proceeded with his lecture even during the earthquake.
食べる,たべる,to eat,trans.,気分が悪くて晩ごはんが食べられなかった。,I felt sick and couldn't eat dinner.
掛かる,かかる,"to take, hang, arrive, start, deal, handle, cover, fasten",intrans.,壁に絵が掛かっている。,A picture hangs on the wall.
変わる,かわる,"to change, transform, alter, move to, be different, be uncommon",intrans.,この物質は熱すると気体に変わる。,This substance turns into a gas when heated.
読む,よむ,to read,trans.,子供におとぎ話を読んでやる。,Read a fairy tale to a child.
買う,かう,to buy,trans.,ワインを買って来てください。,Please go get a bottle of wine.
生きる,いきる,"to live, exist, make a living",intrans.,人間は何日間食べずに生きていられますか。,How many days can a person live without eating?
切る,きる,"to cut, sever",trans.,ガラスで指先を切る。,I cut my fingertips with a glass.
立つ,たつ,"to stand, rise, stand up",intrans.,寺は山の中腹に立っている。,The temple stands on the side of a hill.
帰る,かえる,"to return, come home, go home, leave",intrans.,もう帰ってもよろしい。,You may go home now.
話す,はなす,"to speak, talk, tell",trans.,万事後でお話しします。,I will tell you all about it later.
飲む,のむ,"to drink, gulp",trans.,お茶を飲みながら話し合った。,They talked over a cup of tea
示す,しめす,"to show, demonstrate, point out",trans.,身分証明書を示した。,He showed me his identification card.
関する,かんする,"to concern, be related",suru,彼に関する限り問題はない。,"As far as he is concerned, there is no problem."
与える,あたえる,"to give, bestow, grant, provide",trans.,"息子に月3,000円を与ている。","I give my son 3,000 yen a month."
頂く,いただく,"to receive, get, accept, take, eat, drink, have",trans.,小切手は昨日いただきました。,I received the check yesterday.
戻る,もどる,"to turn back, return, go back",intrans.,もと来た道を戻らねばならなかった。,We had to go back the way we had come.
開く,ひらく,"to open, undo, unseal, unpack",trans.,本の38ページを開きなさい。,Open the book to page 38.
死ぬ,しぬ,"to die, pass away",intrans.,交通事故で死ぬ。,Dies in a car accident.
従う,したがう,"to obey, abide, follow, conform",intrans.,校則に従う。,Obey school regulations.
止める,やめる,"to stop, turn off, park, suppress",trans.,彼は足を止めて地図を見た。,He stopped and looked at the map.
願う,ねがう,"to desire, wish, hope, request",trans.,お願いしたいことがあります。,I have a favor to ask.
歩く,あるく,to walk,intrans.,この調子で歩けば30分で着くだろう。,"If we keep walking at this rate, we'll be there in half an hour."
待つ,まつ,to wait,trans.,寝ずに夫の帰りを待った。,I didn't sleep and waited for my husband to come home.
求める,もとめる,"to want, wish for, request, require, seek",trans.,職を求めている。,I'm looking for a job.
認める,みとめる,"to recognise, notice, assess, deem, approve, admit",trans.,彼の偉業は世に認められた。,His great achievement was recognized by the public.
会う,あう,"to meet, encounter, see",intrans.,3 時にお得意さんと会う約束がある。,I have an appointment to meet with a client at 3:00 p.m.
続く,つづく,"to continue, go on, last, leads to, adjoins",intrans.,雨が５日も続いている。,It's been raining for five days.
向かう,むかう,"to face, go towards, heading",intrans.,壁に向かって立つ。,Stand facing the wall.
生まれる,うまれる,to be born,intrans.,私は1998年11月２日大阪で生まれた。,"I was born in Osaka, Japan on November 2, 1998."
見せる,みせる,"to show, display",trans.,運転免許証を見せてください。,Please show me your driver's license.
当たる,あたる,"to be hit, be in contact, be selected, gets",intrans.,ボールが頭に当たった。,The ball hit me on the head.
終わる,おわる,"to end, come to an end, close",intrans.,試験はすぐに終わる。,The test will be over soon.
乗る,のる,"to get on, get in, board, reach, take part",intrans.,車に乗っていてください。,Please get into the car and wait.
残る,のこる,"to remain, be left",intrans.,彼の顔には傷跡が残っている。,He still has a scar on his face.
述べる,のべる,"to state, express, say, tell, mention",trans.,上に述べたようにそれは不可能です。,"As I stated above, that is impossible."
御座る,ござる,to be,intrans.,系図正しき薬で御座る。,It is genealogically correct medicine.
立てる,たてる,"to stand up, put up, set up, erect, make",trans.,看板を立てる。,Put up a sign.
答える,こたえる,"to answer, reply",intrans.,今出掛けるところだと答えた。,He replied that he was going out right away.
働く,はたらく,"to work, labor, function, operate, to do, act",intrans.,兄は工場で働いている。,My brother works in a factory.
送る,おくる,"to send, dispatch, transmit, see off, pass",trans.,我が社は世界各地に製品を送ります。,We ship our products all over the world.
始まる,はじまる,"to start, begin, commence",intrans.,展覧会は来週月曜日に始まる。,The exhibition opens next Monday.
含む,ふくむ,"to contain, compromise, have, hold, include, bear in mind",trans.,この本には有益な情報が含まれている。,This book contains useful information
起こる,おこる,"to occur, happen",intrans.,恐ろしい事故が起こった。,A terrible accident has occurred.
関わる,かかわる,"to be affected, be influenced, be concerned with",intrans.,そのことには何も関わっていません。,I had nothing to do with that.
忘れる,わすれる,to forget,trans.,彼女の住所を忘れた。,I forgot her address.
済む,すむ,"to finish, end, be completed",intrans.,夕飯はもうお済みですか。,Have you already eaten dinner?
笑う,わらう,"to laugh, smile",intrans.,その冗談を聞いてどっと笑った。,I laughed out loud at that joke.
為さる,なさる,to do,trans.,楽になさってください。,Please make yourself comfortable.
変える,かえる,"to change, alter, transform, convert",trans.,チャンネル変えてもいい？,Is it ok if I change the channel?
引く,ひく,"to pull. tag, lead, draw, attract",trans.,カーテンを引いてもいいですか。,May I draw the curtains?
売る,うる,to sell,trans.,あの店では果物を安く売っている。,That store sells fruit at a discount.
進む,すすむ,"to advance, go forward, precede, make progress",intrans.,我々は林の中を数キロ進んだ。,We continued through the woods for several kilometers.
渡る,わたる,"to cross over, go across, extend, cover, span",intrans.,彼は道を渡った。,He crossed the street.
選ぶ,えらぶ,"to choose, select",trans.,彼はよいものを選んだ。,He picked a good one.
走る,はしる,to run,intrans.,子供たちが走って来た。,The children came running.
現われる,あらわれる,"to appear, come in sight, come out, become apparent",intrans.,彼は結局現われなかった。,He didn't turn up after all.
住む,すむ,"to live, reside, inhabit, dwell",intrans.,彼はここに住んでいるのですか。,Does he live here?
伝える,つたえる,"to convey, report, transmit, tell, impart",trans.,彼に伝言を伝えてほしい。,I'd like you to give him a message.
動く,うごく,"to move, stir, shift, operate, run, vary",intrans.,車が雪にはまって動かなくなった。,My car got stuck in the snow.
決める,きめる,"to decide, choose, determine, settle",trans.,彼らは最終の計画を決めた。,They settled on a final plan.
勧める,すすめる,"to recommend, advice, urge, offer",trans.,教授は私に留学を勧めてくれた。,My professor encouraged me to study abroad.
気付く,きづく,"to notice, recognise, perceive, realize",intrans.,彼女は近づく危険に気付いていた。,She was aware of the approaching danger.
描く,えがく,"to draw, paint, sketch, depict, imagine",trans.,風景を描く。,Paint a landscape.
覚える,おぼえる,"to memorize, remember",trans.,英語の単語を覚える。,Memorize English words
打つ,うつ,"to hit, strike, knock, beat, pound",trans.,車の屋根を激しく打つ雨。,Rain hitting the roof of the car hard
成す,なす,"to build, establish, form, accomplish, do",trans.,彼らの活動がこの会社の中核を成している。,Their activities form the core of this company.
開ける,あける,"to open, unwrap, clear out, make room",trans.,箱のふたを開ける。,Open the lid of a box.
向ける,むける,"to turn towards, point",trans.,新しい事態に皆の注意を向けた。,I turned everyone's attention to a new situation.
殺す,ころす,"to kill, slay, slaughter, suppress",trans.,老婆は金をねらわれて殺された。,The old woman was killed for her money.
語る,かたる,"to talk about, speak of, tell, narrate, indicate",trans.,彼は真相を語った。,He told the truth.
信ずる,しんずる,"to believe, place trust in, confide in, have faith in",trans.,信ずる理由がない。,I have no reason to believe it.
合わせる,あわせる,"to match, join together, unite, combine, add up, mix, face, compare",trans.,声を合わせて歌った。,We sang in unison.
用いる,もちいる,"to use, make use, utilize, utilise",trans.,その機械は広く用いられている。,Its machines are widely used
連れる,つれる,"to take someone, bring along, go with, accompanied by",trans.,彼は娘を連れて出掛けた。,He went out with his daughter.
異なる,ことなる,"to differ, vary, disagree",intrans.,私は彼とは意見が異なる。,I don't share his views.
離れる,はなれる,"to be separated, be apart, de stint, leave, go away, quit, give up, drift away",intrans.,ガソリンスタンドはここから遠く離れている。,Gas station is far from here.
残す,のこす,"to leave behind, leave undone, save, set aside, reserve, hold on",trans.,あなたにこの包みを置いて行きました。,He left this package for you.
探す,さがす,"to search, look for, hunt for, seek",trans.,彼は貸し家を探している。,He is looking for a house to rent.
至る,いたる,"to arrive at, reach a stage, attain, lead to a place, get to. result in",intrans.,この道は秋葉原を経て銀座に至る。,This road leads to Ginza via Akihabara
経つ,たつ,"to pass, elapse",intrans.,時が経つにつれて痛みは消えた。,The pain disappeared as time went by.
似る,にる,"to resemble, look like, be like, be alike, be similar, take after",intrans.,あの娘は母親によく似ている。,That girl looks a lot like her mother.
守る,まもる,"to protect, guard, defend, keep, abide, observes obey, follow",trans.,危害から身を守る。,Protect yourself from harm.
困る,こまる,"to be troubled, have difficulty, be in a fix, be at loss, be bothered",intrans.,日照り続きで困っていた。,They were in trouble because of the long dry spell.
