Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
1982,間違う,まちがう,godan,"to make a mistake, be incorrect, be mistaken",彼は間違って答えた。,He answered incorrectly.,,,,,
1982,閉じる,とじる,trans.intrans.,"to close, shut",開いているすべてのファイルを閉じる。,Close all open files.,,,,,
1987,保つ,たもつ,godan,"to keep, preserve, hold, retain, maintain, sustain, endure",体調を保つために何をしていますか。,What do you do to stay in shape?,,,,,
1993,吸う,すう,trans.,"to smoke, breathe in, inhale, suck, sip, slurp, soak up, absorb",たばこを吸ってもよろしいですか。,May I smoke a cigarette?,,,,,
2008,諦める,あきらめる,trans.,"to give up, abandon",決して愛を諦めないで。,Never give up on love.,,,,,
2008,耐える,たえる,trans.intrans.,"to bear, stand, endure, put up with, support, withstand, resist, be fit for",彼はだれも想像できないような大きな困難に耐えた。,He endured great hardships that no one could imagine.,,,,,
2010,訪ねる,たずねる,trans.,"to visit, call on, pay a visit to",私は日曜の朝彼女を訪ねました。,I visited her on Sunday morning.,,,,,
2017,生かす,いかす,trans.,"to make use of, leverage, capitalise, let live, keep alive, revive, resuscitate",釣った魚をいけすに生かしておく。,Keep the caught fish alive in a cage.,,,,,
2019,下がる,さがる,intrans.,"to come down, go down, fall, drop, sink, hang, dangle, move back, fall of, be downgraded",コーヒーの値段が下がった。,Coffee prices have dropped.,,,,,
2030,確かめる,たしかめる,trans.,"to ascertain, check, make sure",彼が無事に帰宅したか確かめなさい。,Make sure he gets home safely.,,,,,
2045,鳴る,なる,intrans.,"to sound, ring, resound, echo, roar, rumble",雷が遠くで鳴っていた。,Thunder rumbled in the distance.,,,,,
2050,目立つ,めだつ,intrans.,"to be conspicuous, stand out",その変化は目立つほどではなかった。,The change was not as noticeable.,,,,,
2055,掲げる,かかげる,trans.,"to publish, print, put up, hang out, hoist, tuck up, adopt",私たちはランプを高く掲げて合図した。,We signaled by holding our lamps high.,,,,,
2061,移す,うつす,trans.,"to change, swap. substitute, transfer, infect, move on, spend",彼はその計画を実行に移した。,He put the plan into action.,,,,,
2062,並べる,ならべる,trans.,"to line up, set up, arrange in a line, itemise, compare well with",我々は大きさの順に並べた。,We arranged them in order of size.,,,,,
2067,高める,たかめる,trans.,"to raise, lift, boost, enhance",風邪に対する抵抗力を高める。,Increase resistance to colds.,,,,,
2069,奪う,うばう,trans.,"to snatch away, dispossess, steal",その男は私から財布を奪った。,The man took my wallet from me.,,,,,
2074,被る,こうむる,trans.,"to suffer, receive, sustain",二酸化炭素によって危害を被ることがある。,Carbon dioxide can cause harm.,,,,,
2077,疑う,うたがう,trans.,"to doubt, distrust, be suspicious, suspect",私は彼の話を疑っている。,I doubt his story.,,,,,
2086,履く,はく,trans.,"to put on (lower-body clothing, footwear)",普段は、ジーンズを履いてるね。,I usually wear jeans.,,,,,
2089,生み出す,うみだす,trans.,"to create, bring forth, produce, invent, bear, give. birth to",観光事業が多くの新しい仕事を生み出した。,Tourism created many new jobs.,,,,,
2093,迷う,まよう,intrans.,"to lose one's way, waiver, hesitate, be puzzled, be perplexed",彼は新宿駅で道に迷った。,He got lost at Shinjuku station.,,,,,
2098,襲う,おそう,trans.,"to attack, assail, strike, hunt down, succeed, make sudden visit",秋にはいくつかの台風が日本を襲う。,Several typhoons will hit Japan in the fall.,,,,,
2102,発する,はっする,,,,,,,,,
2106,挟む,はさむ,,,,,,,,,
2109,登る,のぼる,,,,,,,,,
2110,属する,ぞくする,,,,,,,,,
2112,繋ぐ,つなぐ,,,,,,,,,
2125,降る,ふる,,,,,,,,,
2126,組む,くむ,,,,,,,,,
2139,取り組む,とりくむ,,,,,,,,,
2141,負う,おう,,,,,,,,,
2149,載る,のる,,,,,,,,,
2154,倒れる,たおれる,,,,,,,,,
2171,撮る,とる,,,,,,,,,
2171,響く,ひびく,,,,,,,,,
2181,応える,こたえる,,,,,,,,,
2191,留まる,とまる,,,,,,,,,
2192,指す,さす,,,,,,,,,
2214,接する,せっする,,,,,,,,,
2225,狙う,ねらう,,,,,,,,,
2239,救う,すくう,,,,,,,,,
2251,満たす,みたす,,,,,,,,,
2256,伸びる,のびる,,,,,,,,,
2272,説く,とく,,,,,,,,,
2273,貸す,かす,,,,,,,,,
2276,加わる,くわわる,,,,,,,,,
2276,絶える,たえる,,,,,,,,,
2295,覆う,おおう,,,,,,,,,
2295,務める,つとめる,,,,,,,,,
2305,利く,きく,,,,,,,,,
2311,分かれる,わかれる,,,,,,,,,
2319,下る,くだる,,,,,,,,,
2329,止む,やむ,,,,,,,,,
2329,見掛ける,みかける,,,,,,,,,
2334,窺う,うかがう,,,,,,,,,
2337,輝く,かがやく,,,,,,,,,
2343,招く,まねく,,,,,,,,,
2379,寄せる,よせる,,,,,,,,,
2384,抑える,おさえる,,,,,,,,,
2384,沿う,そう,,,,,,,,,
2394,溢れる,あふれる,,,,,,,,,
2401,空く,すく,,,,,,,,,
2408,光る,ひかる,,,,,,,,,
2411,称する,しょうする,,,,,,,,,
2417,促す,うながす,,,,,,,,,
2419,込める,こめる,,,,,,,,,
2420,存ずる,ぞんずる,,,,,,,,,
2420,囲む,かこむ,,,,,,,,,
2437,塗る,ぬる,,,,,,,,,
2437,防ぐ,ふせぐ,,,,,,,,,
2439,論ずる,ろんずる,,,,,,,,,
2443,押さえる,おさえる,,,,,,,,,
2447,注ぐ,そそぐ,,,,,,,,,
2459,引っ張る,ひっぱる,,,,,,,,,
2469,切れる,きれる,,,,,,,,,
2474,陥る,おちいる,,,,,,,,,
2486,数える,かぞえる,,,,,,,,,
2498,隠れる,かくれる,,,,,,,,,
2501,咲く,さく,,,,,,,,,
2505,高まる,たかまる,,,,,,,,,
2529,備える,そなえる,,,,,,,,,
2529,作り出す,つくりだす,,,,,,,,,
2533,見出だす,みいだす,,,,,,,,,
2533,浮かべる,うかべる,,,,,,,,,
2537,申し上げる,もうしあげる,,,,,,,,,
2542,寄る,よる,,,,,,,,,
2542,味わう,あじわう,,,,,,,,,
2554,叱る,しかる,,,,,,,,,
2558,辞める,やめる,,,,,,,,,
2567,整える,ととのえる,,,,,,,,,
2588,増す,ます,,,,,,,,,
2594,震える,ふるえる,,,,,,,,,
2596,代わる,かわる,,,,,,,,,
2601,辿る,たどる,,,,,,,,,
2604,試す,ためす,,,,,,,,,
2613,吹く,ふく,,,,,,,,,
2613,好む,このむ,,,,,,,,,
2618,踊る,おどる,,,,,,,,,
2632,巻く,まく,,,,,,,,,
2637,積む,つむ,,,,,,,,,
2640,増やす,ふやす,,,,,,,,,
2656,痩せる,やせる,,,,,,,,,
2675,飾る,かざる,,,,,,,,,
2676,飼う,かう,,,,,,,,,
2676,揃う,そろう,,,,,,,,,
2681,噛む,かむ,,,,,,,,,
2689,堪る,たまる,,,,,,,,,
2699,測る,はかる,,,,,,,,,
2707,頼る,たよる,,,,,,,,,
2730,嫌う,きらう,,,,,,,,,
2735,治る,なおる,,,,,,,,,
2740,探る,さぐる,,,,,,,,,
2752,満ちる,みちる,,,,,,,,,
2754,映る,うつる,,,,,,,,,
2755,踏む,ふむ,,,,,,,,,
2758,突く,つく,,,,,,,,,
2764,触る,さわる,,,,,,,,,
2775,遭う,あう,,,,,,,,,
2784,溜まる,たまる,,,,,,,,,
2790,泊まる,とまる,,,,,,,,,
2801,交ぜる,まぜる,,,,,,,,,
2805,飛び出す,とびだす,,,,,,,,,
2816,埋める,うめる,,,,,,,,,
2822,褒める,ほめる,,,,,,,,,
2827,収める,おさめる,,,,,,,,,
2843,見上げる,みあげる,,,,,,,,,
2858,晒す,さらす,,,,,,,,,
2863,放つ,はなつ,,,,,,,,,
2873,勤める,つとめる,,,,,,,,,
2875,解く,とく,,,,,,,,,
2877,浴びる,あびる,,,,,,,,,
2880,成り立つ,なりたつ,,,,,,,,,
2886,拭く,ふく,,,,,,,,,
2886,漂う,ただよう,,,,,,,,,
2889,苦しむ,くるしむ,,,,,,,,,
2889,犯す,おかす,,,,,,,,,
2892,築く,きずく,,,,,,,,,
2903,結び付く,むすびつく,,,,,,,,,
2912,交わす,かわす,,,,,,,,,
2923,反する,はんする,,,,,,,,,
2927,話し合う,はなしあう,,,,,,,,,
2927,担う,になう,,,,,,,,,
2940,導く,みちびく,,,,,,,,,
2949,無くす,なくす,,,,,,,,,
2950,引き受ける,ひきうける,,,,,,,,,
2952,次ぐ,つぐ,,,,,,,,,
2958,壊れる,こわれる,,,,,,,,,
2961,放る,ほうる,,,,,,,,,
2961,敷く,しく,,,,,,,,,
2968,差し出す,さしだす,,,,,,,,,
2968,受け止める,うけとめる,,,,,,,,,
2982,下す,くだす,,,,,,,,,
2987,試みる,こころみる,,,,,,,,,
2996,載せる,のせる,,,,,,,,,
3006,太る,ふとる,,,,,,,,,
3009,効く,きく,,,,,,,,,
3009,唱える,となえる,,,,,,,,,
