W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,W7,W8
熱帯,Tropical,労働力,Workforce,色,Color,昏睡,Coma,落着く,Settled,,,
鼠,Rat,略す,Abbreviation,色々,Various,表面,Surface,傷付く,get hurt,,,
似合う,Suitable for,力,Power,要る,need,東,East,片付く,get rid of,,,
日常,Daily,寮,Dormitory,医者,doctor,祝い,Celebration,近付く,get closer,,,
日中,Daytime,領域,Domain,忙しい,Busy,決して,Never,長引く,linger,,,
日時,Date and time,了解,Copy,一緒,together,未来,Future,散蒔く,disseminate,,,
日夜,day and night,緑茶,Green tea,椅子,Chair,痛み,Pain,見直す,review,,,
苦手,Not good at,両面,Both sides,痛い,Hurts,以外,Other than,見逃す,overlook,,,
握る,grip,両者,Both sides,五日,Five days,直接,Direct,指差す,point to,,,
日本,Japan,了承,Acknowledgement,いつも,Always,郵便,Mail,見渡す,look over,,,
日光,Sunlight,両端,Both ends,五つ,Five,税率,Tax rate,引出す,pull out,,,
にっこり,smiling,流,flow,言う,Say,打撲する,bruise,役立つ,help,,,
人間,Human,定める,determine,嫌,dislike,極める,Pole,微笑む,smile,,,
人気,Popularity,探る,explore,字引,dictionary,車椅子,Wheelchair,裏切る,betray,,,
人数,Number of people,再,re,自分,myself,棘,Thorn,横切る,cross over,,,
日程,Schedule,最悪,Worst,自動車,automobile,無難な,Safe,見送る,See Off,,,
野,field,栽培,Cultivation,時間,time,線,Line,着飾る,dress up,,,
伸ばす,stretch,最大,Max,辞書,dictionary,精神,Spirit,嵩張る,be bulky,,,
述べる,state,再度,again,自転車,bicycle,期待,Expectation,片寄る,lean to one side,,,
伸びる,extend,災害,Disaster,上手,Good,不足,shortage,近寄る,approach,,,
軒,house,再発,Recurrence,授業,Class,使い果たす,Exhausted,洒落る,get dressed up,,,
残り,rest,再開,Recurrence,鞄,bag,遅い,Slow,引返す,turn over,,,
残す,leave,細菌,Bacteria,花瓶,Flower vase,記事,Articles,裏返す,turn inside out,,,
のんびり,relax,最高齢,Oldest,角,corner,無数,Countless,心得る,understand,,,
乗せる,ride,再生,Regeneration,帰る,Return,麻薬中毒者,drug addict,引受る,take over,,,
能,Noh,最新,Latest,返す,return,つもり,estimate,物語る,tell a story,,,
農業,Agriculture,最小限,Minimum,鍵,key,体調,physical condition,逆上る,go up against,,,
農家,Farmer,採集,Collection,階段,stairs,方向,Direction,上回る,look up,,,
農民,Farmer,最終日,Last day,買物,shopping,無計画,Unplanned,見落とす,overlook,,,
能力,Ability,最速,Fastest,会社,office,注射をする,Give an injection,蹴飛ばす,kick off,,,
除く,Exclude,催促,Request,書く,write,渡す,Give,見下ろす,look down on,,,
望み,Desire,最低限,Minimum,紙,paper,人気,Popularity,途絶える,stop,,,
望む,want,最適,Optimal,漢字,Kanji,七つ,Seven,見付かる,be found,,,
抜ける,get out,採用,Adoption,体,Body,書く,Write,仕上がる,finish,,,
抜く,pull out,坂道,Slope,辛い,painful,気が強い,Strong-minded,打付ける,strike,,,
布,cloth,遡る,Going Back,借りる,Borrow,遺伝子,gene,仕掛ける,set a trap,,,
入学,Admission,先々,ahead,軽い,light,撃ち抜く,shoot through,付き合う,go with,,,
入院,Admission,早急,urgent,傘,Umbrella,無能,Incompetent,釣り合う,match,,,
入場,Admission,作成,create,貸す,Lend,予防接種する,Inoculate,間に合う,meet in time,,,
入力,Input,妨げる,hindrance,方,direction,日常,Everyday,引っ掻く,claw,,,
入社,Entering,山頂,mountain top,家庭,Home,口のきけない,Dumb,追い付く,catch up with,,,
溺れる,Drowning,参観,visit,買う,Buy,松葉杖,Crutches,受け継ぐ,inherit,,,
帯,belt,参照,See also,可愛い,Cute,気が狂う,Going crazy,取り次ぐ,take over,,,
落ち着く,Calm,皿洗い,washing dishes,家族,Family,切り傷,Cuts,差し引く,withhold,,,
穏やか,calm,さらさら,washing dishes,風,Wind,状況,Situation,取り巻く,surround,,,
終える,End,猿真似,monkey imitation,風邪,Cold,絶対,Absolutely,言い出す,announce,,,
老い,Aging,細やか,fine,川,River,診察,Examination,売り出す,sell,,,
お辞儀,Bowing,ささやく,whisper,警官,Policeman,包帯する,Bandage,言う,say,,,
丘,Hill,差し出す,offer,結婚,Marriage,免疫,Immunity,行く,go,,,
沖,Offshore,差し引く,withhold,結構,Well enough,調節,Regulation,見る,see,,,
起こる,arise,差し支える,support,今朝,This morning,責任,Responsibility,来る,come,,,
奥,back,さっさ,quickly,消す,Erase,誕生,Birth,思う,think,,,
贈る,to give,早速,fast,木,Tree,無限,Infinite,持つ,have,,,
主に,to the Lord,撮影,shoot,消える,Disappear,早期治療,Early treatment,取る,take,,,
思い出,remember,刺す,stab,黄色い,Yellow.,寝る,Sleep,受ける,receive,,,
思わず,without thinking,さわやか,brisk,昨日,Yesterday,外傷,Trauma,考える,think,,,
おむつ,diaper,狭める,Narrowing,金曜日,Friday,横になる,Lying down,過ぎる,go too far,,,
恩,favor,接着,Adhere,切符,Ticket,脱臼する,Dislocate,始める,begin,,,
温暖,Warmth,設置,Install,嫌い,hate,医者,Doctor,与える,give,,,
温度,temperature,制,control,切る,cut,伸び率,Elongation,となる,become,,,
鬼,Onion,整備,Maintenance,着る,wear,分娩する,Deliver,起こる,happen,,,
温泉,hot spring,成分,Ingredients,喫茶店,coffee shop,作家,Writer,付ける,attach,,,
追い付く,catch up with,声援,Cheering,北,North,引き抜く,pull out,送る,send,,,
大雨,Heavy rain,精一杯,as much as possible,汚い,dirty,表現,Expression,続ける,continue,,,
大型,Large,成果,Results,切手,stamp,息を吸う,Breathe in,感じる,feel,,,
大いに,Great,生計,Livelihood,九,nine,作品,work,探す,look for,,,
覆う,cover,正門,Main Gate,声,Voice,息を吐く,Exhale,合う,match,,,
大家,Big house,製作,Production,ここ,here,未確認,Unidentified,信じる,Believe,,,
大雪,Heavy snow,制作,Production,九日,9 days,国民,People,求める,seek,,,
下す,bring down,政策,Policy,困る,I'm in trouble,大変,Tough,落ちる,Fall in,,,
降ろす,bring down,清算,Reconciliation,今晩,this evening,バクテリア,Bacteria,見つける,find,,,
収める,bring to a close,精神力,Spiritual Power,今週,this week,記録,Records,選ぶ,choose,,,
幼い,young,性質,nature,交番,police box,聾唖,Deaf and mute,向かう,go to,,,
抑える,suppress,清掃,cleanliness,紅茶,Black tea,困り果てる,I'm in trouble.,払う,sweep away,,,
汚染,Pollution,生得的,innate,公園,Park,ウィルス,virus,付く,follow,,,
お喋り,Chatter,生命力,Life force,子供,child,注射器,Syringe,遅れる,lag behind,,,
おしまい,End,性能,Performance,答える,Answer,骨折する,Fracture,進む,Go forward,,,
おすすめ,Recommend,成立,Establishment,言葉,Words,事実,Facts,驚く,Surprise,,,
劣る,inferior,生産者,Producer,今年,This year,狂気,Insanity,起こす,Wake,,,
恐らく,Probably,政党,political party,交差点,Intersection,体温計,Thermometer,失う,lose,,,
恐れる,Fearful,設計者,Designer,聞く,ask,伸ばす,Stretching,守る,Protect,,,
恐ろしい,Horrible,設計図,Blueprint,奇麗,beautiful,違い,Difference,勝つ,win,,,
お互い,Mutual,説教,Sermon,去年,last year,日記,diary,決める,Decide,,,
おとなしい,docile,選抜,Selection,今日,Today,身障者,Handicapped,生きる,Live,,,
追う,Chasing,選別,Selection,兄弟,Brother,何とも,nothing,上がる,Rise,,,
応募,Apply,先着,First arrival,教室,Classroom,昔,The past,変わる,change,,,
応援,Support,戦後,Postwar,口,mouth,率いる,lead,示す,show,,,
往復,Back and forth,専業主婦,Full-time housewife,果物,fruit,生きる,Live,怒る,get angry,,,
王/王様,King/king,選考,Selection,曇り,cloudy,海外,Overseas,残る,remain,,,
横断,Crossing,選挙,election,国,Country,遺伝性,Hereditary,過ごす,spend,,,
王子,Prince,鮮明,Clear,暗い,Dark,打率,batting average,調べる,examine,,,
応じる,respond,専門書,Specialized books,黒い,black,火傷する,Burns,学ぶ,learn,,,
応用,Applied,専門店,specialty store,来る,coming,交通,Traffic,聞こえる,hear,,,
終,end,専念,dedication,車,car,調子,Tune,楽しむ,Enjoy,,,
及ぼす,influence,洗練,refinement,薬,medicine,歌手,Singer,扱う,handle,,,
泳ぎ,swimming,線路,Line,靴,Shoes,状況,Situation,とする,deal with,,,
凡そ,general,戦略,strategy,靴下,Socks,自身,Self,変える,Change,,,
ぺらぺら,flat,先先週,Last week,町,Town,治療薬,Remedy,盗む,Steal,,,
ぴったり,perfect,洗濯機,Washing machine,まだ,Still,処方,Prescription,続く,continue,,,
楽,easy,洗剤,Detergent,前,Before,くしゃみ,Sneezing,運ぶ,Carry,,,
例,Example,接する,Contact,毎朝,Every morning,探す,Searching,当たる,hit,,,
礼儀,polite,選出,Election,毎晩,Every night,急変,sudden change,眠る,Sleep,,,
冷静,calm,選択肢,choices,毎月,Every month,春の日,Spring day,表す,Show,,,
連絡先,Contact,先端,Tip,毎日,Every day,診療,Medical treatment,受け取る,receive,,,
練習,Practice,接続,Connect,毎週,Every week,治療,Treatment,鳴る,sound,,,
連想,Associating,専用,Dedicated,毎年,Every year,暮らし,Living,現れる,Appear,,,
連続,Serial,専属,Exclusive,窓,Window,完全,Complete,負ける,Lose,,,
列車,train,背負う,Back,曲がる,Bend,配属,Assignment,暮らす,live,,,
列,Column,設定,Setting,万,"10,000",心が動く,Heart attack,許す,Forgive,,,
利益,Profit,説得力,Persuasion,丸い,round,感染症,Infection,戦う,fight,,,
理解,Understanding,節電,power saving,また,Also,汗,Sweat,慣れる,get used to,,,
離婚,Divorce,車内,In the car,待つ,Wait,少女,Girl,ようになる,get used to,,,
利口,clever,社内,In the company,不味い,Unfavorable,地方,Region,行う,do,,,
立派,Honorable,車両,Vehicle,目,eyes,塩っぱい,Salty,助ける,help,,,
理想,Ideal,写生,sketching,眼鏡,Glasses,負傷,Injury,ようにする,get used to,,,
率,rate,写真家,photographer,道,road,患部,Affected Area,喜ぶ,Rejoice,,,
利用者,Users,車窓,Car window,緑,green,意識,consciousness,泣く,cry,,,
論文,Thesis,仕上げる,Finishing,磨く,polish,たんこぶ,bumps,終える,End,,,
論じる,Discuss,痺れる,Numb,右,right,内服薬,internal medicine,訪れる,Visit,,,
論争,Controversy,絞る,squeeze,短い,short,無差別,indiscriminate,耐える,Endure,,,
労働,Labor,志望,Aspiration,耳,Ear,押し付ける,impose on,落とす,Drop,,,
老人,Old people,脂肪,fat,南,South,機能,Function,増える,Increase,,,
量,Quantity,渋い,reluctant,皆,Everyone,視野,Vision,動く,Move,,,
両替,Money Exchange,試着,try on,見る,See,先駆け,preemptive,備える,Prepare,,,
料金,Charges,市長,Mayor,店,store,きちんと,neat,逃げる,Escape,,,
領収書,Receipt,支援,Support,見せる,Show,極まる,be precise,戻る,Return,,,
留学,Study abroad,志願,Volunteers,水,water,感謝,gratitude,従う,Obey,,,
流行,fashion,志願者,Volunteers,門,gate,不公平,unfair,奪う,take,,,
差,Difference,仕草,Behaviors,問題,Problem,類推する,analogy,近づく,Approach,,,
砂漠,desert,指標,Indicators,持つ,Have,何しろ,Anyhow,達する,reach,,,
差別,discrimination,支持,Support,木曜日,Thursday,寄せる,contribute,間に合う,meet in time,,,
作業,Work,司会,Moderator,六日,6th,押し分ける,Divide,知る,know,,,
作法,Manners,視界,Vision,向こう,beyond,主任,chief,買う,buy,,,
裁判,Trial,資格,Qualification,村,Village,重量,Weight,聞く,hear,,,
最上,Topmost,視覚,Vision,難しい,Difficult,一定,constant,出る,go out,,,
参加者,Participants,思考,Thinking,長い,Long,つまり,In other words,会う,meet,,,
最高,Supreme,思考力,Thinking,中,Inside,閃く,flashes,作る,make,,,
才能,Talent,試行錯誤,Trial and error,鳴く,purr,実際,Actual,置く,put,,,
最終,Final,仕組み,Mechanism,無くす,lose,実現,Realization,使う,use,,,
最低,Lowest,至急,urgent,名前,Name,薬草,Medicinal herbs,書く,write,,,
幸い,Fortunately,氏名,Name,何,what,光,Light,読む,read,,,
逆らう,Disobey,使命,Mission,七日,seven days,眼下,below,食べる,Eat,,,
盛り,excitement,締め切る,shut down,並ぶ,line up,父,Father,話す,speak,,,
叫ぶ,shout,湿っぽい,damp,並べる,line up,少量,small amount,上げる,raise,,,
避ける,Avoid,湿る,damp,習う,learn,終わる,The end,住む,live,,,
作家,writer,染み付く,seep,なる,be,ある,There is,歩く,Walk,,,
作曲,Composition,芯,core,夏,summer,目的,Purpose,働く,Work,,,
作品,Work,新,new,猫,cat,自発的,Spontaneous,飲む,Drink,,,
作物,Crop,新築,new,寝る,Sleep,遊びに来る,Come to play,終わる,Finish,,,
桜,Cherry blossoms,振動,vibration,二,two,荒れ果てる,Desolate,死ぬ,Die,,,
覚ます,Awaken,進化,evolution,日曜日,Sunday,バス,Bus,出す,Get out,,,
覚める,awaken,進行,Progression,賑やか,Lively,馬,Horse,入れる,Let in,,,
様々,Various,真の,TRUE,肉,Meat,一生,A lifetime,教える,Teach,,,
参加,Participation,進入,Advancement,荷物,Luggage,年齢,Age,乗る,Get in,,,
参考,Reference,新設,New,西,West,部分,part,着る,Get on,,,
賛成,For,進出,Advancement,庭,Garden,気が小さい,Small-minded,走る,Run,,,
酸素,Oxygen,深夜,Late night,登る,Climbing,牛,Cow,忘れる,Forget,,,
さっぱり,Not at all,信頼性,Reliability,飲物,Drink,聞く,Listen,見える,see,,,
更に,Further,素人,Amateurs,飲む,Drinking,簡単,Easy,立つ,Stand,,,
去る,leave,視力,Vision,乗る,Get on,再び,Again,座る,Sit,,,
猿,monkey,新品,New products,脱ぐ,take off,記念,Memorial,待つ,Wait,,,
支える,support,申請,Application,伯母さん,Aunt,経済的,Economic,出かける,go out,,,
誘う,invite,申請書,Application form,お祖母さん,Grandmother,雛,chicks,帰る,Go home,,,
指す,point,視察,Inspection,お弁当,lunch,行き,Going,寝る,go to bed,,,
さっそく,quickly,施設,Facilities,覚える,remember,コース,Course,始まる,begin,,,
偖,well,質素,quality,お茶,Tea,親しい,close,見せる,Show,,,
札,bill,下書き,Draft,お風呂,Bath,一緒,together,笑う,smile,,,
騒ぎ,commotion,親しむ,familiarity,美味しい,Delicious,推理する,Guess,入る,enter,,,
左右,left and right,指摘,pointing out,お母さん,Mother,容量,Capacity,飛ぶ,fly,,,
正,right,視点,Perspective,お金,Money,平板な,Flat,失う,lose,,,
性,nature,しわ:,Wrinkles :,お菓子,Sweets,一口,Bite,呼ぶ,Call,,,
所為,action,視野,perspective,起きる,Get up,自動的,Automatically,売る,sell,,,
製,make,自然界,the natural world,置く,Put down,読み,Reading,残る,Remain,,,
性別,gender,沈める,sink,奥さん,wife,行動,Action,歌う,sing,,,
生物,organism,諸,various,お巡りさん,Policeman,効果的,Effective,通る,pass,,,
成長,Growth,初夏,early summer,重い,Heavy,同一,same,頼む,ask,,,
制度,Institution,初回,Initial,面白い,Interesting,時,time,降りる,Get off,,,
政府,Government,初期,Early,お腹,Tummy,乗る,Ride,渡る,Cross,,,
制服,Uniform,食器類,Tableware,音楽,Music,仕える,Serve,困る,Hassle,,,
制限,Restrictions,食,Food,女,Woman,性的,Sexual,急ぐ,Hurry,,,
製品,Products,食費,Food cost,同じ,Same,本格的,serious,泳ぐ,Swim,,,
政治家,Politicians,職員,Staff,お姉さん,Sister.,容易,Easy,着く,get to,,,
成人,Adult,職人,artisans,お兄さん,Brother,訓練,Training,覚える,remember,,,
正常,Normal,食生活,Food Life,女の子,Girl,製造,Manufacture,切る,cut,,,
正解,Correct Answer,初心者,Beginner,多い,Many,残す,Leave,止まる,stop,,,
性格,Personality,初対面,First meeting,大きい,Bigger,商品,Product,借りる,borrow,,,
正確,Accurate,書店,Bookstore,大勢,Many,推論する,Reasoning,喜ぶ,Be happy,,,
清潔,Clean,象徴,Symbols,降りる,Getting off,詳しい,Detailed,泣く,cry,,,
世紀,Century,商業,Commerce,お皿,Dish,以来,Since,増える,increase,,,
成功,Success,勝敗,Victory or defeat,教える,Teach,推進する,Promote,動く,move,,,
請求,Billing,賞品,Prizes,遅い,Slow,無限,Infinite,戻る,return,,,
生命,Life,消費者,Consumers,押す,push,数量,Quantity,従う,follow,,,
青年,Youth,生じる,Generate,お手洗い,use the bathroom,論文,Thesis,生まれる,be born,,,
整理,Organizing,消化,Digestion,男,boy,優しい,Gentle,答える,Answer,,,
生産,Production,消極的,Passive,男の子,Boy,傷つく,Hurt,奪う,take,,,
成績,Results,照明,Lighting,大人,Adult,手渡す,Hand over,近づく,approach,,,
正式,Formal,正面,Frontal,一昨日,day before yesterday,可能,Possible,思い出す,remember,,,
精神,spirit,消耗,Consumptive,お父さん,Father,幸運,Good Luck,達する,reach,,,
精々,spirit,小児科,Pediatrics,一昨年,Year before last,方向,Direction,切れる,cut,,,
製造,manufacture,省略,Omission,弟,Younger brother,急に,Suddenly,気を付ける,be careful,,,
世間,world,詳細,Details,終わる,End,一般,General,吹く,blow,,,
咳,Cough,少子化,Low fertility,泳ぐ,swimming,美しい,Beautiful,離れる,get away,,,
責任,Responsibility,消失,Disappearance,来月,next month,不透明,Opaque,手伝う,help,,,
石炭,Coal,少数,Minority,来年,next year,道路,Road,避ける,avoid,,,
石油,petroleum,焦点,Focus,来週,next week,経済,Economy,遊ぶ,Play,,,
せっかく,design,商店街,Shopping district,冷蔵庫,refrigerator,知的,Intellectual,伝える,tell,,,
設計,Design,所有,Ownership,練習,Practice,無料,Free,取れる,get,,,
積極的,Proactive,所属,Belonging,六,six,方法,Methods,集める,gather,,,
責める,blame,主人公,Protagonist,廊下,Hallway,市民,Citizen,優れる,excel,,,
宣伝,propaganda,主観,Subjectivity,旅行,Travel,印象,Impression,間違う,get it wrong,,,
先日,the other day,宿泊先,Accommodations,料理,Cooking,いかに,How,効く,be effective,,,
専攻,Major,祝日,Holidays,両親,Parents,政治的,Political,下がる,fall,,,
専門,Specialty,出版社,Publisher,留学生,Foreign student,心を配る,Mindfulness,見つかる,find,,,
専門家,specialist,出発点,Starting point,歳,Age,集中,Concentration,燃える,burn,,,
選手,Player,主力,Main Focus,財布,Wallet,企業,Enterprise,持ってくる,bring,,,
選択,Selection,主催,Sponsor,魚,fish,確り,Steady,残す,leave behind,,,
説,theory,出世,career,酒,alcohol,地域,Community,訪ねる,visit,,,
設備,Equipment,出社,coming to work,先,ahead,火,fire,比べる,compare,,,
説明会,Briefing,出身地,Birthplace,咲く,bloom,合理的,Rational,疲れる,get tired of,,,
節約,Save,出席者,Attendee,作文,composition,置き換える,Replace,犯す,commit,,,
喋る,talk,主体,Subject,寒い,Cold,茶,tea,倒れる,fall,,,
車道,Driveway,取得,Acquisition,三,Three,一番,first,越える,go over,,,
社員,Employees,出演,Performances,散歩,Walking,駐車禁止,Parking ban,向ける,face,,,
借金,Debt,出演者,Performers,再来年,The year after next,代金,price,抱く,embrace,,,
詩,Poem,集,Gathering,砂糖,Sugar,残る,remain,たがる,Want,,,
幸せ,Happiness,修学旅行,School trip,背,back,あちこち,here and there,消す,disappear,,,
芝居,play,修業,Schoolwork,背広,back,程度,degree,望む,hope for,,,
芝生,Lawn,周辺,Around,生徒,Student,大事,big deal,洗う,wash,,,
縛る,Bind,周年,Anniversary,石鹸,soap,一人,one person,尋ねる,ask,,,
屡々,Again and again,収納,collection,狭い,narrow,突然,sudden,含む,include,,,
死亡,Death,秀才,prodigy,千,thousand,技術的,technical,支払う,pay,,,
次第に,Gradually,就職活動,job hunting,先月,Last month,どこ,where,述べる,state,,,
指導,Leader,収集,Collection,先生,Teacher,一切,all,行われる,Be done,,,
指導者,Leader,習得,Learning,先週,Last week,親方,master,違う,Not,,,
刺激,Stimulus,取材,Interviewing,洗濯,Laundry,恥ずかしい,embarrassed,引く,pull,,,
資源,Resources,率直,frankness,四,Four,意志,Will,迎える,welcome,,,
支配,Control,添える,accompany,七,Seven,穏やか,calm,覆う,cover,,,
支払い,Payment,側面,side,写真,Photo,話しかける,talk to,集まる,gather,,,
支払う,Pay,速達,fast delivery,仕事,Work,輪,circle,貸す,Lend,,,
始発,Initiation,測定,measurement,名前,Name,都市,City,愛する,love,,,
資本,Capital,即座に,Instantly,来る,come,粉,Powder,苦しむ,Suffer,,,
詩人,poet,染まる,Staining,させる,let,推薦する,Recommend,騙す,deceive,,,
然も,but,そもそも,To begin with,として,as,帰り,Return,呼ばれる,Be called,,,
式,ceremony,揃える,align,です,is,一本,one bottle,曲がる,bend,,,
頻りに,frequently,揃う,match,いかに,How,下剤,Laxative,勤める,work,,,
湿気,moisture,そそっかしい,careless,や,and,直ちに,Immediately,好む,like,,,
支給,Supply,素質,qualities,練習,practice,約束,Promise,流れる,flow,,,
姉妹,sisters,外側,outside,不必要,Unnecessary,全国,Nationwide,描く,draw,,,
仕舞う,shut up,添う,accompany,立つ,Stand up,率直,frankness,隠す,hide,,,
締め切り,deadline,沿う,along,うち,in,一つ,One,痛む,hurt,,,
占める,occupy,総,total,毎日,Every day,国際的,International,壊れる,break,,,
締める,tighten,送付,send,年,Year,未解決,Unresolved,塗る,paint,,,
示す,indicate,総額,Total,長男,Oldest son,無地,No land,尽くす,devote,,,
霜,frost,相互,mutual,物,things,将来,future,断る,refuse,,,
品,item,総合,Total,酔う,drunk,グラス,Glass,焼く,burn,,,
身長,height,相違,Differences,減量,weight loss,能力,Capabilities,叩く,strike,,,
慎重,careful,倉庫,Warehouse,響く,effect,到着,Arrival,亡くなる,die,,,
進学,going to school,送客,Shipping,外国,foreign country,推定する,Estimate,沈む,sink,,,
信号,Signal,総務,general affairs,身体,Body,社会的,Social,欠ける,break,,,
信じる,Believe,相応,Correspondence,彼女,Her,不可能,Impossible,建てる,build,,,
新幹線,Shinkansen,創立,Establishment,そんな,"Oh, no.",普段,Usually,得る,get,,,
神経,Nerve,送料,shipping,有る,There is,一段,one level,言われる,be told,,,
真剣,serious,創作,creation,毎年,Every year,技術,Technology,浮かぶ,float,,,
深刻,Seriousness,送信,Sending,今,Now,痛み止め,Pain relief,使える,can use,,,
信仰,faith,総数,Total number,書き続ける,Keep writing,判断,Judgment,つつある,have,,,
信念,Belief,相対的,Relative,紹介,Introduction,一時,Temporary,願う,hope,,,
新入生,Freshman,そうとう,total,険しい,Rugged,出来事,Event,恐れる,fear,,,
審判,Judgment,創造,Creation,要る,needs,正直,Honesty,合わせる,match,,,
進歩,Progress,騒々しい,noisy,よりも,than,ありがたい,Thankful,出会う,Encounter,,,
信頼,Trust,素材,Material,渡す,pass,昼間,Daytime,捨てる,discard,,,
心理,Psychology,据える,set,湾,Bay,直接,Direct,育てる,Raise,,,
森林,Forest,水分,Moisture,関係,Relation,存在,Existence,立てる,stand up,,,
診察,Medical Examination,垂直,Vertical,一般的,General,国語,language,基づく,based on,,,
親戚,Relatives,水平,Horizontal,難しい,Difficult,先天的,Inborn,話し合う,discuss,,,
新鮮,Fresh,水面,Water surface,売る,Sell,たいてい,Mostly,決まる,decide,,,
信用,Trust,推薦書,Recommendations,比べる,Compare,合う,match,異なる,differ,,,
親友,best friend,吸い取る,Suction,言葉,Words,総意,Consensus,気に入る,like,,,
心臓,heart,好き嫌い,Likes and Dislikes,それ,It,週,Week,振る舞う,behave,,,
調べ物,research,すっきり,Neat,声,voice,主要,Main,雇う,Hire,,,
知らせ,news,住まい,residence,程度,degree,降水量,Precipitation,勝る,outperform,,,
尻,ass,済ます,finish,無制限,unlimited,深い,Deep,生む,produce,,,
知り合い,acquaintance,隅々,nooks and crannies,至らない,inadequate,計量,Weighing,取り戻す,get back,,,
知り合う,know each other,素直,straightforward,思い続ける,Keep thinking,守る,Protect,捕まる,catch,,,
城,castle,すらすら,without a hitch,材料,material,教室,Classroom,命じる,order,,,
印,mark,数値,numerical,男,man,測量,Measurement,嘘をつく,lie,,,
資料,materials,数分,number,という,called,ちゃんと,properly,襲う,attack,,,
姿勢,Attitude,数量,quantity,人間,man,分量,Weighing,叫ぶ,scream,,,
試食,Tasting,多,many,には,to,文章,Sentence,伸ばす,extend,,,
支出,Spending,束ねる,bundle,自然,Nature,なお,further,役に立つ,be useful,,,
思想,Thought,旅先,travel to,人気,Popularity,活動,activity,諦める,give up,,,
舌,Tongue,立ち止まる,stop,女,woman,試合,game,省く,save,,,
従う,Obey,たちまち,at a moment's notice,そして,and,一言,A word,手に入れる,get,,,
親しい,close,多大,many,何,What,見に来る,Come and see,富む,Wealth,,,
指定,Designation,辿り着く,arrive at a destination,だけ,Only,撫でる,Petting,受け入れる,Accept,,,
支店,Branch,耐える,endure,無い,No,料金,Fee,当てる,Guess,,,
質,Quality,多額,large amount,得る,get,一杯,A drink,捕まえる,Catch,,,
失望,Disappointment,多発,multiple,時,Time,悪魔,Devil.,乗せる,Take,,,
湿度,Humidity,対,opposite,夜,Night,とても,very,訴える,Appeal,,,
失業,Unemployment,大別,general classification,確かに,Certainly,力量,Strength,申し上げる,Say,,,
しつこい,Persistent,体調,physical condition,論争,controversy,無罪,Not guilty,役立つ,Helpful,,,
室内,Indoor,体外,out of body,鳴る,sound,一方,On the other hand...,頼る,rely on,,,
市役所,City Hall,対比,contrast,ホテル,hotel,予定,Schedule,計る,measure,,,
使用,Use,体感,physical feeling,同時,Simultaneous,邪魔,Hindrance,測る,measure,,,
自然,Nature,退場,exit,兄弟,Brothers,渦,vortex,量る,weigh,,,
沈む,sink,体格,Body size,知る,Know,積極的,positive,図る,figure,,,
食器,Tableware,体型,Body type,それで,So,起きる,happen,諮る,consult,,,
職,Occupation,体験,Experience,少女,Girl,一切,All,就く,get to,,,
職場,Workplace,対抗,Opposition,到る,come to,私,I,着く,arrive at,,,
植物,plant,体内,Body,または,or,教会,Church,付く,follow,,,
職業,Occupation,対応,Response,女子,girl,推測する,Guess,点く,stick,,,
食品,Food,対立,Confrontation,気が遣う,Cares,後,After,突く,poke,,,
食物,Food,対策,Countermeasure,高い,high,個人的,Personal,吐く,breathe,,,
食卓,Table,体制,System,打ち続ける,Keep hitting,情報,Information,触れる,touch,,,
食欲,Appetite,対戦,Opposition,僕,Me,協力,Cooperation,治る,Heal,,,
食料,Food,退社,Leaving the company,改善,Improvement,台所,Kitchen,値する,Deserve,,,
食糧,Foodstuff,体質,constitution,政府,Government,顔色,Facial expression,殺す,kill,,,
署名,Signature,対処,Countermeasures,不正,Injustice,頭に来る,Coming to a head,包む,wrap up,,,
書物,Writings,退職,Retirement,あれ,That,民,People,間違える,make a mistake,,,
処理,Processing,対象外,Not covered,しかも,Moreover,才能,Talents,抱える,hold,,,
書類,Documents,退出,Leaving,立つ,stand,制度,System,黙る,be silent,,,
書斎,Study,大敵,Great enemy,来る,Coming,住所,Address,見つめる,stare,,,
章,Chapter,対等,Equal,考える,Think,正式,Formal,折る,Fold,,,
賞,Award,高まる,Elevate,走り続ける,keep running,設計,Design,保つ,keep,,,
商売,Business,高め,Increase,予定,plan,本当,TRUE,用いる,use,,,
消防,Firefighting,高める,Raise,でも,But,中古,Used,輝く,Shine,,,
承知,Acknowledgement,滝,Waterfall,黒,black,五月,May,引き起こす,cause,,,
障害,Disability,宅配,Courier,思う,I think,具体的,Concrete,話しかける,talk to,,,
奨学金,Scholarship,宅配便,delivery service,とは,is,保存,Preservation,足りる,suffice,,,
小学生,Elementary school,逞しい,strong,心を引かれる,drawn into it,楽しみ,Fun,動かす,move,,,
正午,Noon,蓄える,store,無理,Impossible,機械,Machine,投げる,throw,,,
消費,Consumption,たくましい,muscular,最近,Recently,頼む,Please,告げる,tell,,,
商品,Commodity,溜める,accumulate,市,city,止まる,Stop,通す,let through,,,
正直,Honesty,保つ,keep,会話,Conversation,需要,Demand,植える,Plant,,,
生じる,Produce,多難,difficult,やめる,Stop,酒,Liquor,育つ,Grow,,,
少女,Girl,単調,monotonous,実際,Actually,予想,Forecast,知らせる,Inform,,,
症状,Symptoms,単純明快,simple and clear,呼ぶ,call,推移する,Transition,連れて行く,take,,,
証明,Proof,短期間,short term,向け,direction,発売,Launch,飼う,keep,,,
