Kanji,Reading,Meaning
備え付ける,そなえつける,"to provide, to furnish, to equip, to install"
予備校,よびこう,"preparatory school (for entrance examinations), cram school"
備考,びこう,"note (for reference), remarks"
電気設備,でんきせつび,electrical equipment
備荒食,びこうしょく,emergency food
保安設備,ほあんせつび,"safety devices, security provisions"
設備工事,せつびこうじ,"equipment installation, installation work"
道路整備,どうろせいび,"road maintenance, road improvement"
整備工場,せいびこうじょう,"repair shop, garage"
準備委員,じゅんびいいんか,preparatory committee
予備会談,よびかいだん,preliminary discussion
予備選手,よびせんしゅ,reserve player
予備試験,よびしけん,preliminary examination
金貨準備,きんかじゅんび,gold reserve
常備,じょうび,"standing, reserve, always having ready"
戦略,せんりゃく,"strategy, tactics"
侵略,しんりゃく,"aggression, invasion, raid"
省略,しょうりゃく,"omission, abbreviation, abridgment, abridgement"
略奪,りゃくだつ,"pillage, plunder, looting, robbery"
略語,りゃくご,"abbreviation, acronym"
簡略,かんりゃく,"simple, simplicity, brief, brevity"
略式,りゃくしき,"informal, simplified"
策略,さくりゃく,"scheme, tactic, stratagem, trick"
攻略,こうりゃく,"capture (of enemy territory), taking (by storm), conquest, attack, assault"
概略,がいりゃく,"outline, summary, gist, in brief"
略称,りゃくしょう ,abbreviation
略歴,りゃくれき,"brief personal record, short curriculum vitae"
謀略,ぼうりゃく,"strategy, stratagem, trick, scheme, plot"
略す,りゃくす,"to abbreviate, to omit, to take, to capture"
計略,けいりゃく,"plan, trick, plot, stratagem, scheme, trap"
略言,りゃくげん,"brief statement, summary"
略図,りゃくず,"rough sketch, rough map"
略名,りゃくめい,mnemonic
略成語,りゃくせいご,acronym
略説,りゃくせつ,"outline, summary"
紅茶,こうちゃ,black tea
紅白,こうはく,"red and white, colours for festive or auspicious occasions (colors)"
口紅,くちべに,lipstick
紅潮,こうちょう,"flush, blush"
紅色,こうしょく,"red (color, colour)"
紅梅,こうばい,"red-blossomed plum tree, red Japanese apricot"
深紅,しんく,deep crimson
高級,こうきゅう,"high class, high grade"
上級,じょうきゅう,"advanced level, high grade, senior"
階級,かいきゅう,"class, rank, grade"
同級生,どうきゅうせい,classmate
学級,がっきゅう,class (school)
初級,しょきゅう,"elementary level, beginner level"
中級,ちゅうきゅう,intermediate level
下級,かきゅう,"lower grade, low class, junior (officer)"
等級,とうきゅう,"grade, class, degree, rank, rating, order, points"
級友,きゅうゆう,classmate
中産階級,ちゅうさんかいきゅう,middle class
最高級,さいこうきゅう ,"highest grade, top class"
同級,どうきゅう,"the same grade, same class"
進級,しんきゅう,"promotion (school, military, etc.)"
特級,とっきゅう,"high grade, special grade, classy"
昇級,しょうきゅう,"promotion, advancement"
降級,こうきゅう,"downgrading, demotion, degradation, lowering of position"
分級,ぶんきゅう,"classification (of particles, using fluid resistance)"
指導,しどう,"guidance, leadership, instruction, direction, coaching"
誘導,ゆうどう,"guidance, leading, induction, introduction, incitement, inducement"
導入,どうにゅう,"introduction, bringing in, leading in, installation"
半導体,はんどうたい,"semiconductor, solid-state"
超伝導,ちょうでんどう,"superconductivity, super-conductivity"
先導,せんどう,"guidance, leadership, leading the way"
主導,しゅどう,"leadership, initiative, spearhead"
主導権,しゅどうけん,"hegemony, leadership, initiative"
導火線,どうかせん,fuse
盲導犬,もうどうけん,"guide dog for the blind, seeing eye dog"
学習指導要領,がくしゅうしどうようりょう ,government course (curriculum) guidelines
導き出す,みちびきだす,"to draw (conclusion), to deduce, to derive"
伝導,でんどう,"conduction, transmission"
導入部,どうにゅうぶ,musical introduction
指導者,しどうしゃ,"leader, guide, mentor, coach"
補導,ほどう,"guidance, protective custody"
導く,みちびく,"to guide, to lead, to show the way, to conduct, to derive, to deduce"
導電,どうでん,conduction
魔道,まどう,"heresy, evil ways, path of evil"
先導車,せんどうしゃ,"lead car, leading car"
先導者,せんどうしゃ," guide, vanguard, leader"
導出,どうしゅつ,"derivation (e.g. in math, logic), drawing (conclusion, summary etc.), leading"
導き入れる,みちびきいれる,"to lead into, to draw into"
導水,どうすい ,water conveyance
電気伝導,でんきでんどう,electrical conduction
導管,どうかん,"conduit, pipe, duct, vessel"
導電度,どうでんど,conductivity
電気伝導率,でんきでんどうりつ,electrical conductivity
学習指導,がくしゅうしどう,educational guidance
導通試験,どうつうしけん,continuity test
論理,ろんり,"logic, logical"
理論,りろん,theory
論文,ろんぶん,"thesis, essay, treatise, paper, article"
議論,ぎろん,"argument, discussion, dispute, controversy"
世論,よろん,"public opinion, popular voice, public sentiment, consensus"
結論,けつろん,conclusion
言論,げんろん,"speech, expression of views, discussion"
論争,ろんそう,"dispute, controversy"
口論,こうろん,"quarrel, argument, row, (verbal) dispute"
評論,ひょうろん,"criticism, critique"
論じる,ろんじる,"to discuss, to talk about, to deal with (a topic) "
討論,とうろん,"debate, discussion"
反論,はんろん,"objection, refutation, rebuttal, counterargument"
論理的,ろんりてき,logical
無論,むろん,"of course, certainly, naturally"
弁論,べんろん,"discussion, debate, argument"
持論,じろん,"one's cherished opinion, pet theory"
総論,そうろん,general remarks
正論,せいろん,"sound argument, fair argument, just reasoning"
評論家,ひょうろんか,"critic, reviewer, commentator"
論議,ろんぎ,"discussion, argument, debate"
論ずる,ろんずる,"to discuss, to talk about, to deal with (a topic)"
論外,ろんがい,"out of the question, outrageous, impossible, irrelevant"
論者,ろんしゃ,advocate
論説,ろんせつ,"editorial, dissertation"
方法論,ほうほうろん,methodology
異論,いろん,"different opinion, objection"
論戦,ろんせん,verbal dispute
論調,ろんちょう,"tone (of argument), tenor, drift"
激論,げきろん,"heated argument, heated discussion, heated debate"
論評,ろんぴょう,"comment, criticism"
論点,ろんてん,point in question (at issue)
推論,すいろん,"inference, deduction, induction, reasoning"
論旨,ろんし,"point of an argument, drift of an argument"
国論,こくろん,public opinion
小論,しょうろん,"short article, short essay"
口頭弁論,こうとうべんろん,"oral proceedings, oral pleadings"
進化論,しんかろん,"evolutionary theory, theory of evolution"
公論,こうろん,"public opinion, unbiased criticism, unbiassed criticism"
論告,ろんこく,prosecutor's closing argument
両論,りょうろん,both arguments (theories)
対論,たいろん,arguing face to face
概論,がいろん,"introduction, outline, general remarks"
論拠,ろんきょ,grounds of an argument
論じ尽くす,ろんじつくす,to deal exhaustively with
相対性理論,そうたいせいりろん,theory of relativity
極論,きょくろん,"extreme logic, extreme argument, unreserved argument"
本論,ほんろん,"main discourse, this subject, body (of a speech)"
談論,だんろん,discussion
論証,ろんしょう,"proof, certain truth, demonstration, argumentation"
抽象論,ちゅうしょうろん,an abstract argument
論陣,ろんじん,(construction of an) argument
相互,そうご,"mutual, reciprocal"
相手,あいて,"companion, partner, company, other party, addressee"
相当,そうとう,"corresponding to (in meaning, function, etc.), being equivalent to"
首相,しゅしょう,"Prime Minister, Chancellor"
相対,あいたい,involving only the parties concerned
相談,そうだん,"consultation, discussion, discussing, asking (somebody) for advice"
相撲,すもう,sumo wrestling
真相,しんそう,"truth, real situation"
相場,そうば,"market price, speculation (e.g. on stocks)"
相続,そうぞく,"succession, inheritance"
相変わらず,あいかわらず ,"as ever, as usual, the same, still"
外相,がいしょう,Foreign Minister
様相,ようそう,"aspect, phase, condition"
相違,そうい,"difference, discrepancy, variation"
相応,そうおう,"suitable, appropriate, befitting, becoming, adequate, reasonable, proper"
人相,にんそう,"looks, countenance, facial features"
世相,せそう,"social conditions, phase of life, (sign of) the times, state of society"
相対的,そうたいてき,relative
相手方,あいてかた,"other party, opposite party, opposing team, one's opponent, one's adversary"
円相場,えんそうば,yen exchange rate
相手取る,あいてどる,"to challenge, to take on an opponent (in negotiations, contest, etc.)"
相乗り,あいのり,"riding together, sharing a car (taxi, etc.)"
話し相手,はなしあいて,"person with whom to speak, someone to talk to, companion, advisor, adviser"
通産相,つうさんしょう ,Minister of International Trade and Industry
文相,ぶんしょう,"Minister of Education, Science and Culture"
不相応,ふそうおう,"unsuited, inappropriate, improper, undeserved"
相談所,そうだんじょ,"consultation office, information center, bureau, agency"
相性,あいしょう,"affinity, compatibility"
相談役,そうだんやく,"counselor, counsellor, adviser, advisor"
相対,そうたい,relativity
位相,いそう,"phase (e.g. wave, electricity, moon)"
相乗,そうじょう,"multiplication, synergism"
相関,そうかん,"correlation, interrelation"
相槌,あいづち,"aizuchi, back-channeling, interjections indicating that one is paying attention"
相次ぐ,あいつぐ,"to follow in succession, to happen one after another"
為替相場,かわせそうば,exchange rates
相殺,そうさい,"offset, offsetting each other, cancelling each other out, counterbalancing"
法相,ほうしょう,Minister of Justice 
遊び相手,あそびあいて,"playmate, playfellow"
相似,そうじ,"resemblance, likeness, similitude"
相まって,あいまって,"coupled with, together"
相続税,そうぞくぜい,"inheritance tax, death duty"
実相,じっそう,"reality, real state of affairs, true state of affairs"
相互銀行,そうごぎんこう,mutual savings bank
相棒,あいぼう,"partner, pal, accomplice"
蔵相,ぞうしょう,Minister of Finance
厚相,こうしょう,Welfare Minister
農相,のうしょう,Minister of Agriculture
労相,ろうしょう,Labor Minister
相互作用,そうごさよう,interaction
相関関係,そうかんかんけい,"correlation, interrelation, intertwining"
宰相,さいしょう,prime minister
手相,てそう,palm reading
相部屋,あいべや,"sharing a room, dormitory room"
相思,そうし,"mutual affection, mutual love "
相応しい,ふさわしい,"appropriate, adequate, suitable, fitting, worthy"
面相,めんそう,"countenance, features, looks"
相互交流,そうごこうりゅう,mutual exchange
寝相,ねぞう,sleeping posture
相手にする,あいてにする,"to keep company, to listen to, to associate with, to take notice of, to deal with"
相補,そうほ,complement
組織,そしき,"organization, formation, structure, construction, setup, system, tissue"
織り,おり,"weave, weaving, woven item"
織物,おりもの,"textile, fabric"
織る,おる, to weave
組織的,そしきてき,"systematic, organized, organizational"
絹織物,きぬおりもの,silk goods
織機,しょっき,"loom, weaving machine"
紡織,ぼうしょく,spinning and weaving
手織り,ており,"handwoven, handspun, weaving by hand"
織り込む,おりこむ,"to weave into, to interweave, to be incorporated in"
織布,しょくふ,woven fabric
労働,ろうどう,"manual labor, manual labour, toil, work"
苦労,くろう,"trouble, hardship, difficulty, labour, labor, toil, pains"
労働者,ろうどうしゃ,"employee, worker, laborer"
勤労,きんろう,"labor, labour, exertion, diligent service"
過労,かろう,"overwork, strain"
労力,ろうりょく,"labour, labor, effort, toil, trouble"
疲労,ひろう,"fatigue, weariness"
ご苦労様,ごくろうさま,thank you for your hard work
労使,ろうし,"labour and management, labor and management"
労働組合,ろうどうくみあい,"labor union, labour union, trade union"
労働党,ろうどうとう,Labour Party
労務,ろうむ,"labor, labour, work, service"
就労,しゅうろう,"working, being employed, being hired"
労働運動,ろうどううんどう,"labour movement, labor movement"
労作,ろうさく,"toil, labor, labour, laborious task"
労働省,ろうどうしょう,Ministry of Labour
勤労者,きんろうしゃ,worker
労働条件,ろうどうじょうけん,working conditions
労働基準法,ろうどうきじゅんほう,Labor Standards Act
労組,ろうそ,"labor union, labour union, trade uni"
労連,ろうれん,"labour union, labor union"
労相,ろうしょう,Labor Minister
労災,ろうさい,"work-related injury, work-related illness"
功労,こうろう,"meritorious deed, services"
重労働,じゅうろうどう,"heavy labor, heavy labour, hard work"
心労,しんろう,"anxiety, worry, fear"
労働力,ろうどうりょく,"labor, labour, manpower, working force"
徒労,とろう,"fruitless effort, wasted effort, abortive scheme, futility"
労る,いたわる,"to pity, to sympathize with, to sympathise wit"
軽快,けいかい,"light (of movements), nimble, sprightly, springy, light-hearted"
不快,ふかい,"displeasure, discomfort, unpleasantness"
愉快,ゆかい,"pleasant, delightful, enjoyable, joyful, cheerful, amusing, happy"
快楽,かいらく,pleasure
快晴,かいせい,"clear weather, cloudless weather, good weather"
快適,かいてき,"pleasant, agreeable, comfortable"
不愉快,ふゆかい,"unpleasant, disagreeable, displeasing, uncomfortable, unhap"
快い,こころよい,"pleasant, agreeable, comfortable, refreshing"
快速,かいそく,"high speed, rapidity"
爽快,そうかい,"refreshing, exhilarating, invigorating, bracing"
明快,めいかい ,"clear, clear-cut, lucid, unequivocal, explicit"
快調,かいちょう,"good (condition), going well, fine, smooth"
快感,かいかん,pleasant feeling
豪快,ごうかい,"hearty, exciting, stirring, lively, heroic, largehearted, splendid"
快活,かいかつ,"cheerful, lively, lighthearted"
快勝,かいしょう,"sweeping victory, easy victory"
快挙,かいきょ,"brilliant achievement, spectacular feat, splendid accomplishment"
快走,かいそう,"fast moving, fast running, fast sailing"
痛快,つうかい,"exhilarating, thrilling, intensely pleasurable"
快作,かいさく,"splendid work, masterpiece"
快投,かいとう,good pitch
全快,ぜんかい,complete recovery of health
快食,かいしょく,good appetite
快眠,かいみん,pleasant sleep
快気,かいき,recovery
