Words,Reading,Meaning,Type,S1,S2,T1,T2,T3,S3,W1,W2,W3
なくて,,"without doing, not doing (te-form of nai)",,お客さんが来なくてどうしますか,,"If your guest does not come, What will you do?",,⚭ Vneg-stem + nakute,,,,
なくて,,not this but that (te-form of nai),,手紙を書かなくて電話をしました,,"I didn’t write a letter, I telephoned",,⚭ Vneg-stem + nakute,,,,
なくて,,"without doing, not doing (te-form of nai)",,お金がなくて買いませんでした,,"I didn't have any money, (so) I didn’t buy",,⚭ aru → nakute,,,,
なくても,,even if (i) don’t,,会社に行かなくても仕事があります,,"Even if I don’t go to the company, I still have to work",,⚭ Vneg-stem + nakute mo,,,,
なくても,,even if (i) don’t,,車がなくても行かなかればなりません,,"Even if you don’t have a car, you have to go",,⚭ aru → nakute mo,,,,
なくてもいい,,it’s ok not to,,わさびを食べなくてもいいです,,It’s ok not to eat wasabi,,⚭ Vneg-stem + nakute mo ii (desu),,,,
なくてもいい,,it’s ok not to,,車がなくてもいいです,,It’s ok not to have a car,,⚭ aru → nakute mo ii (desu),,,,
なくていけません,,"must, have to (obligation)",,3時に薬を飲まなくてはいけません,,I have to take medicine at 3:00,,⚭ Vneg-stem + nakute (wa) ikemasen,,,,
なくてなりません,,"must, have to (obligation)",,毎日学校に行かなくてはなりません,,I have to go to school every day,,⚭ Vneg-stem + nakute (wa) narimasen,,,,
なくてだめです,,"must, have to (obligation)",,お父さんも来なくてはだめです,,Your father has to come too,,⚭ Vneg-stem + nakute (wa) dame desu,,,,
なくていけません,,"must, have to (obligation)",,電話がなくてはいけません,,You have to have a phone,,⚭ aru + nakute (wa) ikemasen,,,,
ないといけません,,"must, have to (obligation)",,宿題をしないといけません,,I have to do my homework,,⚭ Vneg-stem + naito ikemasen,,,,
ないとだめです,,"must, have to (obligation)",,毎日学校に行かないとだめです,,You have to go to school every day,,⚭ Vneg-stem + naito dame desu,,,,
なきゃ,,"must, have to (obligation)",,ご飯を食べなきゃ,,I have to eat,,⚭ Vneg-stem + nakya,,,,
なくちゃ,,"must, have to (obligation)",,勉強しなくちゃ,,I have to study,,⚭ Vneg-stem + nakucha,,,,
ないと,,"must, have to (obligation)",,学校に行かないと,,I have to go to school,,⚭ Vneg-stem + naito,,,,
られる,,(I) get/got by someone (passive form),,財布は泥棒に盗まれました,,My wallet was stolen by a thief,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,彼はみんなに知られています,,He is known by everyone,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,先生に質問されました,,I was asked a question by the teacher,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,パンが誰かに食べられた,,The bread was eaten by somebody,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,見られた！,,Someone saw me,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,この本は多くの人に読まれている,,This book is being read by a large number of people,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,窓は田中さんに開けられた,,The window was opened by Mr. Tanaka,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,田中さんに窓を開けられた,,Mr. Tanaka opened the window,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,田中さんに家を建てられた,,Mr. Tanaka built a house,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,外国人に質問を聞かれた,,I was asked a question by a foreigner,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,彼女に料理がまずかったって言われた,,She told me that the food was bad,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,お母さんに変だと言われます,,I am told by my mother that I am strange,,⚭ Vneg-stem + reru/rareru → Vpass,,,,
られる,,(I) get/got by someone (passive form),,ネタバレされた,,Someone spoiled (the story),,⚭ suru → sareru,,,,
られる,,(I) get/got by someone (passive form),,彼女に浮気された,,She cheated on me (and I’m upset),,⚭ suru → sareru,,,,
させる,,Let made someone do (causative form),,先生が学生に宿題をたくさんさせた,,Teacher made students do lots of homework,,⚭ Vneg-stem + seru/saseru,,,,
させてあげる,,I let someone do (causative form),,私は田中さんに運転させてあげる,,I let Mr. Tanaka to drive,,⚭ Vneg-stem  + sete/sasete + ageru,,,,
させてくれる,,Someone let me do (causative form),,田中さんは私に運転させてくれる,,Mr. Tanaka let me drive,,⚭ Vneg-stem  + sete/sasete + kureru,,,,
させてもらう,,I have/had someone to let me do (causative form),,私は田中さんに運転させてもらう,,I have Mr. Tanaka to let me drive,,⚭ Vneg-stem  + sete/sasete + morau,,,,
させられる,,I got made do it/someone made to do it (causative-passive form),,朝ご飯は食べたくなかったのに、食べさせられた,,"Despite not wanting to eat breakfast, I was made to eat it",,⚭ Vneg-stem  + serareru/saserareru,,,,
ずに,,without doing ,,明日忘れずに彼に会って下さい,,Don't forget to see him tomorrow,,⚭ Vneg-stem  + zuni,,,,
ずにはいられない,,can’t help but do,,彼女を愛さずにはいられないなあ,,I can't help but love her,,⚭ Vneg-stem  + zuni wa irarenai,,,,
あがる,,"do upwards, be finished",,お湯入れて出来上がります,,Add hot water and you're ready to go,,⚭ Vnoun-stem + agaru,,,,
あげる,,"do for someone, do upwards, finish doing (transitive)",,仕事を仕上げれば帰ってもいいです,,You can go home if you finish your work,,⚭ Vnoun-stem + ageru,,,,
だす,,"do suddenly, suddenly starts doing",,小鳥はパッと飛び出しました,,The little bird took off in a flash,,⚭ Vnoun-stem + dasu,,,,
はじめる,,begin doing,,もう遅いですから勉強し始めなくてはいけません,,"Since it’s late, I have to start studying",,⚭ Vnoun-stem + hajimeru,,,,
かた,,"way/method of doing, how to  (verb to noun)",,すき焼きの作り方を教えてください,,Please teach me how to make sukiyaki,,⚭ Vnoun-stem + kata,,,,
こむ,,"do in, into",,生年月日をここに書き込んでください,,Please write your date of birth here,,⚭ Vnoun-stem + komu,,,,
ます,,normal polite present/future form,,毎朝新聞を読みます,,I read the newspaper every morning,,⚭ Vnoun-stem + masu → Vmasu,,,,
ました,,normal polite past form,,昨夜テレビを見ましたか,,Did you watch TV last night?,,⚭ Vnoun-stem  + mashita,,,,
ません,,normal polite present/future negative form,,まだ食べません,,I haven't eaten yet.,,⚭ Vnoun-stem  + masen,,,,
ませんでした,,normal polite past negative form,,お友達は来ませんでした,,Your friend didn't come.,,⚭ Vnoun-stem + masen deshita,,,,
ましょう,,"normal polite inclusive command, let’s …",,もう帰りましょう,,Let's go home.,,⚭ Vnoun-stem + mashou,,,,
ましょうか,,"normal polite inclusive query, shall we …",,一緒に行きましょうか,,Shall I go with you?,,⚭ Vnoun-stem + mashou ka,,,,
ながら,,while doing ,,新聞を読みながら事務所に入りました,,I went into the office to read the newspaper,,⚭ Vnoun-stem + nagara,,,,
なさい,,abrupt command,,お父さんに聞きなさいよ,,You should ask your father.,,⚭ Vnoun-stem + nasai,,,,
にいく,,go somewhere to do,,デパートへ靴を買いに行きました,,I went to the department store to buy some shoes,,⚭ Vnoun-stem + ni iku,,,,
にくる,,come somewhere to do,,お母さんと話に来ました,,I came to talk to your mother,,⚭ Vnoun-stem + ni kuru,,,,
にくい,,difficult to (creates a true adjective),,あの本はちょっと読みにくいです,,That book is a little hard to read,,⚭ Vnoun-stem + nikui,,,,
おわる,,finish doing,,食べ終わってすぐ出かけました,,I went out right after I finished eating,,⚭ Vnoun-stem + owaru,,,,
そう,,"appears to be about to, looks like",,あの人は倒れそうです,,That man is about to fall down.,,⚭ Vnoun-stem + sou (desu),,,,
そう,,"appears to be about to, looks like",,子供は泣きそうな顔をしています,,The child looks like she's about to cry.,,⚭ Vnoun-stem + sou (desu),,,,
すぎる,,do too much,,昨夜飲みすぎましたから今日具合が悪いです,,"I drank too much last night, so I'm not feeling well today.",,⚭ Vnoun-stem + sugiru,,,,
たがる,,"want to, wish to",,子供はアイスクリムを食べたがりました,,The child wants to eat an ice-cream.,,⚭ Vnoun-stem + tagaru,,,,
たい,,want to,,もう遅いから帰りたいです,,"It's late, I want to go home.",,⚭ Vnoun-stem + tai (desu),,,,
たかった,,wanted to,,エンターテイナーになりたかったです,,I wanted to be an entertainer.,,⚭ Vnoun-stem + takatta,,,,
たくない,,don’t want to,,まだ帰りたくない人は手をあげてください,,Raise your hand if you don't want to go home yet.,,⚭ Vnoun-stem + takunai,,,,
たくなかった,,didn’t wanted to,,彼は家族から離れたくなかった,,He didn't want to leave his family.,,⚭ Vnoun-stem  + takunakatta ,,,,
つずける,,continue doing,,1時間ぐらい歩続けました,,He walked for about an hour.,,⚭ Vnoun-stem + tsuzukeru,,,,
やすい,,easy to (creates a true adjective),,フォークは使いやすいです,,The fork is easy to use,,⚭ Vnoun-stem + yasui,,,,
ほど,,"to the extent, so much that",,おじさんは捨てるほどお金を持っています,,Uncle has money to throw away extensively,,⚭ Vdict・Vru + hodo,,,,
かぎり,,"to the extent that, in so far as, within the limits of",,できるかぎり、努力します,,I will try to the extent that it is possible,,⚭ Vdict・Vru + kagiri,,,,
かわりに,,"instead of, in place of, in exchange for",,行くかわりに電話をしました,,I phoned instead of going,,⚭ Vdict・Vru + kawari (ni),,,,
気がある,,"be of a mind to, to have a mind to",,テニスをする気があれば、一緒にしましょうか,,"If you’re a mind to play tennis, shall we play together",,⚭ Vdict・Vru + ki ga aru,,,,
気がする,,"feel like doing, willing to do",,今日病気で、仕事をする気がしません,,Today I am sick and don’t feel like working,,⚭ Vdict・Vru + ki ga suru,,,,
気になる,,come to feel like doing,,少しあるきまわると勉強する気になるでしょう,,"If you walk around a little, you may come to feel like studying",,⚭ Vdict・Vru + ki ni naru,,,,
ことがある,,"(ever) do, occasionally do",,時々を寿司を食べることがあります,,I eat sushi from time to time,,⚭ Vdict・Vru + koto ga aru,,,,
ことができる,,"be able to do, can do",,お兄さんはギータを引くことができる,,Older brother can play the guitar,,⚭ Vdict・Vru + koto ga dekiru,,,,
ことになる,,"have been decided, come about",,土曜日にも働くことになりました,,"It turns out that I will be working on Saturday, also",,⚭ Vdict・Vru + koto ni naru,,,,
ようになる,,"reach to a point, to get to a point",,お母さんが病気で病院に行くようになりました,,"Mother was sick, so I wound up going to the hospital",,⚭ Vdict・Vru + you ni naru,,,,
ことにする,,I have decided,,明日東京にい行くことにしました,,I decided to go to Tokyo tomorrow,,⚭ Vdict・Vru + koto ni suru,,,,
ようにする,,try to do,,やはり社長さんと話すようにしました,,He decided to speak with the company president after all,,⚭ Vdict・Vru + you ni suru,,,,
まで,,until (I) do,,新しいのを買うまで、これを使って下さい,,Please use this until I buy a  new one,,⚭ Vdict・Vru + made,,,,
までに,,by the time (I) do,,お客さんが来るまでに、できあがると思います,,I think it will be finished by the time the guests come,,⚭ Vdict・Vru + made ni,,,,
まえに,,before doing,,帰る前におお店によって下さい,,Please go by the store before coming home,,⚭ Vdict・Vru + mae (ni),,,,
もの,,thing,,食べるものはありませんか,,Don’t you have anything to eat,,⚭ Vdict・Vru + mono,,,,
な,,don’t do (abrupt negative command),,忘れるな,,Don't forget,,⚭ Vdict・Vru + na,,,,
ために,,"in order to, so that, for the sake of, because of",,子供がわかるためにはっきりと説明して下さい,,"In order for the children to understand, please explain clearly",,⚭ Vdict・Vru + tame (ni),,,,
と,,if (I) do,,東京によると友達にわあなくてはなりません,,"If you stop by Tokyo, you must see my friend",,⚭ Vdict・Vru + to,,,,
とちゅう,,"be en route, on the way",,今会社へ行く途中です,,I en route to the company now,,⚭ Vdict・Vru + tochuu (desu),,,,
ところ,,be about to,,今ちょっと出かけるところです,,We are about to go out now,,⚭ Vdict・Vru + tokoro (desu),,,,
としたら,,If (I) were to (emphatic conditional),,車を買うとしたら、どんなものがいいかしら,,"If we were to buy a car, what kind would be best",,⚭ Vdict・Vru + to shitara,,,,
とすれば,,If (I) were to (emphatic conditional),,お友達が来るとすれば、五月でしょう,,"If your friend does come, It will probably be in May",,⚭ Vdict・Vru + to sureba,,,,
とすると,,If (I) were to (emphatic conditional),,もしハワイいに止まるとすると一晩だけでしょう,,"If we do stop in Hawaii, I will probably be only one night",,⚭ Vdict・Vru + to suru to,,,,
としても,,even if,,お母さんに聞くとしても、お父さんが賛成しないと思います,,"Even if we ask Mother, I think Father will not approve",,⚭ Vdict・Vru + to shite mo,,,,
つもり,,intend to,,明日電車で行くつもりです,,I intend  to go by train tomorrow,,⚭ Vdict・Vru + tsumori (desu),,,,
ように,,in order to,,明日出かけられるように準備しています,,I am preparing to be able to depart tomorrow,,⚭ Vdict・Vru + you ni,,,,
よてい,,plan to,,明日テニスをする予定です,,I plan to play tennis tomorrow,,⚭ Vdict・Vru + yotei (desu),,,,
せよ,,abrupt command,,勉強せよ,,Study!,,⚭ suru → seyo,,,,
やれ,,abrupt command,,やれ,,Do!,,⚭ yaru → yare,,,,
こい,,abrupt command,,来い,,Come!,,⚭ kuru → koi,,,,
ば,,if/when (i) do (conditional),,急げば間に合います,,"If we hurry, we can make it",,⚭ Vcmd + ba → Vcond,,,,
ば,,if/when (i) do (conditional),,アイスクリームは少しだけ食べればいいです,,"If you only eat a little ice cream, it’s okay",,⚭ Vcmd + ba → Vcond,,,,
ばよかった,,"should have done, wish to do",,早く食べればよかったです,,I should have eaten sooner,,⚭ Vcmd + ba yokatta (desu),,,,
すればよかった,,"should have done, wish to do (kuru: kureba, suru: sureba)",,勉強すればよかったです,,I should have studied,,⚭ suru → sureba yokatta (desu),,,,
くればよかった,,"should have done, wish to do (kuru: kureba, suru: sureba)",,早く来ればよかったです,,I should have come earlier,,⚭ kuru → kureba yokatta (desu),,,,
えます,,potential form ( group 1 verbs: yodan),,日本語が読めますか,,Can you read Japanese?,,⚭ Vcmd + ru → Vpot,,,,
えます,,potential form ( group 1 verbs: yodan),,日本語が話せますか,,Can you speak Japanese?,,⚭ Vcmd + ru → Vpot,,,,
える,,potential form ( group 1 verbs: yodan),,日本語が読める？,,Can you read Japanese?,,⚭ Vcmd + ru → Vpot,,,,
える,,potential form ( group 1 verbs: yodan),,日本語が話せる？,,Can you speak Japanese?,,⚭ Vcmd + ru → Vpot,,,,
られる,,potential form ( group 2 verbs: ichidan),,辛いものは食べられますか？,,Can you eat spicy food?,,⚭ Vcmd + rareru → Vpot,,,,
できる,,potential form ( suru: dekiru),,静かに勉強できますか？,,Can you study quietly?,,⚭ suru → dekiru,,,,
できる,,potential form ( suru: dekiru),,お手洗いをちょっとお借りできますか,,Can I use your restroom for a moment?,,⚭ suru → dekiru,,,,
できる,,potential form ( suru: dekiru),,わたしはにほんごをはなすことができる,,I can speak Japanese.,,⚭ suru → dekiru,,,,
くれる,,potential form ( kuru: kureru),,明日は来れるかな？,,Can you come tomorrow?,,⚭ kuru → kureru,,,,
おう,,let’s ..  (informal inclusive command),,もう遅いから帰ろう,,"It's late already, Let's go home",,⚭ Vvol,,,,
よう,,let’s ..  (informal inclusive command),,食べよう,,Let's eat.,,⚭ Vvol,,,,
こよう,,let’s ..  (informal inclusive command),,ビーチに来よう,,Let's come to the beach,,⚭ kuru → koyou,,,,
しよう,,let’s ..  (informal inclusive command),,明日試験ですから勉強しようよ,,"We have an exam tomorrow, Let's study",,⚭ suru → shiyou,,,,
おうか,,shall we ..  (informal inclusive query),,1時半に始めようか,,Shall we start at 1:30?,,⚭ Vvol + ka,,,,
ようか,,shall we ..  (informal inclusive query),,明日また来ようか,,Shall we come again tomorrow?,,⚭ Vvol + ka,,,,
おうとおもう,,i think i will,,今日友達の家に行こうと思います,,I think I will go my friend's house today,,⚭ Vvol + to omou,,,,
おうとおもう,,i think i will,,明日また来ようと思っています,,I am thinking I will come again tomorrow,,⚭ Vvol + to omou,,,,
おうとする,,"be about to, try to, attempt to",,ドアを開けようとしたが鍵がかかっていました,,"I tried to open the door, but it was locked",,⚭ Vvol + to suru,,,,
おうとする,,"be about to, try to, attempt to",,お風呂に入ろうとしたら電話がかかってきた,,"When I was about to take a bath, the phone rang",,⚭ Vvol + to suru,,,,
おうとする,,"be about to, try to, attempt to",,会社からまさに出ようとした時雨が降ってきた,,"When I was just about to leave the office, it started to rain",,⚭ Vvol + to suru,,,,
おうとする,,"be about to, try to, attempt to",,電車に乗ろうとしたときにドアが閉まって乗れなかった,,"When I tried to get on the train, the door closed and I couldn't get on",,⚭ Vvol + to suru,,,,
おうとしている,,"be about to, trying to, attempting to (progressive form)",,先生は授業を始めようとしています,,The teacher is about to start class,,⚭ Vvol + to shite iru,,,,
おうとしている,,"be about to, trying to, attempting to (progressive form)",,警察に電話しようとしています,,He is about to call the police,,⚭ Vvol + to shite iru,,,,
てあげる,,do for someone,,地図を書いてあげましょうか,,Shall I draw you a map,,⚭ Vte + ageru,,,,
てやる,,do for someone,,友達に見せてやろうと思います,,I think I will show it to my friends,,⚭ Vte + yaru,,,,
てある,,has been done,,手紙はもう書いてあります,,The letter have already been written,,⚭ Vte + aru,,,,
てある,,has been done,,電気はもう点けてありました,,The lights have already been turned on,,⚭ Vte + aru,,,,
てほしい,,I want someone to do,,お母さんに買って欲しいです,,I want my mom to buy it,,⚭ Vte + hoshii (desu),,,,
てほしい,,I want someone to do,,野菜を食べて欲しかったです,,I wanted you to eat your vegetables,,⚭ Vte + hoshii (desu),,,,
てほしい,,I want someone to do,,見て欲しいものがあります,,I want you to see something,,⚭ Vte + hoshii (desu),,,,
てほしい,,I want someone to do,,部屋が散らかっているから片付けてほしい,,The room is cluttered so I want you to clean it up,,⚭ Vte + hoshii (desu),,,,
ていく,,"do and then go, do before going",,先生と話して行きましょう,,Let’s talk with the teacher and go,,⚭ Vte + iku,,,,
持っていく,,"take and go, take away with you (something)",,この本を持って行きます,,I will take this book with me,,⚭ motte + iku,,,,
連れていく,,"take and go, take away with you (someone)",,映画にいくなのなら妹も連れていきなさい,,"If you go to the movies, take your sister with you",,⚭ tsurete + iku,,,,
ている,,continuous action (progressive form),,父は今新聞を読んでいます,,My father is reading the newspaper right now.,,⚭ Vte + iru,,,,
ている,,continuous state (resultative form),,お店が開いています,,The store is open.,,⚭ Vte + iru,,,,
ている,,habitual (repetitive form),,あの店では新しい野菜を売っています,,The store is selling new vegetables.,,⚭ Vte + iru,,,,
ていただきます,,have someone do,,明日先生に教えていただきます,,The doctor will tell us tomorrow.,,⚭ Vte + itadakimasu,,,,
ていただきます,,have someone do,,今晩電話をしていただけませんか,,Could you please call me tonight?,,⚭ Vte + itadakimasu,,,,
てもらう,,have someone do,,少年は大人の友達にビールを買ってもらいました,,The boy asked his adult friend to buy him a beer.,,⚭ Vte + morau,,,,
てから,,after doing,,食べてから宿題をする予定です,,He is going to eat and then do his homework.,,⚭ Vte + kara,,,,
てください,,please do (polite request),,これを見てくださいますか,,Will you look at this?,,⚭ Vte + kudasai,,,,
てくる,,"do and come back, do/done before  coming",,食べてきました,,I've eaten.,,⚭ Vte + kuru,,,,
持ってくる,,bring,,傘を持ってきませんでした,,I didn't bring my umbrella.,,⚭ motte + kuru,,,,
行ってくる,,be (right) back,,すみません、ちょっと行ってきます,,"Excuse me, I have to go.",,⚭ itte + kuru,,,,
忘れてくる,,forgot to bring,,教科書を忘れてきました,,I forgot my textbook.,,⚭ wasurete + kuru,,,,
てみる,,"do and see, try doing",,美味しいですから食べてみてください,,It's delicious. You should try it.,,⚭ Vte + miru,,,,
てみる,,"do and see, try doing",,怪しい音が聞こえたから部屋に入ってみました,,"I heard some suspicious noises, so I went into the room.",,⚭ Vte + miru,,,,
ても,,even if (i) do,,友達が来ても出かけてはいけません,,You shouldn't go out when your friends come.,,⚭ Vte + mo,,,,
ても,,even if (i) do,,走っても間に合わないと思います,,I don't think I can run in time.,,⚭ Vte + mo,,,,
てもいい,,it’s ok to,,早く帰ってもいいですか,,Can I go home early?,,⚭ Vte + mo ii (desu),,,,
てもいい,,it’s ok to,,少し食べてもいいです,,I don't mind if you eat a little.,,⚭ Vte + mo ii (desu),,,,
てもだいじょうぶ,,even if..it’s ok,,急がなくても大丈夫だよ,,There's no need to hurry.,,⚭ Vte + mo daijoubu (desu),,,,
てもだいじょうぶ,,even if..it’s ok,,試着ても大丈夫ですか,,Can I try on a dress?,,⚭ Vte + mo daijoubu (desu),,,,
てもかまいません,,even if..there is no problem,,質問しても構いませんか,,Can I ask you a question?,,⚭ Vte + mo kamaimasen,,,,
てもかまいません,,even if..there is no problem,,窓を開けても構いませんか,,Do you mind if I open the window?,,⚭ Vte + mo kamaimasen,,,,
てもかまいません,,even if..there is no problem,,随時に退席しても構いません,,You may leave at any time.,,⚭ Vte + mo kamaimasen,,,,
ておく,,"do for a later purpose, do and set aside, leave as is",,明日テストですから勉強しておきましょう,,"You have a test tomorrow, so you'd better study.",,⚭ Vte + oku,,,,
ておく,,"do for a later purpose, do and set aside, leave as is",,窓を開けっ放しにあひておくな,,Don't leave the window open.,,⚭ Vte + oku,,,,
てしまう,,"do completely, irrevocably, irretrievably",,考ええなくて言ってしまいました,,I couldn't think of anything else to say.,,⚭ Vte + shimau,,,,
てはいけません,,"its not ok to, should not do",,ここでタバコを吸ってはいけません,,Don't smoke in here.,,⚭ Vte + wa ikemasen,,,,
てはだめです,,"its not ok to, should not do",,図書館の中で大声で反してはだめです,,Don't talk loudly in the library.,,⚭ Vte + wa dame desu,,,,
た,,informal past ,,少し休んだ,,I got some rest.,,⚭ Vta,,,,
た,,informal past ,,私は日本料理を食べた,,I ate Japanese food,,⚭ Vta,,,,
たあと,,"after doing, after having done",,食べた後出かけました,,"After we ate, went out",,⚭ Vta + ato,,,,
たあと,,"after doing, after having done",,終わった後電話をします,,"After I'm done, I'll call you ",,⚭ Vta + ato,,,,
たばかり,,have just done,,いま食べたばかりです,,I just ate,,⚭ Vta + bakari (desu),,,,
たばかり,,have just done,,鈴木さんがついたばかりだと思います,,I think Mr. Suzuki just arrived,,⚭ Vta + bakari (desu),,,,
たことがある,,"have (ever) done, had been",,ロンドンに行ったことがありますか,,Have you ever been to London?,,⚭ Vta + koto ga aru,,,,
たことがある,,"have (ever) done, had been",,刺身を食べたことがありません,,I've never eaten raw fish before,,⚭ Vta + koto ga aru,,,,
たら,,if (i) do/did ,,お友達が今電話をしたらどうしますか,,What would you do if your friend called you right now?,,⚭ Vta + ra,,,,
たら,,if (i) do/did ,,お金がなくなったら困ります,,I would be in trouble if my money ran out,,⚭ Vta + ra,,,,
たりする,,non-sequential series of verbs,,学校が終わってから手紙を書いたり音楽を聞いたりします,,"After school, I write letters and listen to music",,⚭ Vta + ri~tari suru,,,,
ために,,because (i) did because of,,先生が言ったために信じました,,"Because the teacher said, I believed it",,⚭ Vta + tame (ni),,,,
ために,,because (i) did because of,,手紙を受けたために電話をしました,,"Because I received your letter, I called you ",,⚭ Vta + tame (ni),,,,
ために,,because (i) did because of,,気分が悪いですがよく寝なかったためです,,"I don't feel well, but that's because I didn't sleep well",,⚭ Vta + tame (ni),,,,
たところ,,"just did, have just done, the point of having done",,今食事が終わったところです,,I've just finished dinner,,⚭ Vta + tokoro (desu),,,,
のが好きです,,I like to,,サッカーを見るのが好きです,,I like to watch soccer・I like watching soccer,,⚭ Vdict + no ga suki desu ,,,,
のが嫌いです,,I don’t like to,,自転車に乗るのが嫌いです,,I don’t like to ride a bicycle・I don’t like riding a bicycle,,⚭ Vdict + no ga kirai desu ,,,,
のが得意です,,I am good at (one’s forte),,ピアノを弾くのが得意です,,I am good at playing piano,,⚭ Vdict + no ga tokui desu ,,,,
のが上手です,,I am good at,,ピアノを弾くのが上手です,,I am good at playing piano,,⚭ Vdict + no ga jouzu,,,,
のが苦手です,,I am not good at,,絵を描くのが苦手です,,I am not good at drawing a picture,,⚭ Vdict + no ga nigate desu,,,,
のが下手です,,I am bad at,,絵を描くのが下手です,,I am bad at drawing a picture,,⚭ Vdict + no ga heta desu,,,,
つもり,,I intend to,,パーティーに行くつもりです,,I intend to go to the party,,⚭ Vdict + tsumori,,,,
まえに,,Before doing,,寝る前に本を読みます,,I read a book before going to sleep,,⚭ Vdict + mae ni ,,,,
ましょうか,,"Shall I, Shall we",,荷物を持ちましょうか,,Shall I carry your bag,,⚭ Vnoun + mashouka ,,,,
にいきます,,Go to do,,新宿ウニ映画を見に行きます,,I’ll go to Shinjuku to see a movie,,⚭ Vnoun + ni ikimasu ,,,,
すぎる,,Too much,,昨日ケーキを食べすぎました,,I ate too much cake yesterday,,⚭ Vnoun + sugiru ,,,,
たい,,I want to,,ラーメンが食べたいです,,I want to eat ramen,,⚭ Vnoun + tai ,,,,
てほしい,,I want you to,,ラーメンが食べて欲しいです,,I want you to eat ramen,,⚭ Vte + hoshii,,,,
てください,,Please do,,ゆっくり話してください,,Please speak slowly,,⚭ Vte + kudasai,,,,
てもらえませんか,,Could I have you,,ひらがなで書いてもらえませんか,,Could I have you write it in hiragana,,⚭ Vte + moraemasen ka,,,,
て.. て,,do and do,,渋谷に行ってご飯を食べる,,I’ll go to Shibuya and eat some food,,⚭ Vte + .. verb,,,,
てもいい,,May I,,今日早く帰ってもいいですか,,May I leave early today,,⚭ Vte + mo ii ,,,,
てもいいですか,,Is it ok to,,充電器を借りってもいいですか,,May I borrow a charger,,⚭ Vte + mo ii desu ka ,,,,
ている,,Continuous action,,今日本語を勉強している,,I’m studying Japanese now,,⚭ Vte + iru ,,,,
ている,,Continuous state,,埼玉に住んでいる,,I’m living in Saitama,,⚭ Vte + iru ,,,,
ていた,,I was -ing,,昨日の夜８時ごろお風呂に入っていた,,I was taking a bath about 8pm last night,,⚭ Vte + ita,,,,
ていた,,I used to ,,10年前パリに住んでいた,,I used to live in Paris ten years ago,,⚭ Vte + ita,,,,
ていません,,I haven’t yet,,まだ昼ごはんを食べていません,,I haven’t eaten lunch yet,,⚭ mada ~ Vte + imasen ,,,,
たことがあります,,"I have been to, have done",,富士山位登ったことがあります,,I have climbed Mount Fuji,,⚭ Vta + koto ga arimasu ,,,,
たおほうがいい,,Its better to,,駅まではバス行ったほうがいいですよ,,It’s better to go by bus to the station,,⚭ Vta + hou ga ii desu ,,,,
たりします,,"I do things like -ing, -ing",,映画を見たり、買い物をしたりします,,I do things like watching movies and going shopping,,⚭ Vtari + .. Vtari shimasu ,,,,
たら,,If I Verb,,お金があったら、世界中旅行します,,"If I had the money, I would travel around the world",,⚭ Vtara ,,,,
たら,,When you Verb,,駅に着いたら、電話して下さい,,"When you arrive at the station, please give me a call",,⚭ Vtara ,,,,
ないでください,,Please do not,,時間に遅れないでください,,Please don’t be late,,⚭ Vnai + de kudasai ,,,,
なきゃいけません,,I should / must / have to,,今日は早めに帰らなきゃいけません,,I have to leave earlier today,,⚭ Vnakya + ikemasen,,,,
ないほうがいい,,Better not to,,無理しないほうがいいです,,It’s better not to work too hard,,⚭ Vnai + hou ga ii desu ,,,,
なくてもいい,,You don’t have to,,日本語で書きなくてもいいです,,You don’t have to write in Japanese,,⚭ Vnakute + mo ii desu,,,,
なくてもいい,,It’ok not to,,いいえ、予約しなくてもいいです,,"No, It’s ok to not to make a reservation",,⚭ Vnakute + mo ii desu,,,,
かもしれません,,It might…,,明日は雨が降るかもしれません,,I think Tanaka-san is in the office,,⚭ Vplain-nonpast + kamoshiremasen ,,,,
みたい,,Seems to be…,,この曲は人気があるみたいです,,It might rain tomorrow,,⚭ Vplain-nonpast + mitai desu ,,,,
とおもう,,I think…,,部長はもう帰ったと思います,,This song seems to be popular,,⚭ Vplain-past + to omou/omoimasu ,,,,
かもしれません,,Might have been…,,セールは昨日までだったかもしれません,,I think the manager already went home,,⚭ Vplain-past + kamoshiremasen ,,,,
