W1,T1,W2,T2,W3,T3
来る,coming,西洋,western,魚釣り,fishing
借りる,to borrow,観光案内所,the tourist info office,バス停,bus stop
洋風,western style,宝石,"gem, jewel",読み書き,reading and writing
前,before,多様性,diversity,学長,dean
仲間たちとともに,with friends,駐車場,a car park,陸上,land
身振り,gestures,シティーセンター,the city centre,国境,a border
七,7th,囲む,surround,例える,compare
優秀,excellent,テナント,a tenant,教会,a church
合併,a merger,複数,several,亡命,seeking asylum
六つ,six,ハウジング,housing,考えればいい,just think about it
接待,entertainment,努める,strive,蚊よけ,a mosquito repellent
豆乳,soy milk,互換,interchange,魚市場,fish market
公設,public (institution),些か,"a little, a bit",旅行する,to travel
道路建設,road construction,停車禁止,no stopping,自慢,boast
臆病,timidity,記念碑,a monument,目的地,a destination
進入禁止,do not enter,出力,output,首都,a capital
身なり,personal appearance,住民,the citizens,注意力,attentiveness
無料プレゼント,a free gift,疲れ,tiredness,大切,important
広告,an advertisement,出荷,shipping,バス停,a bus station
方,way,役目,"duty, role",窓口,ticket window
設える,to provide,鉄片,iron scraps,豆,beans
大概,mostly,世界,world,言い付ける,to tell (to do)
何,what,お互い,each other,連れていく,to take with you
続けたあげく,after a long time,反論,refutation,気付く,to notice
遅らせる,delay,乾燥機,drying machine,くっ付く,to adhere to
営業会議,a sales conference,汚染,pollution,絞る,squeeze
行事,events,集める,gather,停止,stoppage
追及,"investigation, questioning",天井,ceiling,添付,"attaching, appending"
産婦人科,obstetrics and gynecology,保健,health,歌声,singing voice
文句を言うために,to complain,超高層ビル,a skyscraper,天然,natural
乳製品,dairy products,劇場,a theatre,牛,cow
接待費,entertainment expenses,石造,stone-built,詰まる,to be packed (with)
溶接,welding,世話役,mediator,辞書,dictionary
底,bottom,役立つ,to be useful,停学,suspension from school
貧乏人,the poor,余計,extra,零,zero
学問,study,錻力,tin plate,姉さん,sister
改まる,to get better,大戦,the great war,通貨,a currency
木綿,cotton,お祖父さん,grandfather,出身,person's origin
建設者,architect,遠足と言うと,when you say field trip,歩道,a pedestrian road
募集する,to recruit,話,story,熱帯魚,tropical fish
方面,direction,配達用バン,the delivery van,悪質,malignant
合理的,reasonable,変化,the change,別れ,farewell
成年,adult,警察署,a police station,思い付く,to think of
市場調査,a market survey,亜硝酸塩,nitrite,停戦,ceasefire
伸ばす,extend,付近,vicinity,目付き,look (in someone's eyes)
節約,economising,乾季,dry season,心配のあまり,so worried
確立する,to establish,日焼け止め,suncream,充電する,to charge
可及的,"as possible, accessible",再開,reopen,気をつける,to be careful
シャンプー,shampoo,トランザクション,a transaction,見る,"to see, look, watch"
フェイシャルケア,facial care,ローンを付与する,to grant a loan,目を細める,to squint
バスマット,the bath mat,買う,to buy,見つめる,to stare at
顔色,the complexion,購入する,to purchase,よく勉強する,to study closely
マニキュア,nail polish,両替する,to change money,テレビを見ること,to watch tv
トイレ用品,toilet accessories,ローンを申し込む,to apply for a loan,ウィンクする,to wink
アカウント,an account,安全を求める,to ask for security,可聴,audible
高価な,expensive,使う,to spend,耳が聞こえない,deafening
貯蓄,savings,預金する,to deposit,聴覚,hearing
現金,cash,入金する,to deposit,急性聴覚,acute hearing
銀行,a bank,銀行口座,a bank account,騒々しい,buzzing
証券取引所,stock exchange,保存する,to save,煩い,"loud, noisy"
変化,the change,借りる,to borrow,パチパチ,crackling
お金,money,赤字になる,to be in the red,低い,low
資金洗浄,money laundering,節約する,to be thrifty,低音,low-pitched
クレジット,a credit,充電する,to charge,きしむ,creaking
デビット,debit,誰かに信用を与える,to give somebody credit,補聴器,the hearing aid
賃金,wages,破産する,to go bankrupt,エコー,the echo
バランス,a balance,小切手を書く,to write a check,爆発,the explosion
為替レート,an exchange rate,変化を保つために,to keep the change,インターホン,the intercom
割引率,a discount rate,注ぎ込む,to invest,歌,the song
レート,a rate,推測する,to speculate,ラジオ,the radio
給与,a salary,ギャンブルする,to gamble,声,the voice
手数料,fees,小切手を発行する,to issue a cheque,雑音,the noise
金融市場,financial markets,小切手を作成する,to make out a cheque,ヘッドフォン,the headphones
金銭的な,monetary,で口座を開く,to open an account with,ヘッドセット,the headset
銀行家,a banker,現金を支払う,to pay cash,スピーカー,the loudspeaker
紙幣,a bank note,払い戻しへ,to refund,防音壁,the sound barrier
給与明細,a pay slip,撤退する,to withdraw,ささやき,the whisper
外貨両替所,a foreign exchange office,小切手を換金する,to cash a cheque,沈黙,the silence
小切手帳,a cheque book,監査する,to audit,音,the sound
チェック,a cheque,色覚異常,colorblind,雷,the thunder
ブランクチェック,a blank cheque,乱視,astigmatism,耳栓,the earplugs
ゴムチェック,a rubber cheque,明るい,bright,イヤホン,the earphones
安全な,a safe,色付きの連絡先,colored contacts,みみ,the ears
オーバードロー口座,an overdrawn account,眩しい,dazzling,聴覚障害者,hearing-impaired
銀行口座,a bank account,目の検査,the eye exam,サイレント,silent
普通預金口座,a savings account,闇,the dark,リンギング,ringing
現在のアカウント,a current account,角膜,the cornea,聴覚障害者,deaf
当座預金,a checking account,目の色,the eye’s color,ハミングする,to hum
当座貸越,an overdraft,虫眼鏡,the magnifying glass,雷鳴する,to thunder
定期預金,a term deposit,光,the light,ざわめく,to rustle
銀行のマネージャー,a bank manager,盲人,the blind person,歌うために,to sing
現金自動預け払い機,an atm,瞳孔,the pupil,囁く,to whisper
銀行員,bank clerk,網膜,the retina,きしむ,to creak
関心,an interest,ビジョン,the vision,を聞くこと,to listen to
金の延べ棒,a gold bar,ナイトビジョン,the night vision,聞く,to hear
家賃,a rent,光景,the sight,静かにする,to be silent/quiet
支払手段,a mean of payment,景色,"the view, the scene",バズする,to buzz
安全なクレジット,a secured credit,点字,the braille,いびきをかく,to snore
不動産ローン,A real estate loan,盲導犬,the guide dog,耳を刺す,to prick up one’s ears
ローン,a loan,顕微鏡,the microscope,口笛を吹く,to whistle
レシート,a receipt,外観,the look,鳴らす,to ring
銀行取引明細書,a bank statement,望遠鏡,the telescope,親愛なる,to deafen
計算書,a statement of account,双眼鏡,the binoculars,ホット,hot
金利,an interest rate,コンタクトレンズ,the contact lenses,柔らかい,soft
銀行振込,a bank transfer,コンタクト,the contacts,硬い,hard
小売銀行,a retail bank,眼鏡,the glasses,ふわふわ,fluffy
プライベートバンク,a private bank,サングラス,the sunglasses,麻痺,"numb, paralysis"
貯蓄銀行,a saving bank,輝度,brightness,皮膚,the skin
銀行のレジ係,a bank cashier,近視,nearsighted,握手,the handshake
銀行カード,a bank card,黒と白,black and white,指先,the fingertips
クレジットカード,a credit card,現れる,to appear,ストローク,the stroke
借金,a debt,盲目にする,to blind,風邪,the cold
外貨,a foreign currency,瞬く,to blink,スムーズ,smooth
外国為替,a foreign exchange,眩惑する,to dazzle,粗い,rough
ハード通貨,a hard currency,消えるために,to disappear,シルキー,silky
通貨,a currency,調べる,to examine,ノックする,to knock
子会社,a subsidiary,点灯する,to light up,ヒットする,to hit
住宅ローン,a mortgage,観測する,to observe,擦る,to rub
コイン,a coin,再現する,to reappear,引っ掻く,to scratch
唾液,the saliva,飲み込む,to swallow,塩に,to salt
味,the taste,噛む,"to chew, to bite",味わう,to savour
味覚の芽,the taste buds,飲む,to drink,ちびちび飲む,to sip
嫌な,disgusting,食べる,to eat,甘くする,to sweeten
塩辛い,salty,舐める,to lick,味わう,to taste
鼻孔,the nostrils,香りがする,to be fragrant,嫌な匂いがする,to smell bad
香り,scented,香水に,to perfume,いい匂いがする,to smell nice
臭い,stinking,匂いがする,to smell,嗅ぐ,to sniff
スピンする,to spin,野菜を炒める,to stir-fry vegetables,置く,to put
乾かす,to dry up,ものに,to stuff,捨てる,to discard
液体を拭き取る,"to mop up, to wipe (off)",小麦粉に,to flour,食卓を演出する,to lay the table
拭く,to wipe,分割します,to split,煮立つ,to simmer
広がる,to spread,縛る,to tie up,熱を上げる,to turn up the heat
拡大するために,to expand,溶融する,to melt,挽く,to grind
蒸す,to steam,鞭打ちます,to whip,コートする,to coat
すくう,to scoop out,こする,to rub,そうじする,to clean up
形状へ,to shape,付け合わせに,to garnish,結ぶ,to tie
ブランチする,to blanch,凍らせる,to frost,削除する,to remove
玉ねぎに,to brown onions,味わう,to taste,開く,to open
バーベキューに,to barbecue,グリルする,to grill,香水に,to perfume
焼く,to bake,刻む、刻む,"to chop, to mince",共有する,to share
卵をゆでる,to boil eggs,油に,to oil,合格する,to pass
フランベへ,to flambé,組み込む,to incorporate,計量する,to weigh
煮る,to bring to a simmer,注入する,to infuse,こねる,to knead
乾杯する,to toast,投げる、,to throw,つまむ,to pinch
魚を焼く,to grill fish,捨てる,to throw away,刺すための,to sting
料理をします,to do the dishes,洗う,to wash,場所へ,to place
煮込む,to stew,滑らかにします,to smooth,プランジへ,to plunge
茶色に炒める,to brown fry,浸軟する,to macerate,卵を密猟する,to poach eggs
軽く炒める,to fry lightly,こねる,to knead,魚を密猟する,to poach fish
揚げる,to deep-fry,混ぜる,to mix,コショウする,to pepper
焼く,to roast,混ぜる,to mix,ポーズする,to pose
肉を焼く,to roast meat,かき混ぜる,"to stir, scramble",粉にする,to powder
復元する,to restore,振りかける,to sprinkle,あたためる,to warm
削除する,to remove,乾燥する,to dry,曲がる,to turn
反転する,to flip,分離するために,to separate,漬ける,"to dip, to soak"
戻る,to return,締めます,to tighten,選別する,to sort
すすぎます,to rinse,奉仕する,to serve,注ぐ,to pour
焙煎する,to roast,外出,to get out,空にする,to empty
転がす,to roll,剪定する,to prune,望む,to desire
グラブへ,to grab,篩ににかける,to sieve,希望,"hope, wish"
焼く,to sear,布張りする,to upholster,失望,disappointment
塩に,to salt,保温します,to keep warm,要望,"demand for, request"
のんびり,"quietly, leisurely",待つ,to wait,見る,to watch
なかなか,quite,起きる,to wake up,ささやく,to whisper
だいぶ,quite/mostly,洗う,to wash up,口笛を吹く,to whistle
無作為に,randomly,着る,to wear,まばたきをする,to wink/
まれに,rarely,勝つ,to win,働く,to work
むしろ,rather,加速する,to accelerate,勤める,to work for
本当に,really,同行する,to accompany,書く,to write
実に,really,拍手する,to applaud,あくびをする,to yawn
そこそこ,reasonably,近づく,to approach,フロント,the front
定期的に,"regularly, periodically",到着する,to arrive,戻る,the back
めったに,"seldom, rarely",後ろへ,to back,内,"in, inside, within"
別々に,separately,噛む,to bite,後ろに,"in back of, behind"
ほんきで,seriously,まばたきする,to blink,の前に,in front of
もくもくと,silently,吹く,to blow,の間に,between
単に,simply,壊れる,to break,下,under
ゆっくり,slowly,呼吸する,to breathe,上に,"on, onto"
まあまあ,so so,連れてくる,to bring a person,に向かって,toward
時々,sometimes,持ってくる,to bring an item,近くに,nearby
どこかに,somewhere,回収する,to bring back,隣に,next to
まもなく,"soon, shortly",報告する,to report,横に,beside
もうすぐ,soon,建設する,to build,右の方へ,to the right
奇妙なことに,strangely enough,捕らえる,to catch,左に,to the left
厳密に,strictly,噛む,to chew,外側,outside
強く,strongly,選ぶ,to choose,内部,inside
愚かに,stupidly,上る,"to climb, to ascend",の隅に,in the corner of
突然,suddenly,閉める,to close,周りに,around
意外と,surprisingly,来る,to come,下に,"below, at the bottom of"
そのとき,then,継続する,to continue,外側,outside
その後,"then, later",料理する,to cook,正面,in front of
そこ,there,料理する,to cook,向かい,"facing, across"
今日,today,数える,to count,上に,"above, at the top of"
一緒に,together,這う,to crawl,の外,outside of
明日,tomorrow,交差する,to cross,遥か,"far away, afar"
今夜,tonight,泣く,to cry,近く,near
残念ながら,"unfortunately, sadly",踊る,to dance,近い,close
普通,"usually, normally",飛び込む,to dive,に対して,against
普段,"usually, normally",身をかわす,to dodge,反対,opposite
一所懸命,very hard,夢見る,to dream,の隣に,next to
週一度,weekly,飲む,to drink,まで,"upto, as far as"
上手,well,運転する,to drive,限り,"until, to the limits"
受け入れる,to accept,食べる,to eat,途中で,in the middle
追加する,to add,食べる,to eat,どこかに,somewhere
許す,to allow,入る,to enter,超えて,beyond
答える,to answer,逃げる,to escape,リモート,remote
着く,to arrive,広がる,"to expand, spread out",遠く,"faraway, far-off"
尋ねる,to ask,落ちる,to fall,距離,the distance
出来る,to be able to do,落ちる,to fall,たしょ,elsewhere
早くなる,to be early,感じる,to feel,ここに,here
お腹がすく,to be hungry,浮く,to float,あそこ,over there
遅くなる,to be late,飛ぶ,to fly,場所,the location
いる,"to be, there is",折る,to fold,距離,the distance
ある,"to be, to exist",従う,to follow,まっすぐ,straight
なる,to become,後に続く,to follow,どこでも,anywhere
始める,"to begin, to start",下がる,to get off,垂直,the vertical
信じる,to believe,起き上がる,to get up,水平,the horizontal
借りる,to borrow,あげる,to give,垂直に,vertically
壊す,to break,行く,to go,横に,horizontally
買う,to buy,家に帰る,to go home,上階,upstairs
電話する,to call (phone),出かける,to go out,階下,downstairs
呼ぶ,"to call, to invite",寝る,to go to bed,離れて,apart
持つ,to carry,成長する,to grow,さておき,aside
変える,to change,屯する,to hang out,どちら側にも,on either side
掃除する,to clean,抱擁する,to hug,両側に,on both sides
来る,to come,増加する,to increase,フォワード,forward
戻ってくる,to come back,飛び上がる,to jump,上下,up and down
続ける,to continue,蹴る,to kick,優れました,Superior
決める,to decide,キスをする,to kiss,より低い,lower
降りる,to descend,跪く,to kneel,レベル,the level
せんたくする　洗濯する,to do laundry,叩く,to knock,に沿って,along
落とす,to drop,笑う,to laugh,あちこち,here and there
終わる,to end,発射する,to launch,どこにも,nowhere
運動する,to exercise,去る,to leave,屋内,indoor
存在する,to exist,出発する,to leave,使って,through
説明する,to explain,なめる,to lick,並んで,side by side
喧嘩する,"to fight, to quarrel",横になる,to lie down,どこ,where
見つける,to find,持ち上げる,to lift,の終わりに,at the end of
盗む,to fly,聞く,to listen,の中で,among
忘れる,to forget,聞く,"to listen, to ask",オーガニック,ganic
太る,to gain weight,痩せる,to lose weight,芽キャベツ,brussels sprouts
疲れる,to get tired,移動する,to move,生野菜,raw vegetables
持っている,to have,動く,to move,ほうれん草,spinach
持つ,"to have, to hold",前進する,to move forward,豆,beans
聞く,to hear,開ける,to open,緑の葉野菜,green leafy vegetables
手伝う,to help,駐車する,to park,季節の野菜,seasonal vegetables
急ぐ,to hurry,通り過ぎる,to pass,旬の野菜,in-season vegetables
紹介する,to introduce,拾う,to pick up,乾燥野菜,dried vegetables
保つ,to keep,注ぐ,to pour,冷凍野菜,frozen vegetables
知る,to know,押す,to push,緑色野菜,green vegetables
学ぶ,to learn,到達する,to reach,レンズ豆,lentils
貸す,to lend,参加する,to join,農薬,pesticides
生きる,to live,詠む,to compose,竹,bamboo
住む,"to live, to reside",読む,to read,ケール,kale
失う,to lose,修理する,to repair,大豆,soy
愛する,to love,繰り返す,to repeat,野菜を育てる,to grow vegetables
作る,to make,返す,to return,新鮮な,fresh
間違う,to make a mistake,返る,to return home,野菜,vegetables
電話をかける,to make a phone call,乗る,to ride,野菜をむく,to peel the vegetables
会う,to meet,走る,to run,エンドウ,peas
必要とする,to need,探索する,to search,エンドウ豆,grean peas
払う,to pay,探す,to search,菜園,vegetable garden
遣る,to perform,見る,to see,ブロッコリー,a broccoli
遊ぶ,to play,揺れ動く,to shake,セロリ,a celery
練習する,to practice,撃つ,to shoot,きのこ,a mushroom
準備する,to prepare,大声で叫ぶ,to shout,キャベツ,a cabbage
置く,to put,シャワーを浴びる,to take a shower,カリフラワー,a cauliflower
読む,to read,肩をすくめる,to shrug shoulders,きゅうり,a cucumber
貰う,to receive,歌う,to sing,エシャロット,a shallot
受け取る,to receive,座る,to sit down,もやし,a bean sprout
認める,to recognize,眠る,to sleep,カブ,a turnip
拒否する,to refuse,滑る,to slide,玉ねぎ,an onion
覚える,to remember,嗅ぐ,to sniff,ネギ,a spring onion
休む,"to rest, to be absent",広がる,to spread,チリ,a chili
返す,to return an item,しゃがむ,to squat,ネギ,a leek
走る,to run,飛ぶ,to fly,コショウ,a pepper
言う,to say,やめる,to stop,ピーマン,a green bell pepper
見る,"to see, to watch",飲み込む,to swallow,かぼちゃ,a pumpkin
売る,to sell,泳ぐ,to swim,大根,a radish
送る,to send,取る,to take,わさび,a horseradish
示す,to show,お風呂に入る,to take a bath,アスパラガス,an asparagus
跳躍,to skip,持ち去る,to carry away,なす,an eggplant
寝る,to sleep,持ち帰る,to take home,ビートルート,a beetroot
嗅ぐ,to smell,話す,to talk,ニンジン,a carrot
煙草を吸う,to smoke,教える,to teach,スカッシュ,a squash
話す,to speak,思う,to think,ズッキーニ,a zucchini
立つ,to stand,考える,to consider,レタス,a lettuce
滞在する,to stay,投げる,to throw,サツマイモ,a sweet potato
勉強する,to study,汗をかく,to sweat,ジャガイモ,a potato
成功する,to succeed,触れる,to touch,サラダ,a salad
消す,to switch off,回す,to turn,トマト,a tomato
味わう,to taste,向きを変える,to turn around,チェリートマト,a cherry tomato
投げる,to throw,消す,"to turn off, to erase",面する,to face on
触る,to touch,点ける,to turn on,水面,water's surface
試す,to try,訪問する,to visit,海面,(surface of) sea
分かる,to understand,歩く,to walk,赤面,blushing
使う,to use,立ち去る,to walk away,当面,"current, pressing"
洞察,"discernment, insight",さびた,rusty,生え抜き,native-born
診察室,examining room,壊れた,broken,切り抜き,clipping
検察官,public prosecutor,脱線する,to derail,選抜,selection
偵察,scouting,破壊する,to destroy,間抜け,stupid
社会的,social,荒廃させる,to devastate,引き抜く,to extract
個人的,personal,粉砕する,to crush,高度,altitude
基本的,fundamental,一掃する,to sweep away,海岸,the coast
政治的,political,噴火する,to erupt,熱帯雨林,the rainforest
精神的,mental,危機的状況になる,to be in critical condition,地理,geography
世界的,worldwide,嘘をつく,to lie fellow,ジャングル,the jungle
自発的,spontaneous,供給不足,to be ill-fed,海,the sea
効果的,affective,栄養不良,to be ill-nourished,自然,nature
保守的,conservative,行方不明になる,to be missing,平原,the plain
伝統的,traditional,避難する,to evacuate,公害,pollution
定期的,periodic,損傷する,to damage,渇水,drought
歴史的,historic,あふれさせる,to flood,谷,the valley
典型的,typical,飢え死に,to die of hunger,気候,the climate
国際的,international,救助する,to rescue,大陸,the continent
全面的,"total, complete",破壊する,to ravage,海岸線,the coastline
具体的,concrete,崩壊する,to collapse,風景,the landscape
理想的,ideal,衝突する,to crash into,山の頂上,the top of the mountain
一時的,temporary,安全に到達する,to reach safety,火山,the volcano
肉体的,physical,避難する,to take refuge,熱帯の,tropical
抽象的,abstract,吹く,to blow,列島,an archipelago
最終的,final,飢饉に苦しむ,to suffer from famine,石,a stone
対照的,contrastive,干ばつに耐える,to endure a drought,水路,a channel
致命的,fatal,水没する,to submerge,峡谷,a canyon
人間的,human,犠牲者を支援する,to assist the victims,コース,a course
根本的,fundamental,独身,single,川,a river
部分的,partial,刺身,sashimi,火口,a crater
物質的,material,出身,one's origin,三角州,a delta
感情的,emotional,自身,oneself,砂漠,a desert
ネイルする,to nail,身長,stature,崖,a cliff
ボルト止めする,to bolt,全身,whole (body),池,a pond
ろう付けする,to braze,身分,(social) standing,溝,a ditch
構築する,to build,中身,"contents, interior",間欠泉,a geyser
切る,to cut,心身,mind and body,氷河,a glacier
解体する,to dismantle,受身,"defensive, passive",地滑り,a landslide
ケーブルを剥がす,to strip a cable,身近,close to one,ゴルフ,a golf
修復するために,to mend,身振り,gesture,奈落,an abyss
緩める,to loosen,身なり,"dress, attire",氷山,an iceberg
ねじ込む,to screw down,身元,(one's) identity,湖,a lake
ねじを外す,to unscrew,長身,tall figure,ラグーン,a lagoon
修正する,to fix,一身,oneself,沼地,a swamp
スクラブする,to scrub,身動き,moving about,沼地,a swamp
ファイルへ,to file,身内,relatives,海,an ocean
測定する,to measure,出身者,alumnus,国立公園,a national park
塗る,to paint,身の回り,one's daily life,国,a country
ドリルする,to drill,身辺,one's person,盆,a tray
圧着する,to crimp,身代わり,substitution,絶壁,a precipice
トップレーン,to plane,変身,disguise,峡谷,a ravine
参加する,to join,前身,ancestor,岩,a rock
改修する,to renovate,身軽,agile,川,a stream
修理する,to repair,骨折,bone fracture​,地震,an earthquake
復元する,to restore,露骨,"open, unconcealed",堤防,an embankment
封印する,to seal,骨格,skeleton,雪崩,an avalanche
見た,to saw,軟骨,cartilage,珊瑚礁,a coral reef
締めます,to tighten,背骨,spine,地図,a map
壁紙へ,to wallpaper,骨抜き,deboning,自然災害,a natural disaster
ねじ込む,to screw,拳骨,knuckles,滝,a waterfall
木工,the woodwork,骨身,flesh and bones,丘,a hill
電気,the electricity,骨組み,skeletal frame,小川,a creek
石積み,the masonry,抜く,"to pull out, to omit",洪水,a flood
配管,the plumbing,抜ける,to come out,ダム,a dam
彫刻,sculpture,抜かす,"to omit, to leave out",砂丘,a dune
室内装飾品,the upholstery,抜き,"leaving out, omitting",火山噴火,a volcanic eruption
革細工,leatherwork,抜本的,drastic,崖,a cliff
洞窟,a cave,境界,a boundary,ひび,a crack
島,an island,のど,a throat,森,a forest
多数決,majority decision,探求,"search, quest",浮沈,rise and fall
決心,determination,求職,job hunting,沈滞,stagnation
決定,decision,請求書,bill,沈静,"stillness, tranquility"
決まり,"rule, settlement",求婚,marriage proposal,消沈,depression
可決,approval,請求権,claim rights,沈痛,sorrowful
決意,decision,求心力,centripetal force,沈降,sedimentation
決議,resolution,沢,"mountain stream, swamp",沈没船,sunken ship
対決,confrontation,沢山,a lot,没収,forfeiture
決算,settlement of accounts,光沢,brilliance,沈没,sinking
否決,rejection,贅沢,luxury,没落,"ruin, fall"
採決,vote,潤沢,abundant,日没,sunset
決行,carrying out,贅沢品,luxury item,没頭,immersing oneself
評決,"decision, verdict",米沢牛,yonezawa beef,水没,submerge
意思決定,decision-making,沼沢,"marsh, swamp",埋没,being buried
決まって,always,沼沢地,wetland,出没,appearing often
未解決,unsolved,沖,open sea,没する,"to sink, to go down"
決別,separation,沖縄,okinawa,日没後,after sunset
決め手,decider,沖合,off the coast,日没前,before sunset
準決勝,semifinal,沖縄県,okinawa prefecture,没後,after death
決着,conclusion,沖する,to rise up into the air,陥没,cave-in
秘訣,secret,沈む,"to sink, to submerge",戦没,killed in action
要求,"demand, firm request",沈黙,silence,没交渉,ack of relation
請求,"claim, demand",沈没,sinking,波,wave
求める,"to want, to request, to seek",沈める,"to sink, to submerge",津波,tsunami
求人,recruiting,沈着,"settling, composure",電波,"radio wave, signal"
追求,pursuit,沈澱,precipitation,脳波,brain waves
欲求,desire,沈下,sinking,波長,wavelength
活況,activity,限界状況,critical situation,泡,"bubble, foam"
状況報告,situation report,状況によって,depending on the situation,泡立つ,to bubble
進行状況,state of progress,大盛況,great success,泡立てる,"to beat, to whip"
況してや,much less,泥棒,thief,泡立ち,foaming
状況証拠,circumstantial evidence,泥酔,being dead drunk,発泡,foaming
市況,market conditions,泥水,muddy water,気泡,(air) bubble
実況,"actual state, real condition",泥々,"muddy, vicious",水泡,"foam, bubble"
現況,present condition,泥流,mud flow,浅い,"shallow, superficial"
近況,recent state,泊まる,to stay at (e.g. hotel),浅はか,"shallow, superficial"
作況,"crops, quality",宿泊,accommodation,遠浅,wide shallow beach
景況,"situation, business climate",泊める,to give shelter to,浅学,shallow knowledge
概況,general situation,泊まり,overnight stay;,生活,"life, living"
沼,"marsh, swamp",停泊,anchorage,活用,practical use
沼地,marshland,泊,counter for nightstay,活動,"activity, action"
泥沼,"marsh, swamp",一泊,overnight stay,活気,"energy, vigour"
湖沼,"lake, marsh",沸かす,"to boil, to heat",活躍,activity
沼田,marshy paddy,沸く,to grow hot,活力,vitality
泥,"mud, slush",沸騰,"boiling, seething",復活,revival
交通,"traffic, transportation",速報,news flash,攻撃,"attack, assault"
外交,diplomacy,速度,"speed, velocity",専攻,"major subject, special study"
交流,"exchange, interaction",急速,rapid,攻める,"to attack, to assault"
交渉,negotiations,高速,high-speed,攻勢,offensive (movement)
交換,"exchange, interchange",時速,speed (per hour),攻撃的,"offensive, aggressive"
交際,"company, association",加速,acceleration,侵攻,invasion
交代,"alternation, change",早速,at once,攻略,"capture, conquest"
混ぜる,"to mix, to stir",速達,express,攻め手,offense
混ざる,to be mixed,迅速,"quick, fast",攻守,offense and defense
混じる,to be blended with,高速道路,highway,進攻,"attack, drive"
交互,"alternate, alternating",速球,fastball,特攻隊,special attack unit
交わす,to exchange,風速,wind speed,攻防,offense and defense
社交,social life,超音速,supersonic speed,猛攻,fierce attack
交える,"to mix, to combine",音速,speed of sound,侵入,"invasion, incursion"
交付,"delivery, issuance",速やか,quick,侵略,invasion
交易,"trade, commerce",秒速,speed per second,侵す,"to invade, to raid"
交わる,"to cross, to intersect",高速度,high speed,侵食,encroachment
交通事故,traffic accident,減速,deceleration,侵害,infringement
外交官,diplomat,全速力,full speed,侵犯,"violation, invasion"
交通網,transport network,低速,low speed,侵略者,invader
交信,telecommunications,最速,fastest,侵入者,intruder
交友,"friend, companion",失速,stall (in flying),侵攻,invasion
交通費,traveling expenses,光速,speed of light​,始まる,"to begin, to start"
交戦,"hostilities, war",巡航速度,cruising speed,始める,"to begin, to start"
社交的,sociable,速攻,swift attack,始まり,"origin, beginning"
開始,"start, commencement",初心,original intention,阪神,osaka-kobe
原始,"origin, beginning",初雪,first snow,大阪,osaka
始終,from beginning to end,初診,initial medical examination,京阪,kyoto-osaka
始発,"first departure, first train",日本初,first (of its kind) in japan,大阪府,osaka prefecture
終始,beginning and end,初旬,first ten days,阻止,obstruction
始末,"management, dealing with",初演,first performance,阻む,"to prevent, to hinder"
初めに,first of all,初霜,first frost of the year,阻害,"obstruction, inhibition"
初めて,for the first time​,初戦,first match,無限,infinity
始業,start of work,初回,first time,権限,power
手始め,"outset, start",初夏,early summer,限る,"to restrict, to limit"
始動,starting (something),初出,first appearance,制限,restriction
最初,beginning,初挑戦,first challenge,限界,"limit, bound"
初級,beginner level,初春,early spring,期限,"term, period"
初,"first, new",初産,first childbirth,限度,"limit, bounds"
初版,first edition,消防署,fire station,限定,"limit, restriction"
初耳,heard for the first time,予防,prevention,賞味期限,best-before date
初詣,hatsumōde,消防,fire fighting,消費期限,expiration date
初心者,beginner,防ぐ,to defend against,無制限,unlimited
初期,early days,防止,prevention,最低限,minimum
当初,beginning,防衛,defense,際限,"limits, end"
初日,first day,防火,fire prevention,最小限,minimum
初代,first generation,国防,national defence,最大限,maximum
初対面,first meeting,予防接種,vaccination,見限る,to give up on
初陣,one's first campaign,防水,waterproofing,有効期限,term of validity
初舞台,debut,防犯,prevention of crime,提出期限,deadline
