W1,T1,W2,T2,W3,T3,W4,T4,W5,T5
牧畜,stock-farming,涼気,cool air,山猫,wild cat,姓名,full name,泥沼,"bog, marsh, swamp"
畜生,beast,涼雨,cool rain,野良猫,stray cat,素性,"birth, lineage",泥酔,dead drunk
畜産物,livestock product,枯れる,"withered, die, mature",飼い猫,pet cat,旧姓,maiden name,雲泥の差,wide difference
畜産業,stock raising,枯葉,dead leaf,洗濯,"laundry, washing",歯磨き,dental brushing,恥,"shame, embarrassment"
乾燥,dryness,枯れ木,dead tree,洗濯機,washing machine,磨き,"polish, improvement",恥かしい,"embarrassing, shy"
焦燥,"impatience, uneasiness",木枯らし,cold wintry wind,洗濯物,laundry,研磨,"grinding, polishing",恥じる,feel ashamed
乾燥機,drying machine,枯死,"dying, withering",濯ぐ,"to rinse, to wash out",磨く,"to polish, to shine, to refine",恥じらう,to feel shy
燥ぐ,to make merry,枯渇,"drying up, running out",洗濯屋,launderette,琢磨,"polish jewels, cultivation",恥辱,"disgrace, shame"
天日乾燥,sun drying,栄枯,ups and downs,洗濯代,laundry charges,水歯磨き,mouthwash,恥じらい,shyness
乾燥地,dry land,枯れ草,dead grass,洗濯籠,laundry basket,研磨氏,sandpaper,恥知らず,shameless
乾燥肉,dried meat,帽子,cap,皮膚,skin,靴磨き,shoeshine,恥さらし,"disgrace, shame"
乾燥洗濯,dry cleaning,赤帽,red cap,肌,skin,辛い,"spicy, hot, harsh",無恥,shameless
乾燥剤,drying agent,水泳帽,swimming cap,肌着,underwear,辛口,dry taste,国恥,national humilation
目標,"goal, target, objective",資源,resources,価値,"value, worth",手続き,procedure,そっくり,"all, entirely, exactly like"
緩い,"loose, lenient",テーマ,theme,苦労,"hardship, trouble",迎える,"to invite, welcome, meet",がっかり,feel disappointed
きつい,"tight, hard, tough",未来,(distant) future,緊張,"tension, nervousness",種,seed,うっかり,carelessly
リサイクル,recycling,うわさ,"rumour, hearsay",係員,staff,割合,"ratio, percentage",しっかり,"tightly, firmly"
サイズ,size,内緒,secret,健康,health,要求,"demand, request",渋滞,"congestion, stagnation"
建築,"construction, architecture",頭痛,headache,涼しい,"cool, refreshing",身長,"body length, stature",中止,"stoppage, discontinue"
代表的,"typical, representative",枯れる,"to wither, to die",案内,guide,郵便,mail service,停電,power outage
案,"idea, plan",翻訳,translation,気温,temperature,速達,express mail,集中,"concentrate, focusing"
新鮮,fresh,おこづかい,pocket money,親友,close friend,交通,transport,避難,evacuation
植える,"to plant, to raise, to implant",重ねる,to pile up,合計,total,鉄道,railroad,出席,attendance
インタビュー,interview,発表,"announcement, publication",解決,"solution, settlement",増加,increase,主張,business trip
零す,to spill,共通点,common point,財布,wallet,成長,growth,出産,giving birth
うっかり,"carelessly, absent-mindedly",なるべく,as much as possible,実験,experiment,準備,preparation,お願い,"request, wish"
最新,"the latest, the newest",演奏,musical performance,腹,"belly, abdomen",発表,announcement,お誘い,invite
情報,"information, news",うまい,good at,薬,"medicine, drug",費用,"cost, expenditure",お守り,"charm, amulet"
カーブ,cab,偶然,"unexpectedly, accidentally",公務員,public servent,最初,"first, outset",お祝い,"celebration, congratulatory gift"
断る,"to refuse, to turn down",冗談,joke,通訳,interpreter,戦争,war,送る,"to send, to dispatch"
満員,full house,我慢,"patience, endurance",強盗,robbery,港,"harbor, port",贈る,"to give as a gift, to present"
健康,"health, healthy",温める,"to warm up, to heat up",調べる,"investigate, examine",直る,"be fixed, be repaired",病気にかかる,"get sick, become ill"
さまざま,various,育てる,"to raise, to bring up",連絡,contact,全員,all members,叱る,to scold
期限,deadline,ノック,knock,飛行機,airplane,学部,department of a university,受かる,to pass (exam)
締め切り,deadline,マナー,manners,権利,"a right, a previlege",職員,staff member,清掃,cleaning
性格,"personality, character",自信がある,be confident,経験,experience,会費,membership fee,新築,"new house, new building"
編む,"to knit, to braid",応援,"aid, support, cheering",会議,"meeting, conference",おなえる,"to prepare for, to equip with",新鮮,fresh
片方,"one of a pair, other party",おしまい,the end,手術,surgery,終了,"end, close",高価,expensive
位置,"place, position, situation",抱負,"aspiration, ambition",情景,"spectacle, sight, scene",無責任,irresponsible,感動を与える,give an impression
関係,relationship,心地よい,comfortable. pleasant,平等,"equality, fair",新学期,new school term,ドラマの撮影,filming a drama
休日,"holiday, day off",ずっしり,"heavily, profound",見学,find trip,低カロリ,low calorie,腹を立てる,get angry
首都,capital,ブランク,"blank, gap",皮膚,skin,高カロリ,high calorie,最寄りの駅,the nearest station
応募,"application, subscription",弾む,"to spring, get lively",響く,"to resonate, to be heard far way",悪影響,"bad influence, negative effect",礼儀正しい,good manners
席,seat,肝心,"essential, important, vital",毛皮,fur,住宅街,residential area,柔軟に対応する,work flexibly
大会,"tournament, competition",釈明,"explanation, excuse",人質,hostage,未経験,inexperienced,ギリギリ間に合う,just in time
欠点,weak point,ヘトヘト,exhausted,圧勝,overwhelming victory,準優勝,"runner-up, 2nd place",実力を発揮する,show one’s abilities
現在,"now, current",スケール,scale,原稿,"draft, manuscript",都会育ち,city breed,こつこつ勉強する,study steadily
暖かい,warm,メデイア,media,印刷,"printing, print out",仮採用,provisional appointment,こつこつお金を貯める,save money steadily
観客,audience,剥がす,"to detach, strip, rip off",乱暴,"violent, reckless, assault",悪条件,bad condition,役割を果たす,fulfil one’s duty
逆,"reverse, opposite",募る,"raise (funds), recruit (workers)",反映,"reflection, influence",好条件,favorable condition,いいアイデアが浮かぶ,good ideas come into mind
最初,first time,粘れ強く,"tenacious, perseverant, persistent",予備,"reserve, spare",今シーズン,this season,テーマを絞る,narrow down the theme
家具,furniture,合意,"agreement, consent",診断,diagnosis,来シーズン,next season,輝かしい成績,brilliant results
浅い,shallow,連携,"cooperation, coordination",地震,earthquake,昨シーズン,last season,栄養のバランス,nutritional balance
豆,beans,綿密,"thorough, detailed",即座に,"immediately, right away",再放送,"rerun, re broadcast",完璧に理解する,understands perfectly
共通,common,塗れ,"covered with, stained",農産物,agricultural products,就職率,employment rate,無事に帰国する,return home safely
丸い,round,細心,"meticulous, careful, discrete",水産物,marine products,投票率,voter turnout,リーダーにふさわしい,suitable for a leader
個人,individual,根拠,"basis, foundation",怪しい,"suspicious, dubious, doubtful",成功率,success rate,人を外見で判断する,judge people by appearance
厚い,thick,伴奏,accompaniment,為替,"money order, exchange (foreign)",進学率,"advancement rate, enrollment rate",質素な生活,a frugal lifestyle
汗,sweat,叶う,"to come true, to be realized",縛る,"to tie, fasten, to bind",高収入,high paying,温度を調節する,adjust the temperature
島,island,安静,"rest, quite, repose",例外,exception,低収入,low paying,お金をおろす,withdraw cash
守る,"defend, protect",教訓,"lesson, teaching learned knowledge",交代,"alternation, taking turns",副社長,vice president,うっかり忘れる,slip my mind
値段,price,自尊心,"self-esteem, pride",倉庫,warehouse,前社長,former president,ページをめくる,turn a page
痛い,painful,なつく,"take kindly to, be tamed",彫刻,"sculpture, carving",原社長,current president,刺激を受ける,become stimulated
血液,blood,ノウハウ,know-how,解散,"breaking up, dissolve, disperse",無計画,unplanned,ルール違反,against the rules
血液型,blood type,安堵,"relief, reassurance",不明,"unknown, uncertain, unclear",スキー場,ski area,にっこり笑う,"grin, smile"
替える,"replace, exchange",怯える,"become frightened, be scared of",素人,"amateur, layman",集中力,ability to concentrate,歳を取る,get older
示す,"to show, demonstrate",多岐,"digressed, various, different",平凡,"mediocre, ordinary, common",勉強漬け,immerse in studying,経験豊富,well experienced
短い,short,心当たり,"having in mind, come to mind",基地,"base, hideout",未使用,unused,風邪をひく,catch a cold
成績,"grades, record",入手,"acquisition, obtain",役人,government official,学年別,each grade,仕事熱心,work enthusiastic
焼く,"bake, burn, roast",指図,"directions, instructions, orders",執筆,writing (profession),再開発,redevelopment,家でのんびり,relax at home
記録,record,真っ先に,at the very beginning,電力,electric power,電車賃,train fare,姿勢がいい,good posture
頭痛,headache,思い浮かぶ,"to come to mind, to occur to",怠る,be negligent in doing something,最有力候補,"prime candidate, top prospect",決意を固める,make a resolution
速い,fast,すべ,"way, method, means",続々,one after another,現実離れ,"unrealistic, disconnected from reality",ストレスを解消する,relieve stress
裏,"back, opposite side",互角,"well matched, on par, even",儀式,"ceremony, rite, ritual",会員制,"members only, membership system",天気が回復する,the weather improves
内側,inside,架空,"fictional, imaginary, aerial",国王,"throne, king",予約制,reservation required,噂が広まる,rumours go around
卒業,graduation,添付,"attach, append",工夫,"scheming, ingenious, well thought",ビジネスマン風,look like a businessman,さっさとしなさい,hurry up
相談,"consultation, discussion",おおらか,"broad-minded, composed",再開,"resume, reopen",ヨーロッパ風,european themed,簡潔に話す,speak briefly
固い,hard,スライス,a slice,昇進,"promotion, advancement",アメリカ流,american style,快く受ける,accept willingly
覚える,memorize,広大な,"vast, immense",代表,representative,高水準,high standard,山のふもと,the foot of a mountain
割れる,"break, crack",ひとまず,for the time being,優勝,overall victory,総売上,total sales,客を家に招く,invite guest to my house
相手,"partner, opponent",うんざり,"fed up with, tedious",成功,success,作品集,collection of works,安全保障,security
消す,erase,皮肉,"sarcasm, irony",政府,government,音楽全般,various genres of music,社会保障,social security
若い,young,解明,"unravelling, explaining",歴史,history,薄暗い,"dim, darkish, gloomy",ひきょうなやり方,dirty trick
留守,absence,じめじめ,"humid, wet",請求,"bill, invoice",諸問題い,"various problems, many problems",ファイルを添付する,attach a file
想像,imagination,従来,"conventional, traditional",普及,"spread, widely adopted",諸外国,various foreign countries,秘密を打ち明ける,reveal a secret
首,neck,重複,"overlap, repetitive, redundancy",節約,"economize, saving",現段階,"present stage, current phase",髪が伸びる,hair grows
感心,"to admire, to be impressed by",躍進,rapid progress,環境,"environment, circumstance",国際色,"international character, multi culture",売上が伸びる,sales increases
細かい,"detailed, small, fine",淡い,"pale color, light color",温泉,"onsen, hot spring",アルファベット順,alphabet order,スムーズに進む,go smoothly
マンネリ,"stereotyped, mannerism",抗生物質,antibiotics,尋ねる,"to ask, inquire, search",保湿,moisturising,秘訣,"secret (method, trick)"
回折,diffraction,竹,bamboo,雨雲,rain cloud,思いつき,"plan, idea, suggestion",時点,point in time
回折損,diffraction loss,爆竹,firecracker,青雲,blue sky,理想的,ideal,同点,same score
回折領域,diffraction region,竹の子,bamboo shoot,仮想,"imagination, virtual",思い出,memory,点滴,"raindrops, iv, drip-feed"
回折限界,diffraction limit,毛,"fur, hair, wool",愛想,amiability,片思い,unrequited love,力点,"emphasis, stress"
回転,"rotation, revolution",毛布,blanket,思想,"thought, idea",想像力,power of imagination,失点,lost point
回復,"restoration, rehabilitation",髪の毛,hair (head),理想,ideals,重点,important point,争点,point at issue
回る,"to turn, to go around",毛皮,"for, skin",予想,expectation,欠点,"fault, defect, weal point",点滅,"flickering, blinking"
一回,once,羊毛,wool,想像,imagination,点数,"marks, points, score",現時点,present point
今回,"now, this time",不毛,"infertile, unproductive",空想,daydream,弱点,"weak point, shortcomings",氷点下,below freezing point
回線,"circuit, line",毛糸,knitting wool,発送,"idea, conception",頂点,"top, summit",小数点,decimal point
前回,last time,羽毛,feathers,構想,"plan. plot, idea",満点,"perfect score, full marks",合点,"consent, agreement"
回り,rotation,動物園,zoo,回想,recollection,焦点,"focus, focal point",起点,starting point
回答,"reply, answer",公園,public park,感想,impression,地点,"site, spot, point in map",利点,poin tin favor
回路,circuit (electric),学園,educational institution,連想,association of ideas,交差点,intersection,零点,zero point
回数,number of times,園芸,gardening,夢想,"dream, vision",点検,"inspection, examination",点字,braile
身の回り,around someone,幼稚園,kindergarten,着想,"conception, idea",一点,"speck, dot, point",重点的,"prioritised, focused"
次回,next time,遊園地,amusement park,幻想,"fantasy, illusion",採点,"marking, grading, scoring",分岐点,"junction, crossroads"
回避,"evasion, avoidance",植物園,botanical garden,想定,hypothesis,終点,"last stop, terminus",汚点,"stain, flaw"
回り道,"detour, diversion",庭園,"garden, park",妄想,"wild idea, delusion",得点,"scoring, points made",句読点,function mark
回送,forwarding,花園,flower garden,随想,random thought,要点,"gist, main point",点在,being dotted with
毎回,"every time, each time",菜園,vegetable garden,感情,"emotion, feeling",原点,"origin, starting point",平均点,average mark
歩き回る,walk around,農園,plantation,感覚,"sense, sensation",視点,"opinion, visual point",無得点,scoreless
乗り回す,drive a (car) around,雲,cloud,感動,deeply moved,難点,"fault, weakness",最重点,very important point
走り回る,run around,雲行き,weather,感謝,"thanks, gratitude",接点,"tangent point, point of contact",加点,addition of points
初回,first time,雲の上,above the clouds,実感,real feeling,観点,point of view,点呼,roll-call
回覧,circulation,暗雲,dark clouds,感染,"infection, contagion",拠点,"position, location",美点,"virtue, charm, merit"
解説,explanation,開設,establishment,回折,diffraction,解説者,commentator,開設者,founder
着く,to arrive,付く,to be attached,就く,to take,点く,to be lit,突く,to prick
点ける,to turn on,就ける,to appoint,着る,to wear,到着,arrival,落ち着く,to calm down
定着,sticking,決着,conclusion,薄着,lightly dressed,着替える,changing clothes,付着,clinging to
直接,"direct, immediate",接する,to touch,接近,getting closer,接触,"touch, contact",非難,criticism
難民,refugee,苦難,suffering,難局,difficult situation,避難民,evacuees,難関,barrier
時刻表,timetable,表現,expression,発表,announcement,代表,representative,表面,surface
建設,construction,設定,establishment,設計,plan,設備,equipments,設立,establishment
非常,emergency,応急,first-aid,緊急,urgent,危機,crisis,期待,expectation
散歩,walk,拡散,scattering,解散,dispersing,散らす,to scatter,散る,"to fall, scatter"
捻る,"to screw, to twist, distort",戻る,"to turn back, return",あるいは,"or, maybe",ある意味,in a sense,揺る,to shake
味噌,miso (soybean),アリ,ant,リュックサック,backpack,空気入れ,bicycle pump (air pump),娘,daughter (own)
豆乳,soy milk,抗生物質,antibiotics,ベーコン,bacon,自転車屋,bicycle repairman,日,day
調味料,seasoning,不凍液,antifreeze,悪い,bad,ビキニ,bikini,まる一日,day (the whole)
発酵,fermentation,古代の,antique,ひどい,bad (terrible),勘定,bill,一昨日,day before yesterday
給料,salary,古美術,antiques,大変,"bad (terrible, tough)",玉突きをする,billiards,日帰り温泉,day-trip hot spring
有給休暇,paid vacation,骨董品,antiques,カバン,bag,誕生日,birthday,亡くなった,dead
残業手当,overtime pay,アパート,apartment,手荷物受取所,baggage claim,ビスケット,biscuit,デッドゾーン,dead zone
感覚,"sense, feeling",食前酒,aperitif,手荷物引換券,baggage claim check,かむ,bite,カフェインなし,decaffeinated
少し,a little,許し,apologies,パン屋,baker,苦い,bitter,カフェインフリー,decaffeinated
約,about,リンゴ,apple,バルコニー,balcony,黒い,black,十二月,december
だいたい,about,リンゴジュース,apple juice,ボール,ball,味のない,bland (taste),申告する,declare (customs)
上,above,アップルパイ,apple pie,球,ball,毛布,blanket,深い,deep
海外,abroad,アップルソース,apple sauce,バレー,ballet,キャベツ,cabbage,スキンダイビング,deep sea diving
豊富な,abundant,アプリ,"app, application",ボールペン,ballpoint pen,船室,cabin,冷凍庫,deep freeze
事故,accident,約束,appointment,バナナ,banana,ケーキ,cake,度,degrees
アダプター,adapter,アンズ,apricot,包帯,bandage,ケーキ屋,cake shop,停滞,"delay, stagnation"
住所,address,四月,april,バンソウコウ,bandaids,お菓子屋,cake shop,遅延,delay (latency)
入場,admission,建築,architecture,銀行,bank,呼び出し,call,おいしい,delicious
入場料,admission fee,環境,"area, environment",前髪,bangs,電話をする,call (phone),歯医者,dentist
忠告,advice,辺,"area, location",岸,bank (river),と言う,called (name),入れ歯,dentures
後で,after,市外局番,area code,バー,bar (cafe),と言います,called (name),デオドラント,deodorant
午後,afternoon,腕,arm,バーベキュー,barbecue,カメラ,camera,部,department
もう一度,again,約束する,"arrange, set it up",バスケットボール,basketball,手ぶれ補正機能,image stabilization,デパート,department store
に対して,against,着く,arrive,風呂,bath,キャンプする,camp (camping),出発,departure
年齢,age,矢印,arrow,バスタオル,bath towel,キャンプ場売店,camping shop,出発時間,departure time
エアコン,air conditioning,芸術,art,海水帽,bathing suit,キャンプ場,camp site,手付け金,deposit (earnest payment)
エアマットレス,air mattress,動脈,artery,風呂場,bathroom,カー,car,頭金,deposit (downpayment)
飛行機,airplane,物,"article (matter, thing)",バスルーム,bathroom,ファイヤー,fire,保管,deposit (for safekeeping)
空港,airport,人口呼吸,artificial respiration,バッテリー,battery,キャンプ案内,camping guide,預金,deposit (bank account)
空港内ホテル,airport hotel,灰皿,ashtray,電池,battery,使用許可書,permit to use,預金保険,deposit insurance
空港警備,airport security,尋ねる,ask,ビーチ,beach,取り消す,"cancel (withdraw, retract)",預金利率,deposit interest rate
空港セキュリティー,airport security,問う,ask,浜,beach,ローソク,candle,デザート,dessert
通路側の席,aisle seat,頼む,ask (for),豆,beans,お菓子,"candy (confections, sweets)",行き先,destination
警告,"alarm, advice",アスパラガス,asparagus,華美な,"beautiful, gorgeous",おやつ,candy (snacks),終点,"destination, terminal"
目覚まし時計,alarm clock,アスピリン,aspirin,すばらしい,"beautiful, wonderful",カヌー,canoe,現像する,develop (photo)
アルコール,alcohol,強姦,assault (sexual),美しい,beautiful,車,car,開発者,developer
ずっと,all the time,家に,at home,きれいな,"beautiful, pretty",自動車,car (automobile),糖尿病患者,diabetic
アレルギー,"allergy, allergic",夜,at night,美容院,beauty parlor,自動車用の甲板,car deck,ダイヤル,dial
一人で,alone,後に,at the back,ベッド,bed,車の証明書,car documents,ダイヤモンド,diamond
いつも,always,前に,at the front,寝台,"bed, sleeping accommodation",ベビーシート,car seat (child’s),おしめ,diaper
救急車,ambulance,遅くても,at the latest,ミツバチ,bee (honeybee),車の故障,car trouble,下痢,diarrhea
アメリカ,america,キャッシュカード,atm card,牛肉,beef,キャラバン,caravan,辞典,dictionary
総額,"amount (total, sum)",八月,august,ビール,beer,乳製品,dairy products,ディーゼル,diesel
遊園地,amusement park,自動的,automatic,始まる,begin,損害,"damage (injury, loss)",ダイエット,diet
局所麻酔,local anesthesia,秋,autumn,初心者,beginner,踊る,dance,困難,"difficulty, distress, trouble"
アンチョビー,anchovy,雪崩,avalanche,後,behind,ふけ,dandruff,耳,ear
おこった,angry,起きた,awake,ベルト,belt,危険,danger,耳鼻咽喉科,"ear, nose and throat specialist"
動物,animal,日よけ,"awning (sunshade, blind, canopy)",元気になる,better (to get),危険な,dangerous,耳痛,earache
くるぶし,ankle,赤ちゃん,baby,快復する,"better (to get), recover from illness",暗い,dark,イヤホン,earbud
答え,answer,ベビーシッター,baby sitter,重炭酸ソーダ,"bicarb, baking soda",デート,date,耳薬,eardrops
返事,answer,背中,back (body),自転車,bicycle,娘さん,daughter (other’s),早い,early
交わす,"exchange, intersect ",ゲーム,game,花粉,hay fever,ハイキング,hiking,案内所,information office
取り替える,"exchange, swap, replace",修理屋,"garage, repair workshop",頭,head,氷,ice cubes,注射,injection
換算する,"exchange, conversion",ごみ袋,garbage bag,頭痛,headache,スケートをする,ice skate,負傷した,injured
応酬する,"exchange, reciprocating",庭,garden,健康,health,アイスクリーム,ice cream,無罪な,innocent
切り替え,"exchange, conversion",ガソリン,gas,自然食品店,health food shop,考え,idea,こん虫,insect
遊覧,excursion (sightseeing),ガソリンスタンド,gas station,聞く,hear,身分証明書,identification (card),虫さされ,insect bite
展覧会,exhibition,ギア,gear,補聴器,hearing aid,身分を証明する,identify,虫除けクリーム,insect repellent
出口,exit,オタク,geek,心臓,heart,始動キー,ignition key,中に,inside
費用,expenses (cost),ハッカー,hacker,心臓病患者,heart patient,病気,ill,内に,inside
経費,expenses (cost),髪,hair,熱さ,heat,病気,illness,靴の内底,insole
高い,expensive,ヘアブラシ,hairbrush,ヒーター,heater,想像する,imagine,使用法,instructions
説明する,explain,床屋,hairdresser,重い,heavy,すぐに,immediately,保険,insurance
急行電車,express train,美容院,hairdresser,かかと,heel,輸入税,import duty,休憩,intermission
内線番号,extension number,ヘアピン,hairpins,こんにちは,hello,無理な,impossible,国際の,international
外,external (exterior),ヘアスプレー,hairspray,ヘルメット,helmet,不可能な,impossible,インターネット,Internet
目,eye,半分,half,助け,help,の中に,in,ラウンジ,lounge
目薬,eye drops,かなずち,hammer,助ける,help,夕方, in the evening,通訳者,interpreter
アイシャドー,eye shadow,手,hand,手伝う,help,午前,in the morning,交差点,intersection
眼科医,eye specialist,ハンドブレーキ,hand brake,一人前,helping (of food),を含めて,included,紹介する,introduce (oneself)
目医者,eye specialist,ハンドバッグ,handbag,ハーブティー,herbal tea,含めた,included,招待する,invite
アイライナー,eyeliner,ハンカチ,handkerchief,調味料,herbs (seasonings),示す,indicate,アイロン,iron (clothes)
顔,face,手作り,handmade,ここ,here,方向指示器,indicator,鉄,iron (metal)
顔認識カメラ,face-recognition camera,嬉しい,happy,ニシン,herring,安い,inexpensive,アイロンをかける,iron (verb)
工場,factory,港,harbor,高い,high,伝染,infection,アイロン台,ironing board
転ぶ,"fall over, fall down, turn out",堅い,hard,高画質型デジカメ,high-definition digital camera,炎症,inflammation,島,island
家族,family,ハッシュマーク,hash mark,満潮,high tide,情報,information,かゆい,itch
有名な,famous,ハッシュタグ,hash tag,子供用椅子,highchair,案内,information (guide),ジャッキ,jack
画廊,"gallery (art, picture)",帽子,hat,高速道路,highway,資料,information (material),ジャケット,jacket
ボトルを打つ,hit the bottle,吸収する,absorb,大空を飛行する,flying in the sky,雪道で滑って転ぶ,slipping and falling on a snowy road,体が弱くて困る,feeling weak and in trouble
くぎを打つ,hitting the nail,深呼吸する,take a deep breath,水中に飛び込む,jumping into the water,回転する,spinning,お金に困る,having trouble with money
打者,batter,吸い込む,inhale,この町を去る,leave this town,転勤する,transferring to a new job,困難をのり越える,overcome difficulties
屋根を打つ雨の音,sound of rain hitting the roof,口笛を吹く,whistling,危険が去る,danger leaving,運転する,drive,貧困家庭,poor family
打ち合わせる,meeting,強い風が吹く,a strong wind blows,去年,last year,転校生,transfer student,困惑,confused
石を投げる,throwing stones,吹奏楽,wind (instrument) music,過去の出来事,past events,自転車,bicycle,試合に勝って喜ぶ,happy to win a game
さじを投げる,throwing a spoon,吹雪,blizzard,逃げ去る,running away,転々する,move from place to place,喜びを感じる,feel joy
投手,pitcher,吹き付ける,blow against,犯人を逃がす,letting the criminal go,移転する,move,喜劇,comedy
株に投資する,invest in stocks,叫ぶ,shout,難を逃れる,escape from danger,転落する,falling,喜ばしい出来事,a joyful event
新聞に投書する,write a letter to a newspaper,叫び声,scream,車で逃走する,escaping in a car,逆転する,turn around,歓喜して,rejoice
録音ボタンを押す,press the record button,絶叫する,screaming,逃亡を図る,attempting to flee,転換する,turn,悲しい知らせ,sad news
判を押す,stamp a seal,泣き叫ぶ,crying and screaming,見逃す,to miss,木が倒れる,fall down a tree,父の死を悲しむ,saddened by the death of his father
押し入れ,closet,叫び,screaming,目が回る,to be dizzy,敵を倒す,defeat the enemy,悲劇,tragedy
扉を押さえる,hold a door,7時に起きる,i wake up at seven.,こまを回す,spin a wheel,転倒する,fall down,悲鳴をあげる,scream
押印,affix a seal,戦争が起こる,war is coming,回り道,make a detour,会社が倒産する,the company will go bankrupt,悲惨な結末,tragic end
辞書を引く,look up a word in a dictionary,起床する,rise and shine.,回答する,answer a question,倒立する,topple over,病気に悩む,distressed by illness
文を引用する,cite a sentence,全員起立,all rise,回数券,coupon,舞台に出る,go on stage,悩みがある,have a problem
引き算,subtraction,起工式,groundbreaking ceremony,次回,next time,病院に見舞いに行く,visit a patient in hospital,悩ましい女性,a distressed woman
地球の引力,earth's gravitational pull,ベッドに寝る,lying in bed,刀で刺す,stab with a knife,仕舞う,finish up,煩悩が生じる,affliction arises
引退する,retire,昼寝をする,take a nap,ナイフが刺さる,knife stab,仕舞う,shut it down,辛いカレー,spicy curry
海岸で貝を拾う,picking up shells on the beach,子どもを寝かす,putting the children to bed,刺身,stab,歌舞伎,kabuki,香辛料を入れる,to add spices
タクシーを拾う,picking up a cab,寝室,bedrooms,名刺,business card,ダンスを踊る,dancing,辛口,to have a spicy taste
拾得物の係,picking up an item,寝台車,sleeping car,刺激が強い,irritating,盆踊り,bon dance,辛抱する,to have patience
拾万円,"picking up 10,000 yen",赤ん坊が泣く,baby crying,針で突く,poke with a needle,階段の踊り場,stairway dance,つらい修行,painful training
拾い出す,picking up something,泣き声,crying,つえを突いて歩く,walking with a stick,日本舞踊,japanese dance,甘いお菓子,sweet treats
ごみを捨てる,throw away trash,悔し泣き,crying in frustration,車に衝突する,crashing into a car,踊り子,dancer,親に甘える,spoil the parents
投げ捨てる,throw away,妹は泣き虫だ,my sister is a crybaby,突然の出来事,sudden event,痛みを感じる,feeling the pain,子供を甘やかす,spoil a child
四捨五入する,rounding off,号泣する,cry aloud,封鎖を突破する,breaking through a blockade,感心な子供,an impressed child,甘口,sweet talk
吐き捨てる,spit it out,笑い話,laughing,グラスを取る,take a glass,映画に感動する,moved by a movie,甘味料,sweeteners
使い捨てる,use and throw away,笑い声,laughing,書類を受け取る,receiving documents,感謝する,gratitude,髪がほおに触れる,hair touching your cheek
ナプキンを折る,fold a napkin,笑顔がかわいい,have a cute smile on my face,ビザを取得する,getting a visa,感情を表現する,expressing emotions,感触がいい,good touch
折り紙,origami,顔に笑みが浮かぶ,a smile appears on her face,取材する,interviewing,人の情けを知る,knowing the compassion of others,接触する,make contact
木の枝が折れる,break a tree branch,微笑を浮かべる,a smile on the face,有利な取引,make a lucrative deal,感情を表す,expressing feelings,抵触する,conflict
角を右折する,turn the corner to the right,ころぼうを追う,follow the rolls,草が伸びる,make the grass grow,情報を集まる,gathering information,触発する,touching
折り合い,fold together,料理を追加する,add some food,学力を伸ばす,improve your academic performance,同情する,feel sympathy,触媒,catalyst
くぎを抜く,pull out a nail,追放する,banishing,背伸びをする,grow taller,真剣な表情,serious expression,柔らかな布団,soft bedding
腰を抜かす,break the back,追いつく,catching up,伸縮する,stretch,そよ風が快い,a gentle breeze is pleasant,体が柔らかい,soft body
手抜かりはない,do a good job,追い越す,overtake,伸び率,growth rate,愉快な友達,pleasant friends,柔道,judo
抜群の成績,outstanding performance,山を越える,over the mountain,欠伸,lack of stretch,快晴,fine weather,柔和な性格の人,mild-mannered
抜け出す,get out of bed,年越しそば,new year's eve soba,病気に急ぐ,hurry to sickness,快適な温度,comfortable temperature,柔軟な考え方,flexible thinking
布団を掛ける,to hang up a futon,追い越す,overtake,急いで家へ行く,rushing home,快調,"going well, good condition",硬い石,hard stone
掛け算,multiply,優越感を待つ,wait for superiority,急な用事,urgent business,生活が苦しい,life is hard,硬い土,hard soil
絵が掛かっている,a picture is hanging on the wall,引っ越してくる,moving in,急病,sudden illness,苦い薬,bitter medicine,顔の表情が硬い,hard facial expression
手掛かりがない,no clue,引っ越していく,moving out,急行,express,苦手,bitter,100円硬貨,100 yen coin
切っ掛け,a clue,世俗を超越する,transcending the mundane,特急,express,苦労する,struggling,強硬な意見,hard opinions
名前を呼ぶ,call someone's name,富士山に登る,climbing mt.,椅子に座る,sit on a chair,苦情受け付け係,complaint taker,硬直した価値観,rigid values
呼び出す,call out,山登り,mountain climbing,座布団に座る,sitting on a cushion,苦心,struggling,息が荒い,rough breathing
呼吸をする,breathe,映画の登場人物,characters in a movie,座席,sitting in a seat,歯が痛む,toothache,海が荒れる,the sea is rough
点呼する,roll call,登山道,mountain trail,正座する,sitting upright,胸を痛める,chest pain,荒れ地,wasteland
呼気,exhalation,登校する,going to school,座談会,sitting,頭痛,headache,荒天,rough weather
息を吸う,breathe in,空を飛ぶ,flying in the sky,小石が坂を転がる,a pebble rolls down a hill,苦痛を感じる,feel pain,体の動きが鈍い,sluggish body movement
水を吸う,soak up water,紙飛行機を飛ばす,flying a paper plane,たるを転がす,rolling down a slope,痛感する,feel pain,頭の働きが鈍る,the head is slow to work
悪口を言う,saying bad things,優しい性質,gentle nature,自信を持つ,have confidence,無事を祈る,pray for safety,写真を現像する,developing a photograph
悪人,bad people,優れた作品,excellent work,信頼する,trust,お祈りをする,say a prayer,想像する,imagine
悪寒がする,i get chills,優越感,superiority,信号,signal,合格を祈願する,pray for success,画像,image
